Team,W-L,DefenseDVOA Rank,DefenseDVOA,Defense WeightedDVOA Rank,Defense WeightedDVOA,PassDefense Rank,PassDefense,RushDefense Rank,RushDefense
BAL,10-3,1,-22.8%,1,-20.6%,1,-24.6%,4,-20.4%
NYJ,8-5,2,-14.7%,8,-12.7%,4,-10.8%,5,-19.0%
SF,10-3,3,-14.5%,5,-14.0%,9,-0.9%,1,-40.4%
DET,8-5,4,-14.4%,4,-14.5%,2,-18.5%,14,-8.2%
JAX,4-9,5,-13.4%,6,-13.5%,5,-9.7%,6,-17.9%
HOU,10-3,6,-13.4%,2,-15.6%,3,-13.0%,11,-13.9%
ATL,8-5,7,-12.4%,3,-14.7%,8,-2.8%,2,-26.7%
CHI,7-6,8,-11.1%,7,-12.9%,7,-4.5%,3,-22.3%
PIT,10-3,9,-8.6%,9,-10.8%,6,-8.3%,13,-8.9%
SEA,6-7,10,-2.7%,11,-4.2%,14,4.3%,12,-12.6%
DAL,7-6,11,-2.6%,14,-0.1%,10,0.7%,16,-7.6%
WAS,4-9,12,-1.7%,12,-0.5%,13,3.8%,15,-8.1%
MIA,4-9,13,-1.2%,10,-5.3%,21,9.4%,7,-17.1%
TEN,7-6,14,0.3%,17,0.6%,22,11.4%,10,-14.8%
CIN,7-6,15,1.2%,20,2.2%,19,7.4%,17,-6.6%
DEN,8-5,16,1.3%,18,0.8%,23,14.0%,9,-14.9%
PHI,5-8,17,2.1%,15,0.0%,16,5.0%,23,-1.6%
KC,5-8,18,2.2%,16,0.3%,20,8.1%,20,-3.3%
ARI,6-7,19,2.4%,13,-0.2%,15,5.0%,24,-1.2%
STL,2-11,20,3.1%,19,1.1%,11,2.5%,27,3.9%
OAK,7-6,21,4.8%,21,3.3%,12,2.5%,32,8.1%
MIN,2-11,22,5.4%,22,5.3%,28,20.8%,8,-16.5%
GB,13-0,23,5.7%,23,6.1%,17,5.6%,29,5.7%
NYG,7-6,24,6.2%,24,7.2%,24,14.3%,19,-4.8%
CLE,4-9,25,6.7%,25,8.3%,18,6.8%,30,6.6%
NO,10-3,26,7.7%,26,8.3%,25,15.6%,18,-5.6%
SD,6-7,27,9.8%,27,10.0%,27,20.7%,22,-1.6%
BUF,5-8,28,10.9%,29,12.6%,26,18.1%,26,2.7%
TB,4-9,29,11.3%,28,10.7%,29,21.3%,25,0.3%
NE,10-3,30,14.5%,30,13.8%,31,25.3%,21,-2.9%
CAR,4-9,31,15.5%,31,15.3%,30,23.0%,31,7.5%
IND,0-13,32,16.3%,32,16.6%,32,29.0%,28,4.5%
