Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
KC,7-1,1,35.2%,1,34.5%,1,73.4%,8,-1.0%
LAR,8-0,2,28.9%,2,29.0%,3,48.7%,3,12.4%
LAC,5-2,3,26.6%,3,25.7%,2,54.4%,6,1.8%
NO,6-1,4,18.6%,4,18.8%,5,36.1%,4,4.2%
CAR,5-2,5,16.6%,5,16.9%,8,28.7%,2,14.0%
PIT,4-2-1,6,13.9%,6,15.1%,7,28.7%,14,-6.5%
NE,6-2,7,13.2%,7,13.8%,6,29.5%,10,-2.5%
GB,3-3-1,8,12.8%,8,13.4%,9,25.2%,5,2.4%
ATL,3-4,9,8.3%,9,10.4%,4,37.6%,30,-28.0%
CHI,4-3,10,8.1%,10,10.0%,12,23.9%,12,-4.0%
DEN,3-5,11,7.8%,11,8.0%,24,4.9%,1,14.0%
CIN,5-3,12,5.1%,14,4.6%,16,16.0%,11,-3.6%
BAL,4-4,13,4.2%,17,3.4%,14,22.3%,18,-9.6%
MIA,4-4,14,3.7%,15,3.7%,19,12.7%,7,0.4%
DET,3-4,15,3.7%,12,6.9%,20,12.7%,13,-4.0%
IND,3-5,16,3.6%,13,4.7%,18,13.4%,9,-2.5%
TB,3-4,17,3.4%,18,1.6%,11,24.4%,31,-28.2%
SEA,4-3,18,2.2%,16,3.4%,10,24.8%,17,-9.4%
MIN,4-3-1,19,0.4%,19,1.3%,17,14.0%,22,-18.7%
OAK,1-6,20,-0.1%,20,0.1%,13,23.4%,23,-18.8%
WAS,5-2,21,-2.7%,22,-3.5%,21,9.7%,16,-7.0%
PHI,4-4,22,-4.5%,21,-3.1%,22,9.4%,19,-12.3%
NYG,1-7,23,-4.7%,23,-4.5%,23,7.1%,21,-14.8%
HOU,5-3,24,-6.9%,24,-6.5%,15,21.3%,27,-24.4%
DAL,3-4,25,-8.9%,25,-8.7%,25,-5.4%,15,-6.8%
JAX,3-5,26,-15.3%,26,-15.4%,26,-6.6%,25,-22.6%
SF,1-7,27,-17.0%,27,-16.0%,27,-7.0%,24,-18.9%
TEN,3-4,28,-19.0%,28,-17.9%,28,-7.2%,28,-25.9%
NYJ,3-5,29,-24.7%,30,-24.8%,29,-13.4%,26,-24.1%
CLE,2-5-1,30,-25.2%,29,-24.6%,30,-28.3%,20,-14.4%
ARI,2-6,31,-38.1%,31,-37.6%,31,-34.5%,32,-31.9%
BUF,2-6,32,-51.5%,32,-50.7%,32,-60.9%,29,-27.7%
