Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
KC,9-1,1,43.1%,1,42.2%,1,79.9%,3,9.5%
LAR,9-1,2,33.0%,2,33.1%,3,49.6%,1,19.0%
LAC,7-2,3,25.2%,5,24.5%,2,50.9%,6,4.6%
NO,8-1,4,23.3%,3,25.3%,4,47.8%,7,2.2%
PIT,6-2-1,5,22.3%,4,25.0%,6,40.4%,9,-3.7%
ATL,4-5,6,14.3%,6,16.7%,5,42.2%,26,-22.4%
CAR,6-3,7,12.6%,7,14.3%,11,22.0%,2,13.0%
GB,4-4-1,8,11.6%,8,12.3%,13,21.6%,5,7.6%
NE,7-3,9,9.4%,10,10.5%,9,25.3%,11,-5.3%
CHI,6-3,10,7.5%,9,10.5%,7,29.5%,17,-10.7%
SEA,4-5,11,5.1%,11,7.1%,8,27.2%,8,-3.7%
BAL,4-5,12,4.9%,14,4.3%,12,21.8%,15,-6.8%
DEN,3-6,13,4.0%,13,5.1%,23,4.2%,4,8.7%
IND,4-5,14,3.0%,12,5.8%,15,13.9%,12,-5.4%
CIN,5-4,15,-0.2%,16,-2.2%,18,9.4%,10,-4.7%
TB,3-6,16,-0.8%,18,-3.5%,14,18.3%,31,-29.0%
MIN,5-3-1,17,-2.6%,17,-2.9%,16,12.6%,24,-21.6%
PHI,4-5,18,-3.9%,15,-0.8%,17,10.0%,20,-13.9%
DET,3-6,19,-5.7%,19,-4.1%,24,2.2%,18,-11.8%
WAS,6-3,20,-5.9%,21,-7.0%,22,4.4%,16,-8.8%
NYG,2-7,21,-7.1%,22,-7.2%,20,5.6%,22,-18.4%
MIA,5-5,22,-7.9%,25,-9.0%,26,-3.4%,13,-6.2%
TEN,5-4,23,-7.9%,20,-5.1%,21,5.0%,21,-14.4%
HOU,6-3,24,-8.0%,23,-7.9%,10,23.5%,32,-29.8%
OAK,1-8,25,-8.8%,26,-10.5%,19,9.2%,25,-21.6%
DAL,4-5,26,-9.3%,24,-8.5%,28,-5.2%,14,-6.2%
SF,2-8,27,-14.0%,27,-13.7%,25,1.3%,23,-20.6%
JAX,3-6,28,-15.9%,29,-16.9%,27,-4.9%,29,-26.9%
CLE,3-6-1,29,-17.4%,28,-15.9%,29,-15.5%,19,-11.9%
NYJ,3-7,30,-30.2%,30,-29.6%,30,-26.2%,27,-22.6%
ARI,2-7,31,-38.5%,31,-37.4%,31,-38.6%,30,-28.0%
BUF,3-7,32,-42.8%,32,-42.4%,32,-50.6%,28,-23.7%
