Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
KC,12-4,1,35.4%,1,30.7%,1,63.5%,3,9.1%
LAR,13-3,2,25.0%,2,20.7%,5,33.7%,1,20.6%
LAC,12-4,3,20.8%,4,16.4%,2,40.2%,4,5.5%
NO,13-3,4,16.1%,7,12.8%,3,34.1%,6,3.5%
NE,11-5,5,14.7%,3,16.7%,4,33.9%,8,1.7%
PIT,9-6-1,6,14.3%,6,13.5%,8,27.5%,12,-6.6%
GB,6-9-1,7,11.2%,10,10.0%,10,22.5%,7,2.8%
SEA,10-6,8,9.1%,9,11.3%,6,33.5%,9,-1.7%
ATL,7-9,9,8.9%,11,8.0%,7,28.6%,22,-15.9%
IND,10-6,10,7.9%,5,14.2%,11,22.2%,13,-6.7%
CAR,7-9,11,6.0%,13,3.1%,18,11.6%,2,9.5%
TB,5-11,12,5.9%,12,3.7%,9,25.5%,27,-20.3%
BAL,10-6,13,1.2%,19,-0.9%,14,16.1%,10,-2.4%
NYG,5-11,14,1.1%,15,2.6%,15,14.5%,11,-6.5%
DEN,6-10,15,0.8%,20,-1.0%,25,2.4%,5,4.3%
PHI,9-7,16,-0.4%,14,2.7%,13,18.6%,23,-16.1%
CLE,7-8-1,17,-0.8%,8,11.5%,21,9.0%,17,-8.1%
MIN,8-7-1,18,-1.2%,17,-0.6%,17,13.0%,24,-16.6%
HOU,11-5,19,-2.9%,16,-0.5%,12,21.9%,28,-20.8%
CHI,12-4,20,-3.1%,22,-3.5%,16,14.3%,21,-14.8%
CIN,6-10,21,-3.7%,25,-10.6%,20,11.0%,14,-7.3%
DET,6-10,22,-5.2%,21,-2.3%,22,4.3%,19,-13.2%
TEN,9-7,23,-5.6%,18,-0.9%,23,3.8%,16,-7.6%
DAL,10-6,24,-6.3%,23,-4.9%,26,2.2%,18,-10.6%
OAK,4-12,25,-7.7%,24,-9.7%,19,11.2%,25,-17.2%
MIA,7-9,26,-9.5%,26,-12.7%,27,-2.5%,15,-7.4%
SF,4-12,27,-15.9%,28,-17.0%,24,3.1%,30,-24.8%
WAS,7-9,28,-19.8%,31,-29.6%,29,-13.5%,20,-14.7%
NYJ,4-12,29,-20.2%,27,-16.0%,28,-5.3%,32,-26.3%
JAX,5-11,30,-21.7%,30,-26.8%,30,-17.7%,26,-17.8%
BUF,6-10,31,-27.5%,29,-18.4%,31,-22.6%,29,-24.6%
ARI,3-13,32,-41.8%,32,-43.8%,32,-44.4%,31,-25.7%
