Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
LAR,4-0,1,43.0%,1,43.0%,2,75.0%,4,10.5%
KC,4-0,2,40.4%,2,40.4%,1,75.6%,6,4.4%
NO,3-1,3,21.0%,3,21.0%,7,38.2%,8,2.8%
CIN,3-1,4,19.8%,4,19.8%,11,33.0%,5,5.0%
LAC,2-2,5,18.8%,5,18.8%,5,39.0%,9,-4.7%
CAR,2-1,6,13.3%,6,13.3%,14,22.0%,1,22.1%
ATL,1-3,7,10.3%,7,10.3%,4,39.4%,27,-30.8%
WAS,2-1,8,9.6%,8,9.6%,3,43.9%,17,-14.1%
OAK,1-3,9,7.9%,9,7.9%,8,35.1%,15,-12.3%
TB,2-2,10,6.4%,10,6.4%,9,34.0%,30,-38.3%
BAL,3-1,11,5.6%,11,5.6%,10,33.8%,22,-19.1%
DEN,2-2,12,4.6%,12,4.6%,25,-9.1%,2,22.1%
NE,2-2,13,4.5%,13,4.5%,15,20.0%,13,-9.8%
GB,2-1-1,14,3.8%,14,3.8%,16,19.6%,10,-5.4%
MIA,3-1,15,2.5%,15,2.5%,13,24.0%,19,-17.2%
JAX,3-1,16,2.4%,16,2.4%,12,28.5%,21,-19.0%
PIT,1-2-1,17,2.4%,17,2.4%,19,11.8%,18,-16.3%
HOU,1-3,18,0.7%,18,0.7%,6,38.8%,28,-31.8%
MIN,1-2-1,19,-0.7%,19,-0.7%,17,15.5%,32,-42.3%
CHI,3-1,20,-1.3%,20,-1.3%,18,12.0%,12,-9.2%
DET,1-3,21,-3.1%,21,-3.1%,21,3.6%,14,-10.3%
NYG,1-3,22,-4.5%,22,-4.5%,23,3.6%,16,-13.1%
DAL,2-2,23,-7.2%,23,-7.2%,28,-16.8%,3,12.5%
PHI,2-2,24,-9.7%,24,-9.7%,27,-12.2%,7,4.4%
IND,1-3,25,-10.5%,25,-10.5%,22,3.6%,29,-32.0%
TEN,3-1,26,-13.6%,26,-13.6%,20,7.4%,25,-29.4%
SEA,2-2,27,-14.0%,27,-14.0%,24,-2.4%,20,-17.5%
SF,1-3,28,-17.9%,28,-17.9%,26,-10.5%,23,-20.3%
CLE,1-2-1,29,-23.8%,29,-23.8%,31,-29.7%,11,-8.9%
NYJ,1-3,30,-31.0%,30,-31.0%,29,-20.8%,24,-26.2%
ARI,0-4,31,-36.7%,31,-36.7%,30,-25.2%,31,-39.4%
BUF,1-3,32,-57.3%,32,-57.3%,32,-64.8%,26,-30.3%
