Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
LAR,5-0,1,39.3%,1,39.3%,2,68.7%,2,12.7%
KC,5-0,2,36.4%,2,36.4%,1,70.0%,4,4.2%
LAC,3-2,3,24.2%,3,24.2%,3,57.0%,17,-12.3%
NO,4-1,4,23.2%,4,23.2%,4,41.2%,5,4.0%
CIN,4-1,5,11.9%,5,11.9%,10,26.3%,8,-1.1%
NE,3-2,6,10.9%,6,10.9%,8,28.4%,9,-3.9%
PIT,2-2-1,7,10.2%,7,10.2%,11,24.3%,19,-13.3%
GB,2-2-1,8,9.2%,8,9.2%,13,23.8%,10,-4.5%
TB,2-2,9,8.4%,9,8.4%,5,37.4%,31,-38.8%
DEN,2-3,10,7.0%,10,7.0%,25,-0.8%,1,18.9%
ATL,1-4,11,6.7%,11,6.7%,6,32.0%,27,-28.9%
CAR,3-1,12,3.5%,12,3.5%,14,17.8%,3,6.3%
BAL,3-2,13,2.4%,13,2.4%,12,24.2%,23,-18.4%
OAK,1-4,14,2.2%,14,2.2%,9,26.9%,18,-13.3%
MIN,2-2-1,15,1.5%,15,1.5%,15,17.6%,30,-36.2%
NYG,1-4,16,0.4%,16,0.4%,17,14.2%,22,-18.1%
CHI,3-1,17,-1.8%,17,-1.8%,18,11.2%,14,-9.2%
WAS,2-2,18,-2.5%,18,-2.5%,16,14.9%,20,-13.7%
MIA,3-2,19,-2.9%,19,-2.9%,20,8.7%,15,-9.9%
SEA,2-3,20,-2.9%,20,-2.9%,19,10.7%,11,-7.7%
DET,2-3,21,-3.7%,21,-3.7%,22,4.9%,12,-8.4%
HOU,2-3,22,-5.9%,22,-5.9%,7,30.7%,32,-41.7%
JAX,3-2,23,-6.5%,23,-6.5%,21,8.1%,21,-17.9%
IND,1-4,24,-7.9%,24,-7.9%,23,4.7%,25,-26.3%
PHI,2-3,25,-8.7%,25,-8.7%,27,-5.4%,7,0.0%
DAL,2-3,26,-13.7%,26,-13.7%,30,-21.8%,6,3.7%
SF,1-4,27,-14.7%,27,-14.7%,26,-1.5%,24,-19.8%
TEN,3-2,28,-16.4%,28,-16.4%,24,-0.2%,26,-26.9%
NYJ,2-3,29,-19.8%,29,-19.8%,28,-15.0%,16,-11.4%
CLE,2-2-1,30,-20.5%,30,-20.5%,31,-23.5%,13,-9.0%
ARI,1-4,31,-30.1%,31,-30.1%,29,-21.3%,28,-30.5%
BUF,2-3,32,-51.0%,32,-51.0%,32,-58.3%,29,-31.2%
