Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
KC,6-1,1,37.4%,1,36.8%,1,70.0%,5,4.0%
LAR,7-0,2,33.0%,2,33.4%,3,50.8%,1,20.1%
LAC,5-2,3,28.0%,3,27.7%,2,55.4%,6,3.7%
NO,5-1,4,21.5%,4,21.9%,4,40.8%,4,4.9%
NE,5-2,5,14.5%,5,14.6%,7,31.0%,8,-1.0%
PIT,3-2-1,6,12.7%,6,12.7%,9,27.6%,17,-10.7%
GB,3-2-1,7,11.8%,7,12.1%,10,26.7%,9,-1.9%
DEN,3-4,8,11.6%,8,11.8%,21,9.7%,2,15.5%
CAR,4-2,9,10.6%,9,10.8%,11,22.1%,3,9.1%
ATL,3-4,10,9.2%,10,9.8%,5,38.6%,29,-27.2%
BAL,4-3,11,8.0%,11,8.0%,8,30.0%,19,-11.3%
TB,3-3,12,7.7%,12,6.7%,6,33.8%,31,-33.7%
CHI,3-3,13,5.1%,13,5.5%,12,21.7%,13,-7.3%
MIA,4-3,14,4.1%,15,4.2%,13,18.9%,10,-5.1%
DET,3-3,15,3.8%,14,4.9%,19,12.0%,7,-0.3%
CIN,4-3,16,3.2%,16,2.6%,17,15.0%,11,-6.6%
MIN,4-2-1,17,1.3%,17,1.1%,16,16.7%,24,-20.4%
SEA,3-3,18,-0.5%,18,0.2%,14,18.3%,15,-8.5%
NYG,1-6,19,-0.6%,19,-0.2%,22,9.5%,18,-10.8%
IND,2-5,20,-1.0%,20,-0.6%,20,11.0%,21,-12.7%
WAS,4-2,21,-3.9%,21,-3.9%,23,6.6%,14,-8.3%
OAK,1-5,22,-4.4%,22,-4.8%,15,17.0%,23,-19.2%
PHI,3-4,23,-6.8%,23,-6.5%,24,5.8%,20,-12.4%
DAL,3-4,24,-8.7%,24,-8.9%,26,-5.1%,12,-6.8%
HOU,4-3,25,-12.4%,25,-12.7%,18,14.1%,30,-28.2%
SF,1-6,26,-15.6%,26,-15.3%,28,-7.3%,22,-16.2%
JAX,3-4,27,-16.4%,28,-16.9%,27,-7.0%,26,-23.5%
TEN,3-4,28,-16.9%,27,-16.7%,25,-4.1%,27,-24.8%
NYJ,3-4,29,-22.5%,29,-22.2%,29,-15.6%,25,-20.9%
CLE,2-4-1,30,-23.9%,30,-23.6%,30,-29.4%,16,-9.0%
ARI,1-6,31,-40.1%,31,-39.7%,31,-37.1%,32,-34.1%
BUF,2-5,32,-52.8%,32,-52.7%,32,-65.9%,28,-25.0%
