Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
KC,11-4,1,36.5%,1,33.3%,1,64.9%,2,10.4%
LAR,12-3,2,24.7%,2,21.1%,5,31.7%,1,22.6%
LAC,11-4,3,23.0%,3,20.6%,2,43.7%,5,5.5%
NO,13-2,4,17.9%,6,16.3%,4,37.2%,7,3.5%
PIT,8-6-1,5,16.6%,4,18.3%,7,30.3%,12,-5.8%
GB,6-8-1,6,16.1%,5,17.5%,8,28.6%,4,5.9%
NE,10-5,7,14.2%,7,14.9%,6,31.1%,8,3.5%
SEA,9-6,8,10.8%,8,14.4%,3,38.3%,9,-2.2%
ATL,6-9,9,8.0%,11,7.6%,9,26.8%,22,-15.4%
IND,9-6,10,6.4%,9,11.1%,12,20.8%,16,-9.0%
TB,5-10,11,4.5%,13,1.8%,10,23.5%,27,-20.0%
CAR,6-9,12,3.7%,18,-0.4%,20,7.9%,3,9.6%
DEN,6-9,13,1.9%,15,0.8%,24,4.0%,6,4.6%
BAL,9-6,14,0.9%,20,-1.7%,15,14.9%,10,-3.3%
NYG,5-10,15,0.2%,14,1.5%,18,14.2%,17,-9.5%
MIN,8-6-1,16,-0.8%,17,-0.1%,17,14.3%,26,-17.2%
PHI,8-7,17,-1.1%,12,1.9%,13,17.3%,25,-17.1%
CIN,6-9,18,-1.5%,24,-6.2%,16,14.8%,14,-7.8%
CLE,7-7-1,19,-1.9%,10,9.2%,21,6.6%,13,-7.5%
HOU,10-5,20,-3.5%,19,-1.4%,11,23.4%,29,-24.1%
OAK,4-11,21,-3.7%,21,-3.9%,14,16.4%,21,-15.1%
CHI,11-4,22,-4.3%,23,-5.3%,19,13.2%,24,-16.7%
TEN,9-6,23,-5.0%,16,0.2%,23,5.3%,15,-8.2%
MIA,7-8,24,-6.1%,25,-7.7%,26,0.6%,11,-3.6%
DET,5-10,25,-6.6%,22,-4.2%,25,1.1%,19,-11.9%
DAL,9-6,26,-8.5%,26,-7.9%,27,-2.4%,18,-9.6%
SF,4-11,27,-15.0%,27,-13.8%,22,5.6%,31,-24.8%
WAS,7-8,28,-16.9%,31,-23.6%,29,-9.4%,20,-12.5%
NYJ,4-11,29,-18.0%,28,-14.0%,28,-3.7%,28,-23.2%
JAX,5-10,30,-18.8%,30,-21.1%,30,-14.6%,23,-16.4%
BUF,5-10,31,-29.9%,29,-20.7%,31,-27.4%,30,-24.3%
ARI,3-12,32,-41.5%,32,-43.0%,32,-43.0%,32,-26.3%
