Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
KC,9-2,1,40.3%,1,40.6%,1,73.3%,4,8.3%
LAR,10-1,2,32.2%,2,31.0%,4,49.5%,1,16.2%
LAC,8-3,3,26.5%,3,27.2%,2,52.0%,6,6.4%
NO,10-1,4,24.1%,4,25.9%,3,50.7%,7,2.1%
PIT,7-3-1,5,14.9%,5,17.4%,8,28.3%,10,-5.1%
GB,4-6-1,6,14.2%,6,15.2%,9,24.3%,3,8.5%
NE,8-3,7,12.2%,7,13.4%,7,29.1%,9,-2.2%
CAR,6-5,8,10.6%,8,12.4%,10,21.0%,5,7.6%
DEN,5-6,9,8.7%,9,10.2%,20,9.1%,2,12.4%
ATL,4-7,10,8.5%,10,9.8%,6,31.3%,30,-23.6%
SEA,6-5,11,5.6%,12,7.7%,5,36.0%,17,-8.7%
IND,6-5,12,4.0%,11,7.8%,15,17.3%,16,-8.7%
TB,4-7,13,3.2%,14,1.6%,12,20.8%,24,-20.1%
CHI,8-3,14,2.7%,13,4.7%,11,20.9%,19,-13.1%
BAL,6-5,15,1.7%,16,-0.1%,17,12.8%,8,1.3%
CIN,5-6,16,0.9%,15,-0.1%,16,14.6%,11,-5.6%
MIN,6-4-1,17,-0.5%,17,-0.2%,14,18.1%,32,-28.0%
NYG,3-8,18,-2.0%,18,-2.4%,18,10.0%,18,-9.5%
HOU,8-3,19,-6.2%,19,-4.2%,13,19.9%,29,-23.3%
PHI,5-6,20,-6.9%,20,-4.5%,21,4.9%,20,-14.1%
DET,4-7,21,-7.1%,21,-6.2%,24,-3.3%,12,-5.7%
OAK,2-9,22,-7.1%,23,-8.4%,19,9.7%,22,-15.1%
MIA,5-6,23,-9.3%,25,-9.7%,26,-3.9%,13,-5.9%
DAL,6-5,24,-9.5%,22,-8.4%,27,-4.5%,15,-7.8%
WAS,6-5,25,-11.1%,27,-13.0%,28,-5.9%,14,-7.2%
CLE,4-6-1,26,-12.2%,24,-8.7%,23,-3.2%,23,-16.7%
TEN,5-6,27,-13.5%,26,-11.5%,22,0.4%,25,-20.2%
JAX,3-8,28,-15.3%,28,-15.3%,29,-9.0%,21,-14.8%
SF,2-9,29,-17.8%,29,-18.1%,25,-3.5%,28,-21.9%
NYJ,3-8,30,-27.2%,30,-27.3%,30,-21.8%,26,-20.7%
BUF,4-7,31,-37.7%,31,-34.1%,32,-44.1%,27,-21.2%
ARI,2-9,32,-39.8%,32,-40.7%,31,-41.7%,31,-27.0%
