Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
LAC,0-1,1,57.4%,1,57.4%,3,82.0%,5,22.7%
LAR,1-0,2,53.9%,2,53.9%,6,63.3%,1,41.0%
TB,1-0,3,53.6%,3,53.6%,1,114.4%,26,-27.8%
NO,0-1,4,49.1%,4,49.1%,5,67.0%,13,9.7%
KC,1-0,5,48.8%,5,48.8%,2,94.0%,16,0.6%
BAL,1-0,6,26.0%,6,26.0%,4,75.8%,21,-14.7%
DEN,1-0,7,17.9%,7,17.9%,11,29.0%,11,11.3%
CIN,1-0,8,15.0%,8,15.0%,12,20.6%,8,16.7%
NE,1-0,9,11.7%,9,11.7%,9,39.7%,23,-17.3%
CAR,1-0,10,11.5%,10,11.5%,18,8.5%,3,28.7%
NYJ,1-0,11,10.0%,11,10.0%,8,40.9%,14,5.7%
WAS,1-0,12,8.6%,12,8.6%,10,34.1%,17,-3.1%
MIA,1-0,13,7.6%,13,7.6%,15,17.9%,15,5.6%
DAL,0-1,14,1.4%,14,1.4%,20,-1.8%,4,25.3%
MIN,1-0,15,1.2%,15,1.2%,7,46.6%,29,-45.4%
JAX,1-0,16,-0.2%,16,-0.2%,17,9.3%,10,12.3%
CHI,0-1,17,-0.9%,17,-0.9%,25,-21.5%,2,34.7%
PHI,1-0,18,-3.3%,18,-3.3%,26,-26.4%,6,22.0%
IND,0-1,19,-4.3%,19,-4.3%,16,10.1%,27,-37.8%
GB,1-0,20,-5.7%,20,-5.7%,13,19.7%,25,-27.4%
OAK,0-1,21,-5.8%,21,-5.8%,22,-5.7%,7,19.8%
PIT,0-0-1,22,-7.3%,22,-7.3%,24,-20.8%,12,10.9%
NYG,0-1,23,-7.8%,23,-7.8%,19,-0.7%,24,-17.3%
HOU,0-1,24,-10.7%,24,-10.7%,14,19.3%,22,-17.3%
TEN,0-1,25,-23.8%,25,-23.8%,27,-35.7%,19,-9.4%
CLE,0-0-1,26,-23.8%,26,-23.8%,23,-16.6%,18,-8.1%
SEA,0-1,27,-25.3%,27,-25.3%,21,-4.5%,31,-53.4%
ARI,0-1,28,-33.2%,28,-33.2%,30,-50.5%,9,15.8%
ATL,0-1,29,-43.6%,29,-43.6%,31,-53.5%,20,-12.0%
DET,0-1,30,-54.1%,30,-54.1%,29,-50.4%,30,-48.9%
SF,0-1,31,-54.5%,31,-54.5%,28,-36.9%,32,-73.0%
BUF,0-1,32,-85.1%,32,-85.1%,32,-99.7%,28,-45.2%
