Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
KC,10-2,1,40.8%,1,41.4%,1,72.9%,4,9.3%
LAR,11-1,2,28.6%,3,27.6%,3,42.7%,1,17.2%
LAC,9-3,3,27.6%,2,28.1%,2,54.0%,6,5.2%
NO,10-2,4,20.0%,4,20.7%,4,42.2%,7,1.9%
PIT,7-4-1,5,17.3%,5,20.0%,7,30.4%,10,-2.9%
NE,9-3,6,15.1%,6,16.4%,6,32.7%,8,1.3%
GB,4-7-1,7,13.3%,7,14.3%,9,24.0%,5,6.0%
SEA,7-5,8,9.1%,8,11.8%,5,39.8%,11,-5.5%
DEN,6-6,9,9.0%,9,11.0%,21,9.0%,2,13.8%
CAR,6-6,10,8.8%,10,9.7%,12,15.2%,3,11.0%
ATL,4-8,11,7.2%,11,8.6%,8,28.7%,29,-23.0%
TB,5-7,12,3.8%,13,1.5%,11,22.3%,26,-21.5%
IND,6-6,13,0.9%,12,4.5%,16,13.5%,18,-12.4%
NYG,4-8,14,0.3%,14,1.0%,18,12.3%,14,-8.1%
CIN,5-7,15,-0.4%,18,-2.6%,17,13.1%,12,-5.5%
BAL,7-5,16,-0.8%,19,-2.7%,19,10.6%,9,-1.8%
MIN,6-5-1,17,-1.6%,16,-1.6%,13,14.4%,31,-25.0%
CHI,8-4,18,-3.3%,20,-3.0%,15,13.7%,22,-16.9%
HOU,9-3,19,-3.6%,15,-0.7%,10,23.0%,27,-21.8%
OAK,2-10,20,-3.8%,21,-3.7%,14,13.8%,20,-13.8%
PHI,6-6,21,-3.9%,17,-1.6%,20,10.5%,19,-13.8%
MIA,6-6,22,-8.2%,26,-9.5%,22,1.9%,17,-10.8%
DET,4-8,23,-8.4%,23,-7.3%,26,-3.2%,16,-9.2%
DAL,7-5,24,-8.4%,24,-7.5%,27,-3.9%,13,-6.9%
CLE,4-7-1,25,-9.9%,22,-4.9%,24,-1.5%,21,-14.5%
TEN,6-6,26,-11.5%,25,-8.1%,23,1.8%,24,-18.1%
WAS,6-6,27,-13.2%,27,-15.7%,28,-6.0%,15,-9.1%
JAX,4-8,28,-16.2%,28,-16.4%,29,-8.6%,23,-17.8%
SF,2-10,29,-18.6%,29,-19.6%,25,-2.0%,30,-24.2%
NYJ,3-9,30,-27.4%,30,-28.8%,30,-24.1%,25,-19.5%
BUF,4-8,31,-36.0%,31,-31.3%,31,-36.1%,32,-26.3%
ARI,3-9,32,-38.0%,32,-38.6%,32,-40.6%,28,-22.6%
