Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
KC,9-2,1,41.6%,1,41.4%,1,75.3%,4,8.7%
LAR,10-1,2,32.0%,2,31.1%,4,48.9%,1,16.5%
NO,9-1,3,24.7%,3,26.9%,2,53.4%,7,0.7%
LAC,7-3,4,22.4%,4,21.9%,3,49.1%,6,1.9%
PIT,7-2-1,5,17.8%,5,20.6%,6,33.5%,11,-5.1%
GB,4-5-1,6,14.5%,7,15.2%,9,25.3%,5,7.7%
ATL,4-6,7,14.4%,6,16.0%,5,41.1%,26,-21.2%
CAR,6-4,8,9.9%,9,10.7%,13,19.3%,3,9.3%
NE,7-3,9,9.8%,8,11.1%,10,24.9%,8,-4.0%
IND,5-5,10,6.5%,10,10.2%,12,19.4%,12,-5.5%
DEN,4-6,11,6.2%,12,7.5%,20,5.9%,2,11.1%
CHI,7-3,12,5.5%,11,8.0%,8,26.2%,19,-12.1%
BAL,5-5,13,4.2%,14,2.9%,11,19.6%,9,-4.1%
SEA,5-5,14,3.8%,13,5.9%,7,28.8%,10,-4.9%
TB,3-7,15,0.8%,15,-1.0%,14,18.4%,30,-23.5%
CIN,5-5,16,0.4%,16,-2.1%,17,12.1%,15,-7.1%
NYG,3-7,17,-2.3%,17,-2.4%,19,9.5%,18,-10.7%
MIN,5-4-1,18,-2.5%,18,-2.8%,16,13.5%,31,-24.9%
DET,4-6,19,-5.5%,19,-4.7%,22,1.2%,17,-10.0%
OAK,2-8,20,-7.2%,22,-8.8%,18,11.6%,22,-17.5%
MIA,5-5,21,-7.7%,21,-8.7%,25,-3.5%,13,-5.7%
WAS,6-4,22,-8.2%,25,-9.9%,24,-0.3%,16,-8.7%
PHI,4-6,23,-8.2%,20,-5.8%,21,1.5%,20,-13.1%
DAL,5-5,24,-9.7%,23,-9.1%,27,-6.0%,14,-6.5%
HOU,7-3,25,-10.0%,24,-9.6%,15,17.9%,32,-28.3%
TEN,5-5,26,-14.2%,26,-12.8%,26,-3.9%,23,-19.2%
SF,2-8,27,-15.0%,27,-15.5%,23,0.6%,27,-21.9%
JAX,3-7,28,-16.3%,29,-17.2%,28,-8.5%,25,-20.8%
CLE,3-6-1,29,-17.7%,28,-15.6%,29,-14.8%,21,-13.5%
NYJ,3-7,30,-28.8%,30,-28.1%,30,-25.3%,24,-20.6%
ARI,2-8,31,-37.9%,31,-38.1%,31,-40.3%,29,-23.0%
BUF,3-7,32,-42.5%,32,-41.1%,32,-50.9%,28,-22.8%
