Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
LAR,9-4,1,34.9%,1,38.7%,4,15.8%,4,19.1%,7,-11.1%,6,-10.7%,2,7.9%,2,8.9%
NO,9-4,2,34.6%,2,37.4%,2,25.2%,1,26.7%,5,-11.5%,5,-12.3%,21,-2.1%,21,-1.6%
PHI,11-2,3,29.3%,3,33.2%,5,15.6%,5,17.1%,4,-12.1%,4,-15.7%,11,1.6%,13,0.5%
PIT,11-2,4,23.8%,6,21.7%,3,18.5%,3,19.2%,11,-4.7%,11,-0.8%,14,0.6%,11,1.7%
MIN,10-3,5,23.6%,5,23.1%,7,13.4%,6,14.3%,6,-11.4%,7,-10.4%,19,-1.2%,20,-1.6%
BAL,7-6,6,22.8%,4,27.7%,22,-6.1%,19,-2.1%,2,-19.3%,1,-19.0%,1,9.5%,1,10.8%
JAX,9-4,7,18.2%,8,18.0%,16,1.1%,16,0.0%,1,-19.5%,2,-18.3%,22,-2.4%,15,-0.2%
NE,10-3,8,17.2%,7,21.1%,1,25.6%,2,25.4%,31,14.1%,28,11.3%,5,5.6%,4,7.1%
CAR,9-4,9,13.3%,9,15.6%,17,0.1%,15,3.0%,8,-9.7%,8,-8.5%,8,3.6%,7,4.1%
DAL,7-6,10,10.9%,11,12.7%,10,8.9%,10,8.0%,21,4.5%,19,2.4%,3,6.5%,3,7.1%
KC,7-6,11,9.0%,16,1.1%,6,13.6%,11,7.8%,27,10.3%,30,12.6%,4,5.7%,5,6.0%
LAC,7-6,12,6.1%,10,12.8%,9,9.9%,7,12.7%,10,-5.1%,9,-8.3%,31,-8.9%,31,-8.2%
SEA,8-5,13,6.0%,13,6.9%,12,6.7%,9,9.7%,15,-1.0%,14,0.6%,20,-1.7%,23,-2.2%
ATL,8-5,14,5.8%,12,7.0%,8,10.2%,8,9.7%,20,3.5%,16,1.4%,18,-0.9%,18,-1.3%
DET,7-6,15,5.8%,15,1.8%,14,3.1%,13,5.4%,18,1.9%,23,7.1%,6,4.6%,8,3.5%
GB,7-6,16,3.5%,14,3.3%,13,3.4%,14,3.4%,17,1.2%,18,1.7%,13,1.3%,12,1.6%
WAS,5-8,17,-6.1%,22,-12.2%,19,-3.4%,21,-6.5%,13,-2.2%,13,0.5%,27,-4.9%,27,-5.2%
HOU,4-9,18,-6.9%,23,-13.3%,20,-5.2%,22,-7.1%,12,-2.4%,17,1.6%,26,-4.1%,26,-4.6%
ARI,6-7,19,-8.5%,17,-3.3%,27,-16.1%,27,-15.2%,3,-14.9%,3,-18.1%,30,-7.3%,30,-6.2%
TEN,8-5,20,-8.7%,21,-12.2%,18,-2.4%,20,-5.5%,23,6.7%,22,6.4%,15,0.4%,16,-0.3%
OAK,6-7,21,-9.9%,19,-11.0%,11,8.4%,12,7.0%,32,18.1%,32,16.7%,17,-0.2%,19,-1.4%
CIN,5-8,22,-12.1%,18,-10.9%,21,-6.0%,18,-1.2%,22,6.1%,25,9.1%,16,-0.1%,17,-0.6%
BUF,7-6,23,-13.0%,25,-19.0%,29,-16.9%,31,-20.1%,16,-0.1%,20,3.1%,7,3.8%,6,4.2%
TB,4-9,24,-15.1%,24,-16.9%,15,1.8%,17,-0.3%,30,13.4%,31,12.8%,24,-3.6%,25,-3.8%
CHI,4-9,25,-15.6%,20,-12.1%,26,-13.2%,24,-9.9%,14,-1.3%,12,0.0%,25,-3.6%,22,-2.2%
NYJ,5-8,26,-21.9%,26,-19.8%,23,-10.0%,23,-7.9%,26,9.3%,24,8.3%,23,-2.7%,24,-3.6%
SF,3-10,27,-22.2%,27,-20.2%,25,-13.0%,25,-10.5%,28,10.6%,27,10.2%,12,1.4%,14,0.5%
MIA,6-7,28,-23.3%,28,-22.8%,28,-16.5%,28,-16.3%,25,8.9%,26,9.2%,10,2.2%,9,2.8%
DEN,4-9,29,-25.7%,32,-31.8%,32,-24.0%,32,-29.4%,9,-7.5%,10,-6.5%,32,-9.1%,32,-8.8%
IND,3-10,30,-28.2%,29,-23.0%,31,-22.6%,30,-19.9%,24,7.8%,21,5.4%,9,2.2%,10,2.4%
CLE,0-13,31,-29.2%,30,-24.1%,30,-21.3%,29,-17.3%,19,2.0%,15,1.4%,28,-5.9%,28,-5.4%
NYG,2-11,32,-29.7%,31,-30.5%,24,-11.6%,26,-12.6%,29,11.6%,29,12.4%,29,-6.5%,29,-5.5%
