Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
NO,8-2,1,36.6%,1,38.8%,2,26.7%,2,27.4%,7,-12.8%,6,-14.5%,22,-2.9%,21,-3.1%
PHI,9-1,2,32.8%,2,37.1%,6,15.4%,3,17.1%,4,-14.8%,3,-17.7%,11,2.5%,11,2.3%
LAR,7-3,3,30.6%,3,33.4%,7,10.4%,6,11.1%,5,-13.7%,5,-15.3%,2,6.5%,3,7.0%
PIT,8-2,4,29.6%,5,29.6%,5,15.5%,5,14.6%,3,-15.3%,4,-15.6%,19,-1.2%,17,-0.6%
MIN,8-2,5,29.4%,4,30.1%,3,16.5%,4,16.0%,6,-13.0%,7,-14.1%,15,-0.2%,14,0.1%
JAX,7-3,6,18.2%,7,18.4%,16,0.7%,17,-0.7%,2,-22.9%,2,-24.0%,26,-5.4%,26,-5.0%
NE,8-2,7,16.8%,6,19.5%,1,29.7%,1,29.8%,30,19.2%,30,17.7%,3,6.3%,2,7.4%
BAL,5-5,8,14.6%,8,16.4%,29,-16.7%,29,-17.1%,1,-24.1%,1,-25.4%,1,7.3%,1,8.1%
DET,6-4,9,12.5%,10,10.1%,14,2.6%,13,3.6%,14,-3.9%,17,-0.8%,4,6.0%,5,5.6%
CAR,7-3,10,12.0%,9,13.2%,17,-1.0%,16,0.1%,8,-10.1%,8,-10.1%,10,2.9%,9,3.1%
KC,6-4,11,11.9%,14,4.2%,4,15.9%,7,11.0%,25,10.0%,28,13.6%,5,5.9%,4,6.8%
DAL,5-5,12,6.5%,12,8.0%,11,6.9%,11,7.3%,21,5.7%,20,4.7%,6,5.3%,6,5.4%
SEA,6-4,13,6.3%,11,8.1%,15,0.9%,15,1.3%,12,-5.0%,10,-6.1%,14,0.4%,12,0.7%
ATL,6-4,14,4.0%,15,3.2%,8,10.2%,9,10.0%,20,4.7%,19,4.2%,20,-1.5%,20,-2.6%
GB,5-5,15,3.2%,16,2.9%,13,3.8%,14,3.1%,18,-0.2%,16,-0.9%,18,-0.8%,19,-1.2%
WAS,4-6,16,2.9%,17,-0.5%,10,7.9%,10,8.0%,19,1.5%,21,4.8%,24,-3.5%,24,-3.7%
HOU,4-6,17,1.9%,18,-1.6%,19,-1.6%,18,-2.2%,9,-6.5%,14,-4.1%,23,-3.1%,23,-3.5%
LAC,4-6,18,1.0%,13,4.9%,12,6.2%,12,6.7%,13,-4.6%,9,-7.0%,32,-9.8%,31,-8.9%
TEN,6-4,19,-11.1%,21,-14.2%,18,-1.4%,21,-4.9%,26,10.4%,25,9.5%,13,0.7%,13,0.2%
CIN,4-6,20,-12.4%,20,-13.6%,24,-11.4%,23,-10.8%,16,-1.4%,18,-0.5%,21,-2.4%,22,-3.3%
OAK,4-6,21,-14.1%,22,-14.4%,9,9.1%,8,10.3%,32,24.2%,32,24.8%,12,1.0%,15,0.0%
BUF,5-5,22,-14.6%,25,-20.2%,23,-11.4%,25,-13.1%,22,6.5%,26,10.6%,7,3.2%,8,3.5%
TB,4-6,23,-15.1%,24,-17.5%,20,-2.0%,20,-3.9%,24,9.4%,23,9.3%,25,-3.7%,25,-4.3%
CHI,3-7,24,-15.6%,19,-12.3%,22,-10.2%,22,-7.7%,17,-1.2%,15,-2.3%,28,-6.6%,28,-6.9%
ARI,4-6,25,-16.7%,23,-15.0%,26,-14.1%,24,-12.6%,11,-5.0%,12,-4.9%,29,-7.7%,29,-7.3%
DEN,3-7,26,-17.8%,26,-20.7%,25,-13.4%,26,-15.4%,10,-5.2%,13,-4.2%,31,-9.6%,32,-9.6%
NYJ,4-6,27,-23.9%,27,-22.6%,27,-16.4%,27,-15.6%,23,7.0%,22,6.4%,17,-0.5%,18,-0.7%
NYG,2-8,28,-25.6%,30,-25.9%,21,-3.5%,19,-3.9%,28,13.1%,27,13.3%,30,-8.9%,30,-8.7%
SF,1-9,29,-27.7%,31,-28.4%,28,-16.5%,28,-15.7%,29,14.3%,29,15.1%,9,3.1%,10,2.5%
CLE,0-10,30,-29.6%,28,-25.1%,32,-25.7%,32,-25.2%,15,-1.8%,11,-5.2%,27,-5.7%,27,-5.1%
IND,3-7,31,-30.4%,29,-25.9%,31,-22.7%,31,-20.3%,27,10.8%,24,9.4%,8,3.2%,7,3.8%
MIA,4-6,32,-39.5%,32,-40.3%,30,-19.4%,30,-19.5%,31,19.6%,31,20.5%,16,-0.5%,16,-0.3%
