Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
KC,4-0,1,43.4%,1,43.4%,1,39.2%,1,39.2%,11,-5.4%,11,-5.4%,19,-1.1%,19,-1.1%
PIT,3-1,2,27.5%,2,27.5%,7,12.9%,7,12.9%,6,-18.1%,6,-18.1%,26,-3.6%,26,-3.6%
LAR,3-1,3,23.2%,3,23.2%,6,14.8%,6,14.8%,13,-3.5%,13,-3.5%,4,4.9%,4,4.9%
DET,3-1,4,22.5%,4,22.5%,20,-2.4%,20,-2.4%,4,-18.2%,4,-18.2%,2,6.8%,2,6.8%
BUF,3-1,5,20.4%,5,20.4%,22,-4.1%,22,-4.1%,1,-22.7%,1,-22.7%,11,1.7%,11,1.7%
WAS,2-2,6,20.0%,6,20.0%,14,6.2%,14,6.2%,7,-15.9%,7,-15.9%,22,-2.1%,22,-2.1%
HOU,2-2,7,18.7%,7,18.7%,19,-1.5%,19,-1.5%,3,-19.9%,3,-19.9%,15,0.3%,15,0.3%
NO,2-2,8,16.1%,8,16.1%,3,19.4%,3,19.4%,17,3.1%,17,3.1%,18,-0.3%,18,-0.3%
MIN,2-2,9,15.9%,9,15.9%,5,18.5%,5,18.5%,15,1.2%,15,1.2%,21,-1.4%,21,-1.4%
JAX,2-2,10,15.8%,10,15.8%,17,2.2%,17,2.2%,5,-18.2%,5,-18.2%,27,-4.5%,27,-4.5%
ATL,3-1,11,13.0%,11,13.0%,8,12.5%,8,12.5%,19,4.2%,19,4.2%,5,4.7%,5,4.7%
GB,3-1,12,9.6%,12,9.6%,9,10.4%,9,10.4%,16,2.4%,16,2.4%,12,1.7%,12,1.7%
PHI,3-1,13,9.2%,13,9.2%,10,10.4%,10,10.4%,20,4.3%,20,4.3%,9,3.1%,9,3.1%
DEN,3-1,14,6.9%,14,6.9%,16,2.7%,16,2.7%,8,-13.7%,8,-13.7%,29,-9.4%,29,-9.4%
SEA,2-2,15,6.9%,15,6.9%,13,9.0%,13,9.0%,14,-0.1%,14,-0.1%,23,-2.2%,23,-2.2%
TEN,2-2,16,4.0%,16,4.0%,4,18.9%,4,18.9%,29,18.1%,29,18.1%,8,3.2%,8,3.2%
DAL,2-2,17,3.7%,17,3.7%,15,4.4%,15,4.4%,21,4.5%,21,4.5%,6,3.8%,6,3.8%
CAR,3-1,18,2.9%,18,2.9%,21,-3.3%,21,-3.3%,12,-4.1%,12,-4.1%,10,2.1%,10,2.1%
BAL,2-2,19,2.5%,19,2.5%,26,-18.0%,26,-18.0%,2,-20.4%,2,-20.4%,16,0.2%,16,0.2%
TB,2-1,20,0.8%,20,0.8%,12,9.5%,12,9.5%,25,9.8%,25,9.8%,13,1.2%,13,1.2%
CIN,1-3,21,-1.1%,21,-1.1%,25,-15.9%,25,-15.9%,9,-11.5%,9,-11.5%,7,3.3%,7,3.3%
NE,2-2,22,-1.5%,22,-1.5%,2,27.9%,2,27.9%,32,30.0%,32,30.0%,14,0.7%,14,0.7%
OAK,2-2,23,-6.9%,23,-6.9%,18,1.9%,18,1.9%,27,14.9%,27,14.9%,3,6.0%,3,6.0%
LAC,0-4,24,-8.1%,24,-8.1%,11,10.3%,11,10.3%,18,3.5%,18,3.5%,32,-14.9%,32,-14.9%
ARI,2-2,25,-19.4%,25,-19.4%,27,-19.6%,27,-19.6%,10,-9.0%,10,-9.0%,28,-8.8%,28,-8.8%
NYJ,2-2,26,-20.7%,26,-20.7%,24,-14.9%,24,-14.9%,22,6.0%,22,6.0%,17,0.1%,17,0.1%
NYG,0-4,27,-31.5%,27,-31.5%,23,-5.0%,23,-5.0%,28,15.0%,28,15.0%,31,-11.5%,31,-11.5%
SF,0-4,28,-31.7%,28,-31.7%,31,-30.3%,31,-30.3%,23,8.2%,23,8.2%,1,6.8%,1,6.8%
CHI,1-3,29,-35.2%,29,-35.2%,28,-24.0%,28,-24.0%,24,8.5%,24,8.5%,24,-2.7%,24,-2.7%
MIA,1-2,30,-46.1%,30,-46.1%,29,-24.4%,29,-24.4%,31,18.5%,31,18.5%,25,-3.2%,25,-3.2%
IND,1-3,31,-55.9%,31,-55.9%,32,-42.1%,32,-42.1%,26,12.6%,26,12.6%,20,-1.2%,20,-1.2%
CLE,0-4,32,-57.9%,32,-57.9%,30,-30.2%,30,-30.2%,30,18.2%,30,18.2%,30,-9.6%,30,-9.6%
