Team,W-L,DefenseDVOA Rank,DefenseDVOA,Defense WeightedDVOA Rank,Defense WeightedDVOA,PassDefense Rank,PassDefense,RushDefense Rank,RushDefense
HOU,4-0,1,-26.4%,1,-26.4%,2,-30.6%,11,-20.2%
CHI,3-1,2,-25.2%,2,-25.2%,3,-29.6%,15,-14.0%
PHI,3-1,3,-22.3%,3,-22.3%,5,-15.6%,8,-32.6%
ARI,4-0,4,-20.6%,4,-20.6%,6,-13.6%,7,-32.8%
SEA,2-2,5,-17.9%,5,-17.9%,7,-9.5%,5,-33.9%
SF,3-1,6,-17.5%,6,-17.5%,9,-2.2%,1,-44.6%
MIA,1-3,7,-16.4%,7,-16.4%,10,-1.6%,2,-44.2%
STL,2-2,8,-15.1%,8,-15.1%,1,-30.8%,27,3.7%
DEN,2-2,9,-14.7%,9,-14.7%,8,-2.4%,6,-33.1%
MIN,3-1,10,-10.4%,10,-10.4%,12,5.0%,3,-38.1%
ATL,4-0,11,-9.1%,11,-9.1%,4,-21.4%,28,5.3%
DAL,2-2,12,-6.2%,12,-6.2%,13,6.6%,12,-18.9%
TB,1-3,13,-3.2%,13,-3.2%,19,12.1%,9,-30.9%
GB,2-2,14,-2.0%,14,-2.0%,15,8.5%,14,-17.0%
BAL,3-1,15,-2.0%,15,-2.0%,18,10.4%,13,-17.5%
CLE,0-4,16,-1.4%,16,-1.4%,11,4.8%,18,-10.8%
SD,3-1,17,-1.0%,17,-1.0%,16,8.7%,10,-20.4%
NE,2-2,18,-0.1%,18,-0.1%,21,21.8%,4,-34.2%
DET,1-3,19,6.3%,19,6.3%,20,20.9%,16,-13.7%
NYJ,2-2,20,7.0%,20,7.0%,17,9.1%,29,5.3%
NYG,2-2,21,9.9%,21,9.9%,25,27.2%,19,-9.6%
JAX,1-3,22,10.3%,22,10.3%,23,23.5%,22,-2.5%
CAR,1-3,23,10.4%,23,10.4%,14,7.5%,31,14.8%
WAS,2-2,24,10.9%,24,10.9%,22,22.3%,17,-11.1%
BUF,2-2,25,14.7%,25,14.7%,27,29.1%,24,-2.1%
IND,1-2,26,15.9%,26,15.9%,24,24.7%,30,6.2%
KC,1-3,27,18.2%,27,18.2%,29,35.0%,23,-2.5%
NO,0-4,28,18.5%,28,18.5%,28,34.7%,26,3.2%
TEN,1-3,29,22.0%,29,22.0%,32,51.2%,20,-6.1%
PIT,1-2,30,23.2%,30,23.2%,30,45.1%,21,-4.2%
OAK,1-3,31,24.0%,31,24.0%,31,45.1%,25,-0.8%
CIN,3-1,32,25.5%,32,25.5%,26,28.6%,32,20.7%
