Team,W-L,DefenseDVOA Rank,DefenseDVOA,Defense WeightedDVOA Rank,Defense WeightedDVOA,PassDefense Rank,PassDefense,RushDefense Rank,RushDefense
CHI,6-1,1,-33.2%,1,-33.9%,1,-36.6%,5,-26.2%
HOU,6-1,2,-26.7%,2,-25.3%,2,-31.5%,11,-18.7%
SEA,4-4,3,-21.1%,3,-21.3%,3,-17.1%,2,-28.7%
SF,6-2,4,-16.4%,4,-17.1%,7,-6.4%,1,-32.4%
ARI,4-4,5,-16.3%,5,-15.5%,4,-16.8%,14,-15.7%
DEN,4-3,6,-14.2%,6,-13.8%,6,-12.7%,13,-16.2%
MIA,4-3,7,-10.1%,7,-10.4%,9,-1.9%,4,-26.4%
GB,5-3,8,-7.3%,8,-7.5%,10,0.2%,10,-18.9%
ATL,7-0,9,-6.7%,9,-7.2%,5,-14.0%,25,2.1%
MIN,5-3,10,-5.9%,10,-6.3%,16,6.6%,6,-25.4%
DAL,3-4,11,-5.6%,12,-4.7%,14,6.3%,12,-18.1%
PHI,3-4,12,-5.4%,14,-3.1%,15,6.4%,9,-20.9%
STL,3-5,13,-5.0%,13,-4.4%,8,-2.1%,17,-9.5%
NYG,6-2,14,-3.5%,11,-5.0%,13,2.2%,16,-11.8%
TB,3-4,15,-2.6%,16,-1.7%,18,11.9%,3,-26.8%
NYJ,3-5,16,-2.5%,15,-2.6%,12,1.1%,20,-6.1%
CAR,1-6,17,0.0%,17,-0.9%,11,0.8%,21,-1.1%
NE,5-3,18,2.1%,18,1.9%,24,19.1%,7,-23.8%
SD,3-4,19,2.9%,19,2.2%,19,13.4%,15,-15.5%
PIT,4-3,20,5.4%,20,4.2%,17,7.3%,27,2.7%
DET,3-4,21,6.3%,22,6.8%,26,24.3%,8,-22.2%
OAK,3-4,22,6.3%,21,5.3%,22,16.6%,19,-8.3%
WAS,3-5,23,6.8%,23,7.0%,21,14.7%,18,-9.3%
BAL,5-2,24,7.9%,24,9.0%,20,14.6%,24,1.6%
CLE,2-6,25,10.8%,26,12.0%,23,17.4%,26,2.2%
JAX,1-6,26,11.1%,25,10.6%,25,20.1%,23,0.8%
KC,1-6,27,14.9%,27,13.9%,27,24.5%,28,3.4%
TEN,3-5,28,18.6%,29,18.2%,30,35.5%,22,-0.7%
CIN,3-4,29,19.0%,28,16.9%,28,26.8%,30,9.2%
BUF,3-4,30,22.2%,30,22.6%,29,28.2%,32,15.7%
NO,2-5,31,22.9%,31,23.6%,31,37.6%,29,5.9%
IND,4-3,32,26.0%,32,25.9%,32,39.6%,31,10.5%
