Team,W-L,DefenseDVOA Rank,DefenseDVOA,Defense WeightedDVOA Rank,Defense WeightedDVOA,PassDefense Rank,PassDefense,RushDefense Rank,RushDefense
CHI,8-5,1,-26.9%,1,-25.5%,1,-31.8%,6,-18.7%
HOU,11-2,2,-19.7%,2,-18.4%,3,-18.6%,3,-21.6%
ARI,4-9,3,-16.5%,5,-13.8%,2,-28.6%,22,-2.6%
SF,9-3-1,4,-16.2%,3,-15.9%,7,-5.9%,1,-31.3%
SEA,8-5,5,-16.1%,6,-13.1%,4,-18.5%,12,-12.4%
DEN,10-3,6,-13.7%,4,-15.0%,5,-9.5%,5,-19.3%
STL,6-6-1,7,-9.8%,7,-9.1%,8,-4.8%,9,-16.7%
NYJ,6-7,8,-5.3%,8,-7.5%,6,-6.7%,20,-3.9%
GB,9-4,9,-3.4%,13,-1.6%,11,0.3%,13,-9.0%
ATL,11-2,10,-2.5%,14,-0.7%,9,-4.0%,25,-0.5%
MIA,5-8,11,-2.3%,11,-2.0%,17,8.3%,4,-19.4%
PIT,7-6,12,-1.9%,9,-5.7%,12,3.0%,16,-8.1%
NYG,8-5,13,-1.6%,12,-1.8%,10,-0.6%,21,-2.9%
NE,10-3,14,1.3%,15,-0.1%,24,14.4%,7,-17.6%
MIN,7-6,15,1.3%,23,3.5%,22,13.6%,8,-17.3%
DAL,7-6,16,1.9%,24,4.2%,19,10.7%,15,-8.6%
SD,5-8,17,1.9%,17,0.3%,21,12.1%,10,-14.4%
TB,6-7,18,2.4%,25,5.0%,25,18.1%,2,-25.7%
CAR,4-9,19,2.4%,21,2.9%,15,7.1%,19,-4.0%
BAL,9-4,20,2.8%,20,2.5%,14,6.4%,24,-1.3%
CLE,5-8,21,3.0%,16,0.2%,16,8.2%,18,-4.2%
DET,4-9,22,3.0%,18,2.5%,18,9.5%,17,-7.1%
WAS,7-6,23,3.7%,19,2.5%,20,10.8%,14,-8.7%
CIN,7-6,24,4.5%,10,-2.4%,13,6.4%,27,1.7%
BUF,5-8,25,7.7%,22,3.0%,23,14.0%,26,-0.1%
PHI,4-9,26,9.2%,31,14.5%,31,27.8%,11,-12.6%
TEN,4-9,27,10.0%,26,6.8%,27,20.5%,23,-2.3%
NO,5-8,28,12.5%,27,10.6%,26,19.0%,30,3.9%
JAX,2-11,29,14.0%,29,12.9%,29,25.2%,28,2.5%
IND,9-4,30,15.3%,28,12.3%,28,23.5%,29,3.7%
KC,2-11,31,15.3%,30,14.0%,30,25.3%,31,4.3%
OAK,3-10,32,19.7%,32,20.5%,32,31.2%,32,5.5%
