Team,W-L,DefenseDVOA Rank,DefenseDVOA,Defense WeightedDVOA Rank,Defense WeightedDVOA,PassDefense Rank,PassDefense,RushDefense Rank,RushDefense
CHI,8-3,1,-32.2%,1,-32.4%,1,-36.4%,3,-24.5%
ARI,4-7,2,-19.8%,2,-18.8%,2,-26.3%,16,-11.4%
HOU,10-1,3,-18.3%,4,-16.1%,4,-17.1%,6,-20.3%
SF,8-2-1,4,-17.5%,3,-16.8%,6,-8.0%,1,-31.2%
SEA,6-5,5,-16.3%,6,-14.2%,3,-19.1%,13,-11.6%
DEN,8-3,6,-14.5%,5,-16.0%,5,-11.5%,7,-18.3%
GB,7-4,7,-6.9%,7,-6.9%,8,-2.4%,12,-14.1%
TB,6-5,8,-5.8%,10,-3.6%,7,-4.2%,17,-8.1%
STL,4-6-1,8,-5.8%,10,-3.6%,7,-4.2%,17,-8.1%
NYG,7-4,9,-3.9%,8,-6.6%,9,-2.3%,20,-6.0%
CAR,3-8,10,-2.4%,12,-3.3%,10,-0.9%,21,-4.4%
PIT,6-5,11,-1.7%,9,-5.5%,13,2.3%,19,-6.5%
NYJ,4-7,12,-1.7%,11,-3.5%,12,1.1%,22,-4.4%
MIA,5-6,13,-1.6%,14,0.3%,20,13.1%,2,-27.0%
MIN,6-5,14,-1.1%,18,1.5%,19,12.9%,5,-21.0%
DAL,5-6,15,-0.7%,15,0.6%,18,12.0%,10,-15.3%
ATL,10-1,16,-0.5%,16,0.9%,11,0.0%,23,-1.1%
CLE,3-8,17,1.2%,13,-0.9%,15,7.9%,18,-7.6%
WAS,5-6,18,1.9%,17,1.4%,16,8.5%,14,-11.6%
SD,4-7,20,3.2%,19,2.4%,22,15.0%,9,-15.4%
BAL,9-2,21,3.8%,24,4.7%,14,7.5%,25,-0.4%
NE,8-3,22,4.0%,22,4.0%,25,18.8%,8,-18.1%
DET,4-7,23,4.0%,23,4.4%,21,14.5%,15,-11.6%
PHI,3-8,24,6.0%,26,10.0%,28,23.4%,11,-15.1%
CIN,6-5,25,7.6%,20,2.7%,17,9.2%,31,5.4%
BUF,4-7,26,11.3%,25,8.1%,24,18.3%,29,3.2%
KC,1-10,27,12.3%,27,11.4%,27,23.4%,26,-0.2%
NO,5-6,28,13.9%,28,12.3%,26,23.1%,28,1.8%
JAX,2-9,29,14.6%,30,13.9%,29,26.7%,27,0.3%
TEN,4-7,30,14.8%,29,13.7%,30,28.2%,24,-0.9%
OAK,3-8,31,19.1%,31,18.0%,32,30.0%,30,5.2%
IND,7-4,32,20.8%,32,20.3%,31,29.9%,32,8.2%
