Team,W-L,DefenseDVOA Rank,DefenseDVOA,Defense WeightedDVOA Rank,Defense WeightedDVOA,PassDefense Rank,PassDefense,RushDefense Rank,RushDefense
CHI,7-3,1,-33.7%,1,-34.1%,1,-38.3%,3,-25.5%
SEA,6-4,2,-22.7%,2,-22.7%,3,-24.2%,7,-20.0%
HOU,9-1,3,-21.3%,3,-20.9%,4,-20.3%,6,-23.0%
ARI,4-6,4,-20.8%,4,-20.5%,2,-25.9%,14,-13.9%
DEN,7-3,5,-15.9%,5,-17.1%,5,-13.2%,8,-19.6%
SF,7-2-1,6,-15.5%,6,-15.1%,8,-3.1%,1,-32.9%
GB,7-3,7,-10.4%,7,-10.2%,6,-7.1%,13,-15.8%
CAR,2-8,8,-5.3%,8,-7.2%,10,-1.6%,16,-10.7%
NYJ,4-6,9,-4.8%,9,-6.9%,9,-2.9%,19,-6.7%
STL,3-6-1,10,-4.7%,13,-2.7%,11,-0.9%,18,-9.7%
MIA,4-6,11,-3.4%,11,-2.7%,15,8.2%,4,-23.7%
MIN,6-4,12,-2.6%,15,-0.8%,16,11.4%,5,-23.6%
ATL,9-1,13,-1.9%,14,-0.9%,7,-4.4%,26,1.1%
DAL,5-5,14,-1.3%,16,0.0%,19,13.0%,10,-17.6%
NYG,6-4,15,-1.1%,12,-2.7%,12,2.4%,20,-5.9%
PIT,6-4,16,-0.2%,10,-3.6%,13,3.7%,21,-5.1%
TB,6-4,17,1.2%,17,2.7%,22,17.1%,2,-25.9%
PHI,3-7,18,2.7%,22,5.8%,24,18.8%,11,-17.4%
SD,4-6,19,3.8%,18,2.7%,20,14.3%,15,-13.0%
NE,7-3,20,4.0%,19,3.5%,23,17.2%,12,-16.5%
WAS,4-6,21,4.0%,20,4.0%,17,11.8%,17,-10.4%
BAL,8-2,22,4.3%,21,4.9%,14,8.1%,24,0.1%
DET,4-6,23,5.6%,23,6.0%,25,21.7%,9,-17.8%
CLE,2-8,24,6.8%,24,6.8%,18,12.2%,23,-0.4%
CIN,5-5,25,11.2%,25,7.2%,21,15.3%,31,5.6%
KC,1-9,26,12.6%,26,11.7%,27,23.6%,25,0.5%
JAX,1-9,27,14.3%,28,14.0%,29,24.7%,27,2.3%
TEN,4-6,28,14.7%,27,13.4%,30,29.1%,22,-2.5%
BUF,4-6,29,14.8%,29,14.0%,28,24.4%,29,4.3%
NO,5-5,30,15.3%,30,14.2%,26,23.2%,30,4.7%
OAK,3-7,31,19.1%,31,17.6%,31,31.3%,28,3.0%
IND,6-4,32,26.9%,32,27.0%,32,38.8%,32,10.8%
