Team,W-L,DefenseDVOA Rank,DefenseDVOA,Defense WeightedDVOA Rank,Defense WeightedDVOA,PassDefense Rank,PassDefense,RushDefense Rank,RushDefense
CHI,9-6,1,-27.2%,1,-25.3%,2,-28.4%,2,-25.2%
HOU,12-3,2,-18.6%,3,-15.3%,4,-16.1%,4,-22.7%
ARI,5-10,3,-17.3%,5,-13.6%,1,-28.9%,22,-3.5%
SEA,10-5,4,-16.4%,4,-14.5%,3,-19.0%,11,-12.1%
SF,10-4-1,5,-15.7%,2,-15.5%,5,-8.1%,1,-26.8%
DEN,12-3,6,-11.7%,6,-12.5%,7,-6.8%,7,-18.7%
STL,7-7-1,7,-11.4%,7,-12.1%,6,-7.6%,9,-16.8%
GB,11-4,8,-8.0%,9,-8.6%,8,-6.1%,13,-11.0%
ATL,13-2,9,-5.8%,11,-6.3%,9,-4.6%,16,-7.3%
NYJ,6-9,10,-3.5%,12,-6.2%,10,-3.4%,21,-3.7%
CAR,6-9,11,-2.3%,13,-2.9%,12,0.0%,18,-5.5%
PIT,7-8,12,-2.0%,10,-6.7%,13,6.0%,10,-12.6%
CIN,9-6,13,-0.9%,8,-11.8%,11,0.0%,24,-2.1%
MIA,7-8,14,-0.9%,14,-1.7%,17,10.5%,6,-18.8%
MIN,9-6,15,-0.6%,15,0.5%,18,11.1%,5,-19.5%
SD,6-9,16,2.7%,16,1.2%,21,12.7%,12,-12.1%
DAL,8-7,17,3.2%,26,7.1%,22,13.4%,14,-10.0%
NYG,8-7,18,3.4%,21,3.9%,16,10.3%,19,-4.8%
BAL,10-5,19,3.6%,20,3.7%,14,6.5%,26,0.4%
NE,11-4,20,3.8%,18,3.0%,26,19.2%,8,-18.3%
WAS,9-6,21,3.9%,17,2.5%,15,8.2%,20,-3.9%
DET,4-11,22,4.3%,22,4.4%,20,12.0%,17,-7.0%
TB,6-9,23,4.8%,27,9.1%,27,21.0%,3,-23.3%
CLE,5-10,24,5.3%,19,3.2%,19,11.4%,23,-2.9%
PHI,4-11,25,8.2%,32,15.1%,30,23.9%,15,-9.2%
TEN,5-10,26,9.9%,23,4.9%,24,16.9%,29,1.5%
NO,7-8,27,10.4%,25,6.9%,25,17.0%,27,0.8%
BUF,5-10,28,11.2%,24,5.2%,23,16.6%,31,4.9%
KC,2-13,29,13.3%,28,10.1%,28,22.6%,30,3.1%
JAX,2-13,30,13.4%,29,11.8%,31,25.0%,28,1.2%
OAK,4-11,31,14.4%,31,12.8%,32,25.4%,25,0.2%
IND,10-5,32,16.0%,30,12.3%,29,22.8%,32,7.3%
