Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
NE,7-0,1,40.4%,1,40.2%,1,30.0%,1,28.7%,10,-2.5%,9,-3.3%,1,7.9%,1,8.1%
ARI,6-2,2,38.9%,2,37.0%,3,21.1%,3,20.3%,4,-19.3%,4,-18.6%,17,-1.4%,18,-1.9%
CIN,7-0,3,30.6%,3,29.2%,2,25.9%,2,25.5%,12,-1.0%,14,0.7%,7,3.7%,7,4.3%
GB,6-1,4,21.9%,6,20.1%,4,17.0%,5,15.0%,9,-3.4%,8,-3.8%,10,1.5%,10,1.3%
NYJ,4-3,5,21.0%,5,20.6%,8,9.5%,8,10.2%,6,-17.6%,6,-16.7%,28,-6.1%,28,-6.4%
DEN,7-0,6,19.8%,4,20.9%,30,-17.6%,29,-15.6%,1,-36.1%,1,-35.5%,11,1.4%,11,1.0%
CAR,7-0,7,15.2%,7,16.0%,13,2.8%,11,3.4%,5,-18.2%,5,-17.9%,27,-5.8%,26,-5.3%
SEA,4-4,8,13.3%,9,14.1%,15,0.6%,15,0.9%,7,-6.9%,7,-7.6%,2,5.8%,3,5.6%
OAK,4-3,9,12.3%,8,15.1%,6,13.6%,4,15.6%,18,2.9%,16,2.1%,9,1.6%,9,1.6%
PIT,4-4,10,11.9%,12,11.5%,5,13.9%,6,12.3%,13,-0.4%,11,-1.2%,20,-2.4%,19,-1.9%
PHI,3-4,11,11.2%,10,12.4%,22,-7.7%,22,-7.3%,3,-19.5%,3,-19.9%,14,-0.6%,14,-0.2%
KC,3-5,12,11.0%,11,12.0%,9,9.2%,9,9.5%,16,2.6%,17,2.2%,6,4.4%,5,4.6%
STL,4-3,13,7.8%,13,7.6%,28,-14.5%,28,-15.3%,2,-23.1%,2,-23.7%,16,-0.9%,16,-0.9%
BUF,3-4,14,2.4%,15,0.1%,12,3.9%,14,2.1%,15,1.9%,15,1.7%,12,0.3%,15,-0.3%
NYG,4-4,15,0.4%,14,0.4%,14,2.4%,13,2.7%,23,7.5%,24,7.8%,4,5.5%,4,5.6%
ATL,6-2,16,-0.2%,16,-1.4%,11,4.3%,12,3.3%,14,-0.3%,13,-0.5%,25,-4.8%,25,-5.2%
BAL,2-6,17,-5.2%,18,-5.6%,17,-0.8%,17,-0.4%,26,10.0%,28,11.1%,3,5.6%,2,5.8%
NO,4-4,18,-6.4%,17,-5.4%,7,11.3%,7,11.8%,30,14.0%,30,13.5%,24,-3.6%,24,-3.7%
WAS,3-4,19,-8.0%,19,-7.1%,16,-0.1%,16,0.5%,24,8.1%,25,8.4%,13,0.1%,12,0.8%
DAL,2-5,20,-10.9%,23,-12.4%,21,-7.2%,23,-8.2%,11,-1.4%,12,-1.1%,26,-5.1%,27,-5.4%
MIA,3-4,21,-11.5%,20,-10.7%,18,-2.9%,18,-1.7%,22,6.9%,22,6.8%,19,-1.8%,20,-2.2%
IND,3-5,22,-12.3%,22,-11.8%,23,-8.0%,24,-8.8%,19,3.7%,19,3.1%,15,-0.6%,13,0.0%
TB,3-4,23,-15.1%,21,-11.1%,24,-9.5%,21,-6.0%,20,4.1%,20,3.4%,18,-1.5%,17,-1.7%
CLE,2-6,24,-16.3%,24,-15.2%,25,-10.4%,25,-9.6%,27,10.6%,26,10.1%,5,4.7%,6,4.6%
SD,2-6,25,-17.3%,26,-17.3%,10,5.1%,10,5.5%,31,15.3%,31,15.9%,29,-7.1%,30,-6.9%
JAX,2-5,26,-17.5%,27,-17.7%,19,-3.9%,19,-3.5%,21,6.4%,23,7.1%,30,-7.3%,31,-7.1%
MIN,5-2,27,-18.3%,25,-16.1%,27,-13.4%,27,-13.1%,25,8.2%,21,6.7%,8,3.3%,8,3.7%
TEN,1-6,28,-19.9%,29,-23.7%,31,-21.1%,32,-23.5%,8,-4.2%,10,-2.6%,23,-3.1%,22,-2.8%
HOU,3-5,29,-22.2%,28,-21.8%,26,-12.2%,26,-12.3%,17,2.7%,18,2.7%,31,-7.3%,29,-6.8%
CHI,2-5,30,-26.5%,30,-25.0%,20,-5.8%,20,-5.8%,29,12.8%,29,11.3%,32,-7.9%,32,-7.9%
DET,1-7,31,-29.5%,31,-29.9%,29,-15.8%,30,-15.9%,28,10.8%,27,10.8%,21,-2.9%,23,-3.2%
SF,2-6,32,-41.7%,32,-43.4%,32,-21.6%,31,-23.2%,32,17.1%,32,17.6%,22,-3.0%,21,-2.6%
