Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
ARI,2-0,1,89.4%,1,89.4%,1,61.1%,1,61.1%,6,-17.1%,6,-17.1%,3,11.2%,3,11.2%
NYJ,2-0,2,43.4%,2,43.4%,9,6.2%,9,6.2%,2,-38.8%,2,-38.8%,18,-1.6%,18,-1.6%
CIN,2-0,3,41.7%,3,41.7%,5,33.8%,5,33.8%,7,-12.7%,7,-12.7%,20,-4.7%,20,-4.7%
PIT,1-1,4,37.8%,4,37.8%,2,55.6%,2,55.6%,25,11.0%,25,11.0%,23,-6.8%,23,-6.8%
GB,2-0,5,32.9%,5,32.9%,3,36.9%,3,36.9%,20,8.8%,20,8.8%,8,4.8%,8,4.8%
NE,2-0,6,31.3%,6,31.3%,4,34.2%,4,34.2%,21,8.9%,21,8.9%,6,6.1%,6,6.1%
DEN,2-0,7,23.5%,7,23.5%,31,-32.1%,31,-32.1%,1,-47.7%,1,-47.7%,4,7.9%,4,7.9%
CAR,2-0,8,21.5%,8,21.5%,16,-5.0%,16,-5.0%,3,-36.9%,3,-36.9%,25,-10.4%,25,-10.4%
ATL,2-0,9,17.3%,9,17.3%,6,14.2%,6,14.2%,12,-5.9%,12,-5.9%,19,-2.8%,19,-2.8%
TEN,1-1,10,13.8%,10,13.8%,11,5.3%,11,5.3%,4,-25.6%,4,-25.6%,32,-17.0%,32,-17.0%
DAL,2-0,11,13.4%,11,13.4%,21,-7.6%,21,-7.6%,5,-22.2%,5,-22.2%,15,-1.2%,15,-1.2%
MIA,1-1,12,3.4%,12,3.4%,10,5.4%,10,5.4%,15,1.7%,15,1.7%,14,-0.3%,14,-0.3%
WAS,1-1,13,3.3%,13,3.3%,13,1.5%,13,1.5%,9,-12.2%,9,-12.2%,26,-10.4%,26,-10.4%
BUF,1-1,14,1.6%,14,1.6%,7,13.2%,7,13.2%,28,16.5%,28,16.5%,7,4.9%,7,4.9%
KC,1-1,15,1.0%,15,1.0%,24,-14.5%,24,-14.5%,8,-12.6%,8,-12.6%,12,2.9%,12,2.9%
STL,1-1,16,-1.1%,16,-1.1%,22,-9.1%,22,-9.1%,10,-7.7%,10,-7.7%,13,0.3%,13,0.3%
NYG,0-2,17,-4.4%,17,-4.4%,19,-5.8%,19,-5.8%,22,10.0%,22,10.0%,2,11.4%,2,11.4%
BAL,0-2,18,-5.9%,18,-5.9%,20,-6.7%,20,-6.7%,17,3.1%,17,3.1%,10,3.8%,10,3.8%
CLE,1-1,19,-9.4%,19,-9.4%,30,-20.6%,30,-20.6%,16,2.8%,16,2.8%,1,14.1%,1,14.1%
JAX,1-1,20,-9.6%,20,-9.6%,23,-9.7%,23,-9.7%,11,-6.7%,11,-6.7%,22,-6.6%,22,-6.6%
SD,1-1,21,-12.1%,21,-12.1%,8,10.2%,8,10.2%,24,10.7%,24,10.7%,30,-11.7%,30,-11.7%
SEA,0-2,22,-15.3%,22,-15.3%,18,-5.4%,18,-5.4%,26,13.3%,26,13.3%,11,3.4%,11,3.4%
DET,0-2,23,-15.8%,23,-15.8%,15,-3.8%,15,-3.8%,23,10.5%,23,10.5%,16,-1.5%,16,-1.5%
MIN,1-1,24,-21.9%,24,-21.9%,17,-5.3%,17,-5.3%,27,15.1%,27,15.1%,17,-1.5%,17,-1.5%
OAK,1-1,25,-25.2%,25,-25.2%,12,1.7%,12,1.7%,31,31.0%,31,31.0%,9,4.1%,9,4.1%
PHI,0-2,26,-28.0%,26,-28.0%,29,-20.5%,29,-20.5%,13,-3.3%,13,-3.3%,27,-10.7%,27,-10.7%
SF,1-1,27,-36.0%,27,-36.0%,14,1.0%,14,1.0%,30,28.3%,30,28.3%,24,-8.7%,24,-8.7%
HOU,0-2,28,-36.3%,28,-36.3%,28,-19.3%,28,-19.3%,18,5.7%,18,5.7%,28,-11.4%,28,-11.4%
IND,0-2,29,-37.1%,29,-37.1%,26,-16.9%,26,-16.9%,19,8.7%,19,8.7%,29,-11.5%,29,-11.5%
TB,1-1,30,-39.5%,30,-39.5%,32,-46.0%,32,-46.0%,14,0.1%,14,0.1%,5,6.6%,5,6.6%
NO,0-2,31,-48.4%,31,-48.4%,27,-17.6%,27,-17.6%,29,17.9%,29,17.9%,31,-12.9%,31,-12.9%
CHI,0-2,32,-72.8%,32,-72.8%,25,-16.1%,25,-16.1%,32,50.5%,32,50.5%,21,-6.3%,21,-6.3%
