Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
SEA,8-5,1,32.5%,1,38.5%,3,19.7%,1,25.1%,7,-10.5%,4,-13.0%,8,2.3%,13,0.5%
CIN,10-3,2,30.4%,4,28.6%,1,22.0%,2,19.2%,10,-5.1%,12,-5.6%,3,3.3%,3,3.8%
ARI,11-2,3,29.8%,7,23.9%,5,17.3%,6,15.4%,4,-13.8%,6,-10.3%,18,-1.3%,21,-1.8%
NE,11-2,4,28.9%,5,25.9%,2,19.7%,5,16.6%,9,-6.2%,9,-7.5%,5,3.0%,10,1.8%
KC,8-5,5,28.5%,2,36.1%,6,14.2%,4,16.7%,6,-11.3%,3,-16.4%,4,3.0%,6,3.0%
CAR,13-0,6,26.8%,3,30.2%,9,8.1%,8,8.9%,2,-22.5%,2,-24.1%,28,-3.9%,23,-2.8%
PIT,8-5,7,21.0%,6,24.1%,4,19.0%,3,18.1%,14,-2.5%,11,-5.7%,15,-0.4%,14,0.3%
DEN,10-3,8,15.4%,8,15.8%,28,-13.8%,24,-11.3%,1,-28.6%,1,-27.2%,14,0.6%,16,-0.1%
GB,9-4,9,12.7%,11,4.9%,8,10.4%,11,5.8%,12,-3.1%,13,-0.5%,17,-0.8%,18,-1.5%
NYJ,8-5,10,11.8%,9,9.9%,13,2.8%,13,2.7%,5,-11.7%,8,-9.0%,24,-2.7%,20,-1.8%
BUF,6-7,11,4.4%,12,4.0%,7,11.8%,7,12.5%,27,8.6%,27,9.9%,10,1.2%,11,1.5%
OAK,6-7,12,1.7%,14,2.4%,11,5.7%,12,5.7%,18,2.4%,17,0.5%,20,-1.6%,24,-2.9%
DET,4-9,13,-0.4%,10,5.5%,20,-4.7%,19,-2.7%,13,-3.1%,10,-5.9%,9,1.2%,7,2.3%
MIN,8-5,14,-1.0%,13,3.2%,15,-1.0%,15,0.9%,19,2.9%,18,1.4%,6,3.0%,4,3.7%
NYG,6-7,15,-4.8%,18,-3.8%,17,-1.8%,16,-1.0%,26,8.5%,24,8.7%,2,5.5%,2,5.9%
STL,5-8,16,-4.9%,20,-8.8%,32,-21.1%,32,-22.9%,3,-15.0%,5,-12.6%,11,1.2%,12,1.4%
HOU,6-7,17,-6.3%,15,-1.4%,23,-7.3%,22,-7.2%,8,-6.6%,7,-10.1%,32,-5.6%,32,-4.4%
TB,6-7,18,-6.7%,16,-2.1%,18,-3.4%,14,1.2%,15,0.2%,14,-0.2%,26,-3.1%,28,-3.6%
WAS,6-7,19,-7.1%,17,-3.6%,19,-4.3%,20,-3.9%,21,5.4%,20,3.4%,7,2.6%,5,3.7%
PHI,6-7,20,-8.1%,23,-11.6%,25,-12.2%,28,-13.0%,11,-3.1%,16,0.3%,12,1.0%,9,1.8%
CHI,5-8,21,-8.8%,19,-4.2%,12,3.6%,10,5.9%,24,8.1%,22,6.6%,29,-4.3%,27,-3.5%
BAL,4-9,22,-9.1%,21,-10.4%,24,-7.3%,23,-9.7%,23,7.9%,23,7.4%,1,6.0%,1,6.7%
JAX,5-8,23,-11.2%,22,-10.9%,16,-1.3%,17,-1.8%,25,8.1%,25,8.9%,21,-1.8%,15,-0.1%
ATL,6-7,24,-13.7%,26,-18.1%,22,-7.2%,26,-11.8%,20,4.1%,21,4.6%,22,-2.4%,19,-1.7%
DAL,4-9,25,-15.0%,24,-15.1%,30,-15.2%,30,-17.5%,16,0.8%,15,-0.1%,13,0.9%,8,2.3%
NO,5-8,26,-15.4%,25,-15.2%,10,7.1%,9,7.5%,32,19.8%,32,20.5%,23,-2.7%,22,-2.2%
IND,6-7,27,-18.5%,27,-20.2%,29,-14.8%,31,-17.7%,17,2.3%,19,1.4%,19,-1.4%,17,-1.0%
MIA,5-8,28,-19.7%,28,-21.6%,21,-5.4%,21,-5.6%,28,11.3%,30,12.3%,25,-3.1%,29,-3.7%
SD,3-10,29,-21.1%,29,-22.7%,14,-0.4%,18,-2.5%,31,15.4%,31,16.0%,31,-5.3%,31,-4.2%
TEN,3-10,30,-23.7%,30,-25.1%,26,-12.5%,25,-11.7%,22,6.8%,26,9.2%,30,-4.5%,30,-4.2%
CLE,3-10,31,-25.5%,31,-26.8%,27,-12.6%,27,-12.5%,29,12.2%,28,11.3%,16,-0.7%,26,-3.1%
SF,4-9,32,-33.4%,32,-31.5%,31,-16.4%,29,-16.4%,30,13.5%,29,12.0%,27,-3.5%,25,-3.1%
