Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
NE,9-0,1,35.0%,1,32.4%,1,22.1%,1,19.2%,8,-5.0%,8,-5.2%,1,7.9%,1,8.1%
ARI,7-2,2,33.4%,2,28.7%,3,17.2%,3,15.7%,4,-16.3%,6,-14.1%,14,-0.1%,14,-1.1%
CIN,8-1,3,26.6%,3,25.6%,2,19.7%,2,19.0%,9,-4.4%,9,-3.3%,9,2.5%,8,3.3%
CAR,9-0,4,20.6%,4,22.7%,9,8.5%,9,9.5%,6,-15.3%,4,-14.9%,23,-3.2%,16,-1.8%
SEA,4-5,5,17.9%,5,19.6%,11,4.2%,12,5.4%,7,-8.6%,7,-10.3%,4,5.0%,5,3.9%
NYJ,5-4,6,15.7%,7,15.3%,13,3.4%,13,4.7%,5,-16.3%,5,-14.6%,27,-4.1%,27,-3.9%
PIT,6-4,7,15.5%,8,15.0%,4,16.7%,4,14.2%,11,-1.5%,11,-3.1%,21,-2.6%,20,-2.2%
KC,4-5,8,12.5%,6,17.2%,8,8.9%,6,10.8%,15,-0.5%,12,-3.0%,8,3.2%,7,3.3%
GB,6-3,9,11.9%,12,6.3%,5,13.5%,8,9.9%,13,-0.6%,16,0.7%,19,-2.2%,23,-2.9%
BUF,5-4,10,10.8%,9,9.2%,7,11.2%,7,10.2%,18,2.6%,19,3.3%,10,2.1%,10,2.4%
DEN,7-2,11,8.9%,11,8.1%,32,-22.1%,31,-20.9%,1,-27.2%,1,-25.4%,5,3.9%,6,3.6%
PHI,4-5,12,7.3%,10,9.0%,23,-7.2%,23,-6.0%,3,-16.6%,3,-16.8%,18,-2.1%,18,-1.8%
NYG,5-5,13,2.5%,14,2.4%,17,0.5%,17,0.1%,19,3.2%,18,3.2%,3,5.2%,3,5.5%
OAK,4-5,14,2.5%,13,4.5%,6,11.7%,5,13.4%,25,7.6%,26,6.6%,15,-1.6%,22,-2.3%
STL,4-5,15,-0.7%,15,-1.4%,31,-20.6%,32,-21.6%,2,-18.7%,2,-19.0%,11,1.2%,11,1.2%
ATL,6-3,16,-0.8%,17,-3.2%,15,2.2%,18,-0.8%,16,0.6%,14,0.1%,20,-2.4%,21,-2.3%
WAS,4-5,17,-2.5%,16,-2.2%,16,1.9%,15,1.9%,22,4.8%,23,4.9%,13,0.4%,12,0.9%
BAL,2-7,18,-4.9%,18,-4.9%,19,-1.9%,19,-2.2%,27,8.3%,28,8.5%,2,5.3%,2,5.8%
DAL,2-7,19,-8.3%,23,-10.0%,22,-5.1%,24,-6.2%,17,1.5%,17,2.1%,16,-1.7%,17,-1.8%
MIN,7-2,20,-8.8%,20,-6.7%,24,-7.5%,25,-7.4%,23,5.0%,20,3.6%,7,3.8%,4,4.3%
MIA,4-5,21,-9.0%,19,-5.7%,14,2.9%,11,6.1%,28,8.8%,27,8.1%,22,-3.1%,25,-3.6%
IND,4-5,22,-10.0%,21,-8.9%,20,-3.7%,20,-3.6%,21,4.4%,21,3.8%,17,-2.0%,15,-1.6%
TB,4-5,23,-13.7%,22,-9.8%,25,-9.9%,22,-5.5%,14,-0.5%,13,-0.6%,28,-4.3%,29,-4.9%
HOU,4-5,24,-15.0%,25,-13.7%,26,-11.9%,26,-12.2%,10,-2.7%,10,-3.2%,29,-5.9%,28,-4.7%
JAX,3-6,25,-15.3%,26,-15.6%,21,-4.6%,21,-5.1%,20,4.3%,22,4.1%,30,-6.4%,30,-6.4%
NO,4-6,26,-16.2%,27,-15.8%,10,7.6%,10,8.3%,32,20.3%,32,20.7%,25,-3.5%,24,-3.5%
CHI,4-5,27,-17.2%,24,-12.7%,18,-1.0%,16,0.6%,26,7.7%,24,5.2%,32,-8.5%,32,-8.1%
TEN,2-7,28,-18.5%,30,-20.6%,29,-16.3%,29,-18.4%,12,-1.1%,15,0.1%,24,-3.2%,19,-2.1%
SD,2-7,29,-19.7%,28,-19.4%,12,3.6%,14,4.5%,31,16.4%,31,17.4%,31,-6.9%,31,-6.5%
DET,2-7,30,-20.4%,29,-19.6%,28,-14.9%,28,-15.1%,24,6.1%,25,5.3%,12,0.6%,13,0.8%
CLE,2-8,31,-22.9%,31,-23.1%,27,-12.7%,27,-12.4%,29,14.1%,29,13.6%,6,3.8%,9,2.9%
SF,3-6,32,-39.1%,32,-38.5%,30,-19.7%,30,-20.4%,30,15.3%,30,14.3%,26,-4.0%,26,-3.8%
