Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
SEA,10-6,1,38.6%,1,51.2%,1,19.7%,1,27.3%,4,-14.8%,2,-21.2%,3,4.2%,9,2.7%
ARI,13-3,2,30.2%,6,21.8%,4,16.2%,5,13.8%,2,-18.1%,6,-15.1%,29,-4.0%,32,-7.1%
CIN,12-4,3,26.6%,5,22.3%,2,19.4%,3,14.7%,10,-5.0%,13,-4.9%,8,2.2%,8,2.8%
CAR,15-1,4,25.5%,3,29.4%,7,10.5%,7,12.6%,3,-17.3%,4,-17.0%,23,-2.4%,19,-0.2%
KC,11-5,5,25.5%,2,32.7%,6,13.1%,4,14.5%,8,-10.4%,5,-16.8%,9,2.0%,17,1.4%
NE,12-4,6,22.7%,8,15.1%,5,15.4%,10,9.4%,11,-3.4%,16,-3.6%,5,3.9%,13,2.1%
PIT,10-6,7,20.4%,4,23.9%,3,17.7%,2,14.9%,12,-2.6%,9,-6.8%,18,0.2%,11,2.2%
DEN,12-4,8,17.4%,7,17.6%,24,-8.5%,17,-3.4%,1,-25.2%,1,-22.2%,14,0.7%,21,-1.1%
NYJ,10-6,9,11.7%,11,12.1%,14,1.6%,15,3.1%,6,-13.0%,7,-11.3%,25,-2.9%,24,-2.3%
GB,10-6,10,8.8%,18,-2.6%,11,2.7%,22,-7.5%,9,-5.7%,15,-4.4%,17,0.4%,18,0.5%
MIN,11-5,11,5.8%,10,13.5%,15,0.5%,14,3.5%,14,-1.4%,12,-5.1%,4,3.9%,4,5.0%
DET,7-9,12,5.0%,9,14.9%,13,1.8%,12,7.2%,13,-2.3%,11,-5.8%,13,1.0%,15,1.9%
BUF,8-8,13,0.9%,16,-1.2%,9,9.7%,8,9.5%,24,10.3%,28,12.5%,12,1.5%,16,1.8%
STL,7-9,14,0.9%,17,-2.2%,29,-15.5%,29,-15.6%,5,-14.0%,8,-10.0%,7,2.4%,7,3.3%
OAK,7-9,15,-0.6%,15,-0.7%,17,-1.3%,19,-6.7%,16,-0.8%,10,-6.4%,19,-0.1%,20,-0.4%
WAS,9-7,16,-0.8%,12,6.1%,12,2.0%,13,6.7%,21,6.0%,21,5.7%,6,3.2%,3,5.0%
HOU,9-7,17,-2.4%,13,5.3%,25,-8.9%,24,-9.0%,7,-12.2%,3,-18.4%,32,-5.7%,30,-4.1%
BAL,5-11,18,-4.4%,20,-4.1%,21,-5.5%,23,-8.2%,22,6.3%,19,4.7%,1,7.3%,1,8.8%
CHI,6-10,19,-6.5%,14,0.2%,10,6.6%,9,9.5%,31,11.9%,27,11.9%,21,-1.2%,10,2.7%
NYG,6-10,20,-7.4%,21,-8.0%,19,-1.8%,16,-0.7%,27,11.0%,30,13.2%,2,5.4%,2,5.9%
TB,6-10,21,-9.6%,19,-3.2%,18,-1.5%,11,7.9%,19,3.3%,20,5.3%,30,-4.7%,31,-5.9%
ATL,8-8,22,-12.4%,28,-18.4%,22,-7.2%,26,-13.4%,18,3.1%,18,3.4%,22,-2.1%,22,-1.6%
PHI,7-9,23,-12.8%,25,-17.4%,26,-10.5%,25,-10.2%,20,4.2%,26,11.6%,10,1.9%,5,4.3%
IND,8-8,24,-14.0%,23,-14.5%,31,-15.9%,32,-21.0%,15,-1.4%,14,-4.5%,16,0.5%,12,2.1%
NO,7-9,25,-15.0%,22,-12.0%,8,9.8%,6,13.3%,32,21.7%,32,22.6%,26,-3.2%,25,-2.7%
DAL,4-12,26,-16.0%,24,-17.1%,30,-15.8%,31,-18.5%,17,2.0%,17,2.2%,11,1.8%,6,3.6%
JAX,5-11,27,-16.7%,26,-17.9%,20,-5.2%,21,-7.1%,25,10.6%,29,12.7%,20,-0.9%,14,2.0%
SD,4-12,28,-16.9%,27,-17.9%,16,-0.4%,18,-4.3%,29,11.2%,24,9.6%,31,-5.3%,29,-4.0%
MIA,6-10,29,-21.1%,29,-20.7%,23,-7.4%,20,-6.8%,28,11.0%,25,10.8%,24,-2.7%,28,-3.0%
CLE,3-13,30,-24.1%,31,-25.0%,27,-13.2%,28,-13.8%,30,11.5%,23,9.1%,15,0.7%,23,-2.1%
TEN,3-13,31,-28.1%,32,-34.1%,32,-15.9%,30,-17.8%,23,8.4%,31,13.6%,28,-3.8%,26,-2.8%
SF,5-11,32,-28.3%,30,-23.8%,28,-13.9%,27,-13.6%,26,10.8%,22,7.3%,27,-3.6%,27,-3.0%
