Team,W-L,DefenseDVOA Rank,DefenseDVOA,Defense WeightedDVOA Rank,Defense WeightedDVOA,PassDefense Rank,PassDefense,RushDefense Rank,RushDefense
WAS,1-0,1,-69.4%,1,-69.4%,1,-81.2%,7,-38.7%
PIT,1-0,2,-39.0%,2,-39.0%,6,-18.0%,1,-83.2%
BAL,1-0,3,-38.8%,3,-38.8%,2,-32.0%,5,-47.8%
PHI,0-1,4,-33.6%,4,-33.6%,7,-16.3%,4,-49.6%
NE,1-0,5,-23.8%,5,-23.8%,3,-27.0%,15,-20.3%
LAC,1-0,6,-20.4%,6,-20.4%,5,-23.9%,19,-14.9%
BUF,1-0,7,-19.0%,7,-19.0%,4,-25.5%,23,-7.1%
TB,0-1,8,-16.4%,8,-16.4%,16,14.7%,3,-50.6%
NO,1-0,9,-14.3%,9,-14.3%,8,-11.8%,17,-17.8%
TEN,1-0,10,-11.1%,10,-11.1%,9,-9.7%,21,-12.6%
CIN,0-1,11,-8.5%,11,-8.5%,12,8.9%,13,-22.5%
CHI,1-0,12,-1.6%,12,-1.6%,10,7.2%,18,-15.6%
JAX,1-0,13,0.5%,13,0.5%,17,15.2%,10,-26.7%
SF,0-1,14,0.6%,14,0.6%,18,17.7%,14,-20.9%
DET,0-1,15,1.2%,15,1.2%,13,9.8%,22,-10.9%
NYJ,0-1,16,2.7%,16,2.7%,26,41.4%,2,-59.6%
ARI,1-0,17,2.9%,17,2.9%,19,20.1%,16,-18.9%
DAL,0-1,18,3.9%,18,3.9%,11,8.6%,28,0.2%
DEN,0-1,19,3.9%,19,3.9%,21,28.1%,11,-25.2%
LAR,1-0,20,9.5%,20,9.5%,20,21.1%,24,-7.1%
SEA,1-0,21,9.5%,21,9.5%,22,29.4%,8,-35.3%
NYG,0-1,22,11.9%,22,11.9%,27,50.3%,9,-28.3%
LV,1-0,23,16.5%,23,16.5%,25,36.2%,26,-3.6%
HOU,0-1,24,16.7%,24,16.7%,29,53.1%,20,-13.3%
KC,1-0,25,17.5%,25,17.5%,14,10.4%,31,30.0%
MIN,0-1,26,20.1%,26,20.1%,24,35.7%,27,-0.2%
CAR,0-1,27,24.0%,27,24.0%,28,50.7%,29,1.8%
IND,0-1,28,26.0%,28,26.0%,30,62.2%,12,-22.8%
MIA,0-1,29,28.3%,29,28.3%,15,14.7%,32,34.5%
GB,1-0,30,28.7%,30,28.7%,23,31.7%,30,24.7%
CLE,0-1,31,33.3%,31,33.3%,32,119.7%,6,-47.0%
ATL,0-1,32,38.9%,32,38.9%,31,63.9%,25,-6.8%
