Team,W-L,DefenseDVOA Rank,DefenseDVOA,Defense WeightedDVOA Rank,Defense WeightedDVOA,PassDefense Rank,PassDefense,RushDefense Rank,RushDefense
IND,2-1,1,-32.3%,1,-32.3%,1,-39.8%,12,-22.2%
TB,2-1,2,-28.6%,2,-28.6%,3,-24.9%,5,-34.8%
PIT,3-0,3,-26.9%,3,-26.9%,6,-9.9%,1,-61.2%
WAS,1-2,4,-23.1%,4,-23.1%,2,-33.0%,18,-9.8%
SF,2-1,5,-18.9%,5,-18.9%,7,-9.6%,7,-31.1%
CHI,3-0,6,-13.6%,6,-13.6%,4,-17.5%,20,-6.3%
ARI,2-1,7,-8.5%,7,-8.5%,9,1.1%,13,-21.8%
CLE,2-1,8,-5.9%,8,-5.9%,10,6.0%,10,-24.9%
CIN,0-2-1,9,-5.5%,9,-5.5%,8,-7.0%,21,-3.9%
BAL,2-1,10,-4.8%,10,-4.8%,22,18.2%,2,-49.6%
LAC,1-2,11,-2.5%,11,-2.5%,14,9.3%,11,-24.3%
NO,1-2,12,-2.5%,12,-2.5%,21,18.1%,6,-31.3%
KC,3-0,13,-0.1%,13,-0.1%,5,-10.2%,30,12.2%
NYJ,0-3,14,0.6%,14,0.6%,31,34.8%,3,-39.7%
PHI,0-2-1,15,1.9%,15,1.9%,23,19.6%,16,-19.4%
TEN,3-0,16,2.4%,16,2.4%,11,6.5%,22,-2.9%
DAL,1-2,17,2.8%,17,2.8%,24,20.3%,15,-19.5%
NYG,0-3,18,3.4%,18,3.4%,30,33.1%,8,-26.4%
MIN,0-3,19,4.0%,19,4.0%,13,7.6%,23,0.5%
ATL,0-3,20,4.5%,20,4.5%,17,14.8%,17,-13.4%
LAR,2-1,21,5.4%,21,5.4%,12,7.5%,25,2.8%
DEN,0-3,22,6.0%,22,6.0%,26,23.1%,14,-20.6%
SEA,3-0,23,7.3%,23,7.3%,29,28.1%,4,-37.6%
BUF,3-0,24,8.8%,24,8.8%,15,12.4%,26,3.7%
NE,2-1,25,9.1%,25,9.1%,27,23.4%,19,-9.7%
HOU,0-3,26,9.4%,26,9.4%,19,16.9%,24,2.1%
DET,1-2,27,11.5%,27,11.5%,16,12.6%,29,10.1%
GB,3-0,28,11.7%,28,11.7%,20,17.1%,27,3.7%
JAX,1-2,29,14.4%,29,14.4%,32,54.2%,9,-26.3%
CAR,1-2,30,16.6%,30,16.6%,28,23.4%,28,7.6%
LV,2-1,31,18.4%,31,18.4%,18,15.5%,32,21.3%
MIA,1-2,32,20.1%,32,20.1%,25,21.8%,31,17.9%
