Team,W-L,DefenseDVOA Rank,DefenseDVOA,Defense WeightedDVOA Rank,Defense WeightedDVOA,PassDefense Rank,PassDefense,RushDefense Rank,RushDefense
PIT,12-4,1,-20.2%,4,-20.0%,1,-19.8%,5,-20.7%
NO,12-4,2,-19.0%,2,-21.7%,3,-14.7%,2,-25.6%
WAS,7-9,3,-18.3%,3,-21.0%,2,-18.0%,11,-18.8%
LAR,10-6,4,-17.0%,1,-24.2%,4,-12.0%,3,-24.1%
TB,11-5,5,-14.6%,6,-12.0%,5,-5.4%,1,-31.4%
SF,6-10,6,-9.9%,5,-13.8%,7,-3.2%,10,-19.5%
IND,11-5,7,-9.5%,10,-6.0%,8,-2.9%,9,-19.7%
CHI,8-8,8,-7.5%,13,-3.8%,13,3.4%,4,-22.5%
BAL,11-5,9,-6.9%,15,-2.6%,10,0.4%,12,-18.5%
ARI,8-8,10,-6.6%,7,-9.1%,9,0.1%,14,-16.2%
MIA,10-6,11,-3.3%,9,-7.9%,6,-4.1%,22,-2.2%
BUF,13-3,12,-2.3%,8,-8.0%,12,2.2%,17,-8.2%
DEN,5-11,13,-0.2%,18,1.6%,11,0.6%,25,-1.3%
ATL,4-12,14,-0.1%,12,-4.4%,19,11.6%,6,-20.6%
PHI,4-11-1,15,0.2%,16,-2.5%,24,15.9%,13,-18.2%
SEA,12-4,16,0.4%,11,-5.2%,20,12.3%,7,-20.1%
GB,13-3,17,0.5%,14,-3.5%,15,5.1%,18,-5.7%
MIN,7-9,18,3.4%,26,7.8%,14,4.7%,30,1.8%
NYG,6-10,19,3.8%,17,0.8%,22,13.2%,15,-9.9%
LAC,7-9,20,4.4%,21,5.0%,17,8.2%,26,-0.6%
NYJ,2-14,21,4.8%,19,4.9%,28,23.0%,8,-19.9%
KC,14-2,22,4.9%,24,6.7%,16,6.7%,31,2.6%
DAL,6-10,23,6.0%,20,4.9%,21,13.1%,23,-2.0%
CAR,5-11,24,7.4%,22,5.8%,23,15.5%,20,-4.4%
CLE,11-5,25,7.4%,25,7.0%,25,16.4%,19,-5.4%
NE,7-9,26,8.0%,23,6.3%,18,9.2%,32,6.6%
CIN,4-11-1,27,9.1%,27,8.9%,27,18.7%,21,-3.0%
LV,8-8,28,9.6%,28,9.0%,26,16.5%,28,0.4%
TEN,11-5,29,11.1%,29,12.2%,30,25.3%,16,-9.6%
HOU,4-12,30,14.3%,31,17.0%,29,25.2%,29,1.6%
JAX,1-15,31,15.2%,30,14.4%,31,30.2%,24,-1.5%
DET,5-11,32,17.7%,32,21.3%,32,32.5%,27,-0.6%
