Team,W-L,DefenseDVOA Rank,DefenseDVOA,Defense WeightedDVOA Rank,Defense WeightedDVOA,PassDefense Rank,PassDefense,RushDefense Rank,RushDefense
TB,5-2,1,-29.9%,1,-30.2%,1,-24.6%,2,-39.3%
PIT,6-0,2,-19.4%,2,-19.6%,8,-5.1%,1,-44.9%
BAL,5-1,3,-18.9%,4,-18.3%,7,-7.0%,3,-38.6%
IND,4-2,4,-18.8%,3,-18.9%,4,-14.9%,5,-24.1%
WAS,2-5,5,-18.0%,5,-17.6%,2,-21.3%,13,-14.5%
CHI,5-2,6,-15.2%,6,-15.5%,3,-14.9%,10,-15.6%
DEN,2-4,7,-8.7%,7,-8.9%,9,-1.1%,8,-20.9%
SF,4-3,8,-7.5%,8,-7.7%,13,4.1%,6,-23.0%
ARI,5-2,9,-5.8%,9,-5.8%,10,-0.7%,15,-13.7%
NO,4-2,10,-5.7%,10,-5.4%,16,9.3%,4,-28.7%
LAR,5-2,11,-4.2%,11,-4.6%,11,-0.6%,18,-9.5%
LAC,2-4,12,-3.0%,12,-2.9%,12,2.2%,17,-11.9%
KC,6-1,13,-2.2%,13,-2.6%,5,-13.3%,31,10.0%
MIA,3-3,14,0.7%,14,-0.4%,6,-7.5%,32,12.7%
MIN,1-5,15,1.5%,15,1.3%,15,9.1%,20,-7.8%
PHI,2-4-1,16,1.8%,16,1.5%,22,15.7%,12,-15.4%
TEN,5-1,17,2.3%,18,2.1%,19,12.2%,16,-12.3%
DET,3-3,18,2.7%,17,2.0%,14,6.1%,23,-1.6%
NYG,1-6,19,4.2%,19,4.5%,27,20.0%,11,-15.5%
NYJ,0-7,20,5.6%,22,6.1%,28,21.8%,14,-13.8%
BUF,5-2,21,5.9%,21,6.0%,18,11.0%,26,-0.2%
GB,5-1,22,6.1%,20,5.9%,20,13.6%,22,-5.0%
CAR,3-4,23,7.0%,23,6.7%,17,9.7%,28,3.5%
CLE,5-2,24,8.0%,24,7.7%,25,17.8%,19,-8.1%
NE,2-4,25,8.3%,28,8.6%,23,16.6%,25,-0.5%
CIN,1-5-1,26,8.5%,26,8.5%,26,18.8%,21,-5.6%
ATL,1-6,27,8.7%,25,8.4%,31,27.9%,7,-22.5%
SEA,5-1,28,8.9%,27,8.5%,30,27.0%,9,-20.3%
HOU,1-6,29,10.7%,29,10.8%,24,16.7%,27,3.5%
DAL,2-5,30,12.3%,30,12.7%,21,15.3%,30,9.1%
LV,3-3,31,18.4%,31,18.5%,29,25.7%,29,8.6%
JAX,1-6,32,20.0%,32,20.3%,32,38.1%,24,-0.9%
