Team,W-L,DefenseDVOA Rank,DefenseDVOA,Defense WeightedDVOA Rank,Defense WeightedDVOA,PassDefense Rank,PassDefense,RushDefense Rank,RushDefense
PIT,10-0,1,-24.6%,1,-26.0%,1,-23.5%,6,-26.2%
TB,7-4,2,-21.7%,3,-21.3%,2,-11.6%,1,-39.2%
NO,8-2,3,-19.8%,2,-21.9%,5,-11.2%,2,-34.8%
CHI,5-5,4,-18.7%,4,-20.2%,3,-11.5%,3,-28.4%
IND,7-3,5,-14.9%,5,-14.7%,6,-6.5%,5,-26.3%
WAS,3-7,6,-12.2%,6,-12.3%,4,-11.4%,13,-13.3%
BAL,6-4,7,-11.6%,8,-11.4%,9,-1.7%,4,-26.3%
LAR,7-3,8,-9.3%,7,-12.3%,7,-4.9%,12,-16.1%
DEN,4-6,9,-5.3%,9,-5.3%,8,-2.6%,16,-9.1%
SF,4-6,10,-3.3%,11,-2.6%,17,10.1%,7,-21.1%
MIN,4-6,11,-2.9%,10,-2.9%,12,0.3%,19,-7.3%
ARI,6-4,12,-2.0%,12,-2.5%,13,4.6%,14,-12.5%
PHI,3-6-1,13,-1.2%,13,-2.3%,20,13.0%,11,-16.4%
KC,9-1,14,0.3%,16,1.2%,10,-1.3%,30,2.3%
MIA,6-4,15,0.6%,14,-2.1%,11,0.2%,29,1.1%
CLE,7-3,16,1.3%,15,0.0%,15,9.4%,15,-9.9%
BUF,7-3,17,3.5%,17,2.3%,14,7.3%,26,-1.2%
GB,7-3,18,4.0%,18,3.1%,19,11.7%,20,-5.4%
CAR,4-7,19,6.3%,21,6.3%,21,13.6%,22,-4.0%
LAC,3-7,20,6.5%,25,8.3%,16,10.1%,27,0.8%
ATL,3-7,21,6.9%,19,6.1%,26,21.3%,10,-16.9%
DAL,3-7,22,7.0%,23,7.1%,22,14.0%,25,-1.2%
SEA,7-3,23,7.0%,20,6.3%,27,22.5%,8,-19.4%
LV,6-4,24,8.1%,22,6.7%,18,11.5%,32,3.1%
DET,4-6,25,8.1%,24,7.9%,23,15.8%,24,-1.3%
TEN,7-3,26,8.7%,26,8.5%,25,20.8%,18,-7.9%
NYJ,0-10,27,9.5%,27,10.7%,32,32.6%,9,-19.1%
NYG,3-7,28,10.0%,28,10.9%,29,23.1%,17,-9.0%
HOU,3-7,29,12.0%,29,12.8%,24,20.0%,31,2.9%
CIN,2-7-1,30,12.3%,31,13.7%,28,22.6%,23,-1.6%
JAX,1-9,31,13.6%,30,13.0%,30,27.9%,21,-4.9%
NE,4-6,32,16.4%,32,19.3%,31,29.5%,28,1.0%
