Team,W-L,DefenseDVOA Rank,DefenseDVOA,Defense WeightedDVOA Rank,Defense WeightedDVOA,PassDefense Rank,PassDefense,RushDefense Rank,RushDefense
PIT,11-0,1,-25.8%,1,-28.3%,1,-26.2%,3,-25.1%
NO,9-2,2,-21.2%,2,-25.1%,2,-12.4%,2,-35.1%
TB,7-5,3,-16.1%,4,-15.3%,7,-4.4%,1,-37.0%
CHI,5-6,4,-12.6%,5,-13.8%,8,-3.9%,5,-23.8%
WAS,4-7,5,-12.3%,6,-12.4%,3,-10.9%,13,-14.1%
LAR,7-4,6,-12.2%,3,-15.3%,4,-6.7%,7,-20.3%
BAL,6-5,7,-11.4%,8,-9.5%,9,-3.1%,4,-24.3%
IND,7-4,8,-11.4%,7,-10.9%,6,-5.0%,9,-19.2%
SF,5-6,9,-5.8%,9,-6.9%,14,4.1%,10,-19.1%
DEN,4-7,10,-5.7%,11,-5.8%,5,-6.2%,19,-5.2%
ARI,6-5,11,-4.6%,10,-6.8%,12,0.6%,14,-12.3%
MIN,5-6,12,-4.0%,12,-4.2%,11,-1.2%,16,-7.7%
PHI,3-7-1,13,-1.9%,14,-3.5%,20,13.1%,11,-18.4%
MIA,7-4,14,-1.2%,13,-3.8%,10,-1.9%,25,-0.4%
ATL,4-7,15,0.3%,15,-2.9%,19,12.5%,6,-21.0%
BUF,8-3,16,1.4%,16,-0.8%,15,5.2%,22,-3.3%
KC,10-1,17,3.2%,17,3.8%,13,2.3%,32,4.3%
GB,8-3,18,6.5%,19,5.7%,18,12.3%,24,-1.2%
CLE,8-3,19,6.8%,20,5.9%,23,15.1%,20,-4.7%
LV,6-5,20,6.9%,18,5.0%,16,9.6%,30,3.1%
NYG,4-7,21,7.0%,21,6.9%,25,18.3%,15,-9.9%
CAR,4-8,22,7.4%,22,6.9%,24,17.3%,18,-7.0%
LAC,3-8,23,7.8%,29,10.6%,17,10.6%,31,3.8%
DAL,3-8,24,8.0%,23,7.9%,21,13.4%,29,2.0%
HOU,4-7,25,8.3%,25,8.8%,22,15.0%,27,0.4%
SEA,8-3,26,8.6%,24,8.1%,29,23.3%,12,-17.8%
NYJ,0-11,27,9.0%,26,9.6%,32,30.9%,8,-19.3%
TEN,8-3,28,9.3%,27,10.1%,27,21.0%,17,-7.2%
CIN,2-8-1,29,9.9%,28,10.5%,26,20.5%,21,-4.0%
DET,4-7,30,10.9%,30,11.4%,28,21.6%,23,-2.3%
NE,5-6,31,13.2%,32,14.9%,30,24.1%,28,0.7%
JAX,1-10,32,15.3%,31,14.4%,31,27.3%,26,0.2%
