Team,W-L,DefenseDVOA Rank,DefenseDVOA,Defense WeightedDVOA Rank,Defense WeightedDVOA,PassDefense Rank,PassDefense,RushDefense Rank,RushDefense
PIT,12-3,1,-22.0%,1,-22.8%,1,-21.8%,5,-22.4%
WAS,6-9,2,-17.8%,4,-18.5%,2,-17.8%,13,-17.8%
NO,11-4,3,-17.0%,3,-19.7%,4,-10.3%,2,-27.3%
TB,10-5,4,-16.2%,5,-14.6%,5,-6.6%,1,-34.0%
LAR,9-6,5,-15.8%,2,-21.7%,3,-11.2%,3,-22.5%
SF,6-9,6,-9.8%,6,-13.5%,8,-1.6%,7,-21.5%
CHI,8-7,7,-9.4%,9,-8.1%,9,0.1%,4,-22.4%
IND,10-5,8,-9.3%,10,-7.1%,7,-3.3%,11,-18.3%
BAL,10-5,9,-5.0%,15,0.5%,16,4.7%,8,-20.6%
ARI,8-7,10,-4.5%,11,-6.7%,10,0.7%,14,-12.1%
MIA,10-5,11,-4.5%,7,-9.7%,6,-6.0%,23,-2.4%
ATL,4-11,12,-3.0%,8,-9.3%,17,8.1%,6,-22.3%
BUF,12-3,13,-1.0%,12,-4.9%,15,4.6%,17,-8.1%
DEN,5-10,14,0.1%,17,1.8%,11,0.8%,25,-0.9%
GB,12-3,15,0.4%,13,-4.0%,14,4.2%,19,-4.9%
SEA,11-4,16,1.3%,14,-2.8%,21,13.5%,10,-19.8%
PHI,4-10-1,17,1.6%,16,1.4%,26,18.2%,12,-17.9%
MIN,6-9,18,2.0%,21,3.7%,13,3.5%,27,0.2%
KC,14-1,19,2.6%,19,2.6%,12,3.2%,29,1.9%
NYJ,2-13,20,3.2%,18,2.6%,28,20.3%,9,-20.2%
DAL,6-9,21,5.0%,20,3.4%,20,10.9%,24,-1.6%
LAC,6-9,22,5.2%,23,6.3%,18,8.6%,28,0.8%
NYG,5-10,23,5.9%,22,4.6%,24,17.2%,16,-9.9%
CLE,10-5,24,7.5%,26,6.9%,25,17.2%,18,-5.8%
CAR,5-10,25,8.0%,24,6.4%,23,16.2%,21,-4.0%
NE,6-9,26,8.1%,25,6.9%,19,9.3%,32,6.7%
CIN,4-10-1,27,8.8%,28,7.7%,27,18.7%,20,-4.8%
LV,7-8,28,9.0%,27,7.2%,22,14.2%,31,2.2%
TEN,10-5,29,11.1%,29,12.3%,30,26.8%,15,-10.9%
HOU,4-11,30,15.3%,31,17.8%,29,26.2%,30,2.1%
JAX,1-14,31,15.5%,30,14.2%,31,31.6%,22,-3.1%
DET,5-10,32,18.1%,32,21.9%,32,32.8%,26,0.0%
