Team,W-L,DefenseDVOA Rank,DefenseDVOA,Defense WeightedDVOA Rank,Defense WeightedDVOA,PassDefense Rank,PassDefense,RushDefense Rank,RushDefense
DET,11-4,1,-18.1%,3,-14.7%,2,-9.1%,1,-35.5%
BUF,8-7,2,-14.4%,1,-17.4%,1,-14.7%,13,-13.9%
SEA,11-4,3,-13.6%,2,-15.5%,6,-4.3%,4,-25.9%
DEN,11-4,4,-12.2%,5,-12.8%,7,-3.0%,2,-30.0%
ARI,11-4,5,-11.1%,8,-10.7%,8,-1.9%,3,-26.4%
SF,7-8,6,-10.8%,7,-11.4%,5,-6.0%,10,-17.8%
HOU,8-7,7,-9.2%,4,-14.4%,3,-8.2%,16,-10.6%
STL,6-9,8,-5.9%,6,-12.4%,13,5.1%,6,-22.0%
BAL,9-6,9,-4.2%,12,-5.1%,17,7.8%,5,-22.7%
PHI,9-6,10,-3.6%,11,-6.2%,18,8.9%,7,-19.5%
NE,12-3,11,-3.2%,9,-7.0%,12,4.3%,11,-14.3%
CLE,7-8,12,-1.7%,10,-6.7%,4,-6.9%,31,4.3%
GB,11-4,13,-0.9%,14,-2.9%,11,3.4%,20,-6.4%
MIA,8-7,14,-0.7%,23,4.5%,10,1.6%,24,-3.6%
CIN,10-4-1,15,-0.3%,15,-0.7%,9,-1.5%,30,1.2%
IND,10-5,16,-0.2%,13,-3.7%,14,6.5%,18,-8.9%
DAL,11-4,17,2.1%,17,-0.3%,15,7.7%,21,-5.9%
CAR,6-8-1,18,3.0%,16,-0.6%,19,11.5%,17,-9.0%
JAX,3-12,19,3.8%,20,2.3%,21,11.9%,22,-5.5%
KC,8-7,20,3.9%,19,2.1%,16,7.7%,27,-1.3%
TB,2-13,21,4.3%,18,1.2%,24,19.6%,12,-14.0%
NYJ,3-12,22,4.9%,22,4.4%,25,21.3%,8,-18.1%
NYG,6-9,23,5.8%,24,4.9%,20,11.8%,26,-2.3%
MIN,6-9,24,6.5%,27,8.5%,22,12.3%,28,-0.6%
SD,9-6,25,7.3%,21,4.3%,27,22.8%,15,-12.4%
OAK,3-12,26,7.7%,26,6.1%,30,26.2%,14,-13.6%
NO,6-9,27,8.8%,25,6.0%,23,15.5%,29,-0.3%
WAS,4-11,28,10.3%,30,14.2%,32,30.2%,9,-17.9%
CHI,5-10,29,12.2%,31,15.1%,29,24.3%,23,-5.4%
ATL,6-9,30,12.5%,28,10.2%,28,23.1%,25,-2.4%
TEN,2-13,31,13.9%,32,15.3%,26,22.0%,32,4.7%
PIT,10-5,32,14.7%,29,13.3%,31,29.4%,19,-7.9%
