Team,W-L,DefenseDVOA Rank,DefenseDVOA,Defense WeightedDVOA Rank,Defense WeightedDVOA,PassDefense Rank,PassDefense,RushDefense Rank,RushDefense
DET,9-4,1,-20.9%,1,-19.1%,2,-12.1%,1,-38.0%
BUF,7-6,2,-15.3%,2,-17.6%,1,-12.7%,10,-19.2%
ARI,10-3,3,-14.2%,3,-15.9%,3,-7.3%,4,-26.2%
DEN,10-3,4,-13.3%,5,-13.4%,7,-3.8%,2,-33.2%
SEA,9-4,5,-12.4%,7,-13.3%,8,-1.4%,3,-27.3%
SF,7-6,6,-11.7%,6,-13.3%,6,-4.0%,6,-23.0%
STL,6-7,7,-8.9%,4,-14.6%,10,1.2%,5,-24.4%
PHI,9-4,8,-6.8%,8,-9.5%,13,3.7%,8,-21.1%
MIA,7-6,9,-6.5%,11,-4.1%,4,-5.6%,19,-7.6%
NE,10-3,10,-3.5%,10,-5.5%,11,2.3%,13,-12.1%
CLE,7-6,11,-3.2%,9,-6.7%,5,-5.5%,29,-0.2%
HOU,7-6,12,-2.3%,12,-3.9%,12,2.4%,17,-9.1%
BAL,8-5,13,-2.0%,13,-1.8%,19,11.1%,7,-22.6%
IND,9-4,14,-0.4%,14,-1.5%,9,0.8%,26,-2.2%
JAX,2-11,15,1.0%,15,-1.3%,15,6.1%,22,-4.9%
KC,7-6,16,2.7%,18,1.8%,17,7.5%,25,-3.7%
GB,10-3,17,2.7%,19,3.4%,18,8.8%,21,-5.4%
MIN,6-7,18,3.1%,20,3.7%,16,7.5%,27,-1.9%
TB,2-11,19,3.4%,16,0.3%,24,17.4%,12,-13.0%
CAR,4-8-1,20,3.8%,17,1.2%,20,12.0%,18,-8.0%
CIN,8-4-1,21,4.0%,24,5.1%,14,5.5%,31,2.2%
NYJ,2-11,22,4.1%,22,4.5%,27,21.6%,9,-20.2%
NYG,4-9,23,4.9%,23,4.9%,21,12.1%,23,-4.3%
OAK,2-11,24,5.9%,21,4.5%,26,21.2%,15,-10.7%
SD,8-5,25,7.2%,25,5.5%,25,20.5%,14,-11.4%
DAL,9-4,26,7.2%,27,8.2%,22,15.4%,24,-4.0%
WAS,3-10,27,8.9%,28,11.2%,31,28.6%,11,-18.3%
NO,5-8,28,9.5%,26,7.6%,23,17.4%,28,-1.1%
CHI,5-8,29,9.6%,29,12.9%,29,23.2%,16,-9.5%
TEN,2-11,30,12.7%,30,13.3%,28,22.0%,32,2.3%
PIT,8-5,31,14.6%,31,14.0%,32,29.5%,20,-6.1%
ATL,5-8,32,14.7%,32,14.2%,30,25.8%,30,-0.1%
