Team,W-L,DefenseDVOA Rank,DefenseDVOA,Defense WeightedDVOA Rank,Defense WeightedDVOA,PassDefense Rank,PassDefense,RushDefense Rank,RushDefense
DET,6-2,1,-25.7%,1,-24.7%,1,-17.8%,2,-38.1%
DEN,6-1,2,-16.0%,2,-16.1%,5,-5.5%,1,-40.0%
BUF,5-3,3,-13.4%,3,-14.5%,4,-6.9%,8,-24.1%
ARI,6-1,4,-11.5%,4,-10.4%,7,-3.4%,4,-26.8%
MIA,4-3,5,-10.7%,6,-10.0%,3,-7.0%,14,-15.8%
SEA,4-3,6,-10.3%,7,-9.6%,14,6.1%,3,-30.9%
BAL,5-3,7,-9.7%,5,-10.3%,8,-2.9%,9,-19.6%
SF,4-3,8,-5.9%,9,-5.5%,11,0.2%,12,-16.7%
HOU,4-4,9,-5.0%,10,-5.4%,9,-2.1%,19,-9.3%
PHI,5-2,10,-4.8%,11,-5.2%,18,9.6%,6,-24.7%
KC,4-3,11,-3.8%,8,-5.5%,6,-4.3%,25,-2.9%
JAX,1-7,12,-2.5%,12,-2.6%,13,5.5%,16,-13.7%
CIN,4-2-1,13,-2.3%,15,-1.1%,2,-9.0%,32,7.2%
WAS,3-5,14,-2.0%,14,-1.7%,20,13.5%,7,-24.1%
DAL,6-2,15,-1.1%,13,-2.2%,10,-0.5%,27,-2.0%
MIN,3-5,16,0.4%,18,1.5%,12,1.0%,30,-0.4%
GB,5-3,17,1.9%,17,1.4%,17,9.0%,20,-6.5%
NYG,3-4,18,2.4%,16,1.3%,19,13.0%,18,-11.7%
CLE,4-3,19,3.1%,19,2.2%,15,6.6%,29,-0.8%
IND,5-3,20,3.5%,20,3.1%,16,8.4%,24,-4.2%
NYJ,1-7,21,3.9%,21,4.7%,28,25.2%,5,-26.1%
CHI,3-5,22,5.5%,22,5.9%,23,19.7%,15,-14.0%
NE,6-2,23,7.5%,24,8.6%,21,15.4%,28,-1.7%
NO,3-4,24,8.3%,23,7.0%,26,21.5%,17,-12.6%
TEN,2-6,25,8.3%,27,9.9%,22,15.9%,31,-0.2%
OAK,0-7,26,8.8%,26,9.1%,31,36.9%,11,-16.7%
STL,2-5,27,9.7%,25,8.8%,32,37.7%,10,-19.3%
SD,5-3,28,9.8%,28,10.0%,24,20.4%,22,-5.2%
PIT,5-3,29,10.2%,29,10.1%,25,20.6%,23,-4.4%
TB,1-6,30,12.3%,30,12.6%,30,36.0%,13,-16.1%
CAR,3-4-1,31,13.0%,31,14.2%,27,24.5%,26,-2.7%
ATL,2-6,32,14.1%,32,14.9%,29,31.5%,21,-5.7%
