Team,W-L,DefenseDVOA Rank,DefenseDVOA,Defense WeightedDVOA Rank,Defense WeightedDVOA,PassDefense Rank,PassDefense,RushDefense Rank,RushDefense
DET,6-2,1,-25.1%,1,-24.7%,2,-17.3%,2,-37.2%
MIA,5-3,2,-18.0%,2,-18.5%,1,-17.8%,13,-18.3%
DEN,6-2,3,-14.4%,3,-14.4%,5,-3.4%,1,-39.2%
ARI,7-1,4,-13.7%,6,-12.6%,4,-6.5%,4,-26.7%
BUF,5-3,5,-13.1%,4,-14.3%,3,-7.3%,6,-22.7%
SEA,5-3,6,-12.7%,5,-12.9%,10,1.4%,3,-32.2%
SF,4-4,7,-9.1%,7,-8.8%,6,-3.1%,12,-19.0%
PHI,6-2,8,-6.5%,8,-6.3%,15,6.8%,5,-25.0%
BAL,5-4,9,-5.5%,9,-5.2%,13,5.4%,9,-21.2%
HOU,4-5,10,-2.9%,10,-3.0%,8,-1.9%,25,-4.3%
JAX,1-8,11,-0.7%,11,-1.6%,14,6.2%,18,-9.6%
DAL,6-3,12,0.2%,12,-0.6%,11,2.0%,28,-2.2%
MIN,4-5,13,0.4%,15,1.2%,9,0.8%,29,-0.1%
KC,5-3,14,1.0%,13,-0.6%,12,4.5%,26,-4.1%
IND,6-3,15,1.8%,14,0.8%,16,7.5%,19,-8.0%
CIN,5-2-1,16,1.9%,20,4.2%,7,-2.9%,32,8.6%
GB,5-3,17,2.3%,16,1.8%,18,9.3%,22,-6.1%
WAS,3-6,18,2.7%,19,3.9%,25,19.5%,8,-21.3%
NE,7-2,19,3.9%,22,5.1%,19,9.5%,27,-3.4%
CLE,5-3,20,4.5%,18,3.3%,17,7.6%,31,0.8%
NYG,3-5,21,5.0%,21,4.6%,21,15.5%,17,-9.8%
NO,4-4,22,5.1%,17,2.1%,20,15.2%,16,-11.0%
NYJ,1-8,23,5.6%,24,6.0%,27,24.8%,10,-20.9%
CHI,3-5,24,5.8%,25,6.3%,26,19.6%,15,-13.3%
STL,3-5,25,6.6%,23,5.3%,30,31.6%,7,-21.6%
TB,1-7,26,7.4%,27,7.4%,29,30.1%,11,-19.5%
PIT,6-3,27,8.3%,26,7.4%,23,19.2%,20,-7.8%
CAR,3-5-1,28,8.7%,29,9.5%,24,19.4%,23,-5.2%
OAK,0-8,29,9.2%,28,9.2%,32,35.3%,14,-14.9%
TEN,2-6,30,9.3%,30,11.5%,22,17.7%,30,-0.1%
SD,5-4,31,12.4%,31,12.8%,28,27.3%,21,-7.7%
ATL,2-6,32,14.8%,32,15.0%,31,32.2%,24,-5.0%
