Team,W-L,DefenseDVOA Rank,DefenseDVOA,Defense WeightedDVOA Rank,Defense WeightedDVOA,PassDefense Rank,PassDefense,RushDefense Rank,RushDefense
DET,7-3,1,-24.4%,1,-24.3%,1,-14.5%,2,-40.4%
DEN,7-3,2,-16.7%,3,-17.0%,6,-4.8%,1,-41.7%
SF,6-4,3,-16.4%,2,-17.5%,2,-13.8%,9,-20.7%
MIA,6-4,4,-15.8%,5,-16.3%,3,-13.5%,12,-19.2%
ARI,9-1,5,-15.7%,4,-16.6%,4,-10.2%,3,-25.2%
BUF,5-5,6,-12.8%,6,-14.1%,5,-8.7%,11,-19.4%
SEA,6-4,7,-5.8%,9,-4.4%,14,6.8%,6,-22.4%
PHI,7-3,8,-5.0%,7,-6.2%,15,7.1%,7,-22.0%
BAL,6-4,9,-4.8%,8,-6.0%,13,6.4%,10,-20.6%
HOU,5-5,10,-2.3%,10,-3.3%,7,-1.0%,26,-4.4%
GB,7-3,11,-1.1%,12,-1.6%,10,3.7%,21,-7.2%
STL,4-6,12,-1.1%,11,-3.0%,22,15.4%,4,-24.0%
DAL,7-3,13,1.0%,15,0.4%,12,5.2%,25,-5.0%
NE,8-2,14,1.3%,18,1.9%,18,9.6%,16,-10.1%
MIN,4-6,15,1.5%,16,0.8%,9,3.6%,28,-1.2%
CLE,6-4,16,1.5%,13,-0.2%,8,2.6%,29,0.2%
NYJ,2-8,17,2.0%,17,1.7%,24,20.3%,5,-23.7%
KC,7-3,18,2.5%,19,2.6%,17,9.4%,20,-7.7%
JAX,1-9,19,2.9%,14,0.1%,19,10.1%,23,-6.2%
CIN,6-3-1,20,3.9%,23,5.9%,11,4.9%,30,2.6%
WAS,3-7,21,5.3%,24,6.0%,28,23.7%,8,-20.7%
OAK,0-10,22,5.4%,22,5.4%,29,24.6%,14,-13.7%
TB,2-8,23,6.3%,21,4.8%,30,24.6%,13,-15.3%
NO,4-6,24,6.4%,20,3.4%,23,16.9%,17,-8.5%
NYG,3-7,25,7.0%,27,8.1%,21,14.9%,27,-2.5%
IND,6-4,26,7.5%,25,7.2%,16,9.4%,31,4.6%
CHI,4-6,27,8.2%,29,10.8%,27,23.4%,15,-12.5%
CAR,3-7-1,28,8.9%,26,7.8%,25,21.1%,19,-7.9%
PIT,7-4,29,10.3%,28,8.6%,26,22.5%,22,-6.8%
TEN,2-8,30,11.3%,30,11.9%,20,13.8%,32,8.7%
SD,6-4,31,12.5%,31,13.3%,31,27.4%,18,-8.0%
ATL,4-6,32,14.7%,32,15.0%,32,31.8%,24,-6.2%
