Team,W-L,DefenseDVOA Rank,DefenseDVOA,Defense WeightedDVOA Rank,Defense WeightedDVOA,PassDefense Rank,PassDefense,RushDefense Rank,RushDefense
DET,2-1,1,-28.4%,1,-28.4%,4,-13.3%,2,-49.6%
NE,2-1,2,-23.4%,2,-23.4%,1,-33.5%,18,-10.8%
CHI,2-1,3,-22.0%,3,-22.0%,2,-24.0%,13,-19.4%
WAS,1-2,4,-17.9%,4,-17.9%,14,11.2%,1,-63.9%
ARI,3-0,5,-13.5%,5,-13.5%,9,1.6%,4,-40.3%
CIN,3-0,6,-12.8%,6,-12.8%,3,-21.7%,29,6.2%
MIA,1-2,7,-6.3%,7,-6.3%,13,10.6%,10,-25.7%
PHI,3-0,8,-6.2%,8,-6.2%,20,17.5%,6,-36.7%
DEN,2-1,9,-4.7%,9,-4.7%,11,4.6%,11,-24.5%
NYJ,1-2,10,-2.5%,10,-2.5%,19,16.3%,3,-46.7%
SEA,2-1,11,-1.1%,11,-1.1%,22,19.9%,5,-37.9%
ATL,2-1,12,-0.7%,12,-0.7%,10,3.2%,21,-5.2%
CAR,2-1,13,-0.4%,13,-0.4%,7,-2.7%,28,3.5%
SF,1-2,14,0.4%,14,0.4%,15,11.5%,12,-20.0%
BAL,2-1,15,0.6%,15,0.6%,17,12.9%,15,-15.1%
BUF,2-1,16,1.2%,16,1.2%,21,19.1%,8,-28.2%
OAK,0-3,17,1.3%,17,1.3%,23,22.9%,14,-16.6%
GB,1-2,18,1.3%,18,1.3%,8,-0.3%,27,3.1%
NYG,1-2,19,1.8%,19,1.8%,24,23.9%,7,-29.7%
TEN,1-2,20,2.0%,20,2.0%,5,-8.7%,31,13.9%
MIN,1-2,21,2.2%,21,2.2%,16,12.6%,20,-8.5%
SD,2-1,22,3.9%,22,3.9%,18,13.3%,16,-14.4%
DAL,2-1,23,4.0%,23,4.0%,12,6.7%,25,0.1%
HOU,2-1,24,4.7%,24,4.7%,6,-5.1%,32,16.6%
TB,0-3,25,11.0%,25,11.0%,32,52.9%,9,-27.5%
STL,1-2,26,11.4%,26,11.4%,31,38.9%,19,-10.2%
NO,1-2,27,12.2%,27,12.2%,27,27.0%,17,-11.5%
JAX,0-3,28,14.0%,28,14.0%,26,26.2%,23,-1.5%
IND,1-2,29,14.5%,29,14.5%,25,24.2%,26,1.5%
PIT,2-1,30,15.0%,30,15.0%,29,28.6%,22,-1.8%
KC,1-2,31,16.6%,31,16.6%,28,27.9%,24,-1.2%
CLE,1-2,32,21.5%,32,21.5%,30,35.4%,30,7.5%
