Team,W-L,DefenseDVOA Rank,DefenseDVOA,Defense WeightedDVOA Rank,Defense WeightedDVOA,PassDefense Rank,PassDefense,RushDefense Rank,RushDefense
DET,7-4,1,-22.2%,1,-21.3%,2,-13.5%,1,-36.6%
SF,7-4,2,-17.0%,2,-18.6%,1,-15.6%,10,-19.1%
ARI,9-2,3,-16.0%,3,-17.2%,4,-9.2%,3,-27.5%
BUF,6-5,4,-15.3%,4,-16.8%,3,-12.0%,9,-20.9%
DEN,8-3,5,-13.8%,5,-13.9%,6,-3.1%,2,-35.8%
MIA,6-5,6,-10.3%,6,-9.5%,5,-7.6%,15,-14.3%
SEA,7-4,7,-8.5%,8,-7.4%,9,2.7%,4,-23.5%
PHI,8-3,8,-4.9%,7,-7.7%,14,6.7%,8,-21.5%
BAL,7-4,9,-4.0%,9,-4.4%,17,9.1%,5,-23.3%
HOU,5-6,10,-1.7%,11,-2.0%,8,2.2%,19,-7.4%
NE,9-2,11,-0.2%,14,-0.5%,15,6.8%,16,-10.1%
CLE,7-4,12,0.0%,10,-2.5%,7,1.0%,28,-1.3%
GB,8-3,13,0.4%,15,0.3%,13,5.4%,22,-6.1%
TB,2-9,14,0.7%,12,-1.7%,20,13.3%,11,-17.2%
JAX,1-10,14,0.7%,13,-1.7%,12,5.3%,23,-5.1%
STL,4-7,14,0.7%,12,-1.7%,20,13.3%,11,-17.2%
CIN,7-3-1,16,1.9%,20,3.2%,11,3.3%,29,0.1%
IND,7-4,17,1.9%,16,1.8%,10,2.8%,30,0.5%
OAK,1-10,18,2.6%,17,2.1%,24,20.3%,12,-15.9%
DAL,8-3,19,3.1%,18,2.5%,19,10.8%,20,-7.3%
NYJ,2-9,20,3.8%,21,3.4%,29,22.8%,7,-22.4%
KC,7-4,21,4.1%,23,4.9%,18,9.9%,24,-4.3%
CHI,5-6,22,4.2%,24,5.3%,22,17.6%,13,-14.9%
MIN,4-7,24,4.6%,22,4.6%,16,7.6%,31,0.9%
WAS,3-8,25,5.4%,26,5.5%,31,25.5%,6,-22.4%
NO,4-7,26,8.7%,25,5.3%,23,18.2%,25,-3.9%
SD,7-4,27,9.2%,29,9.8%,28,21.9%,17,-8.5%
CAR,3-7-1,28,9.6%,27,8.3%,27,21.6%,21,-7.1%
NYG,3-8,29,10.7%,30,12.3%,26,21.0%,27,-1.6%
PIT,7-4,30,11.3%,28,9.6%,30,25.0%,18,-7.8%
TEN,2-9,31,12.2%,31,12.8%,21,16.4%,32,7.5%
ATL,4-7,32,14.5%,32,14.2%,32,27.6%,26,-1.8%
