Team,W-L,DefenseDVOA Rank,DefenseDVOA,Defense WeightedDVOA Rank,Defense WeightedDVOA,PassDefense Rank,PassDefense,RushDefense Rank,RushDefense
DET,7-2,1,-26.7%,1,-26.6%,1,-17.1%,1,-42.4%
DEN,7-2,2,-16.6%,2,-16.9%,5,-5.6%,2,-42.1%
ARI,8-1,3,-16.6%,3,-16.8%,3,-11.8%,4,-25.1%
MIA,5-4,4,-15.7%,4,-16.4%,2,-14.3%,13,-17.7%
BUF,5-4,5,-14.4%,5,-16.2%,4,-10.2%,10,-21.1%
SF,5-4,6,-10.7%,7,-11.5%,6,-5.6%,11,-19.2%
SEA,6-3,7,-10.6%,8,-9.7%,12,2.8%,3,-30.0%
PHI,7-2,8,-10.0%,6,-11.6%,9,0.5%,5,-24.5%
BAL,6-4,9,-5.5%,9,-5.7%,15,6.0%,8,-21.7%
HOU,4-5,10,-2.4%,10,-3.4%,7,-2.3%,26,-2.6%
CLE,6-3,11,-0.7%,11,-3.3%,8,-0.6%,28,-0.8%
GB,6-3,12,-0.5%,12,-0.8%,14,4.7%,19,-6.9%
DAL,7-3,13,0.3%,13,-0.8%,13,4.6%,23,-5.7%
MIN,4-5,14,0.7%,16,0.7%,10,0.7%,30,0.7%
NYJ,2-8,15,1.8%,17,1.9%,23,19.3%,7,-22.8%
JAX,1-9,16,2.1%,14,0.5%,17,8.7%,21,-6.4%
WAS,3-6,17,2.7%,21,3.9%,24,19.5%,9,-21.2%
IND,6-3,18,3.4%,18,2.3%,18,9.3%,20,-6.6%
NO,4-5,19,3.5%,15,0.7%,19,10.6%,17,-7.1%
KC,6-3,20,3.6%,19,2.5%,16,8.4%,25,-3.9%
STL,3-6,21,4.1%,20,2.6%,28,26.7%,6,-23.3%
CIN,5-3-1,22,5.0%,24,7.8%,11,1.7%,32,9.1%
NE,7-2,23,6.2%,26,8.5%,21,12.7%,27,-2.1%
NYG,3-6,24,6.3%,22,6.5%,20,12.1%,29,-0.8%
OAK,0-9,25,7.0%,23,7.2%,29,27.9%,14,-13.9%
TB,1-8,26,9.3%,27,9.2%,31,32.7%,12,-18.1%
PIT,6-4,27,9.4%,25,8.5%,25,21.3%,16,-7.4%
CHI,3-6,28,9.9%,28,12.4%,27,26.0%,15,-11.4%
TEN,2-7,29,11.0%,30,12.6%,22,17.6%,31,3.7%
CAR,3-6-1,30,11.8%,29,12.6%,26,24.6%,24,-5.4%
SD,5-4,31,14.3%,31,15.2%,30,29.3%,22,-5.9%
ATL,3-6,32,16.4%,32,17.5%,32,35.9%,18,-7.0%
