Team,W-L,DefenseDVOA Rank,DefenseDVOA,Defense WeightedDVOA Rank,Defense WeightedDVOA,PassDefense Rank,PassDefense,RushDefense Rank,RushDefense
DET,3-2,1,-26.5%,1,-26.5%,1,-18.7%,2,-37.9%
DEN,3-1,2,-15.2%,2,-15.2%,5,-5.8%,3,-34.2%
BUF,3-2,3,-13.5%,3,-13.5%,7,-3.4%,4,-32.0%
SEA,3-1,4,-11.8%,4,-11.8%,18,8.2%,1,-47.3%
SF,3-2,5,-11.6%,5,-11.6%,6,-4.6%,8,-25.5%
BAL,3-2,6,-9.6%,6,-9.6%,15,5.0%,6,-29.9%
NYG,3-2,7,-8.6%,7,-8.6%,10,0.5%,12,-22.7%
MIA,2-2,8,-8.4%,8,-8.4%,14,3.9%,9,-25.1%
ARI,3-1,9,-8.0%,9,-8.0%,16,5.4%,5,-31.4%
GB,3-2,10,-7.0%,10,-7.0%,4,-8.9%,22,-4.9%
HOU,3-2,11,-6.1%,11,-6.1%,3,-10.3%,27,-0.4%
CIN,3-1,12,-5.8%,12,-5.8%,2,-11.1%,29,2.6%
SD,4-1,13,-5.4%,13,-5.4%,11,1.1%,15,-15.6%
CHI,2-3,14,-4.4%,14,-4.4%,13,2.5%,16,-14.0%
NE,3-2,15,-2.8%,15,-2.8%,8,-2.9%,25,-2.8%
PHI,4-1,16,0.6%,16,0.6%,22,18.7%,11,-23.6%
DAL,4-1,17,2.6%,17,2.6%,9,-0.2%,32,6.9%
KC,2-3,18,2.7%,18,2.7%,17,8.0%,21,-5.0%
WAS,1-4,19,2.8%,19,2.8%,26,26.5%,7,-28.0%
IND,3-2,20,3.4%,20,3.4%,12,1.5%,31,6.6%
NYJ,1-4,21,4.7%,21,4.7%,23,23.1%,10,-24.3%
TB,1-4,22,5.7%,22,5.7%,27,27.0%,13,-19.7%
OAK,0-4,23,7.6%,23,7.6%,31,37.6%,14,-17.2%
PIT,3-2,24,8.1%,24,8.1%,21,16.0%,23,-3.4%
MIN,2-3,25,8.3%,25,8.3%,20,15.0%,28,0.7%
TEN,1-4,26,9.0%,26,9.0%,19,14.3%,30,3.3%
CAR,3-2,27,11.7%,27,11.7%,24,23.3%,20,-6.0%
ATL,2-3,28,11.8%,28,11.8%,25,24.7%,26,-1.3%
STL,1-3,29,12.7%,29,12.7%,30,35.8%,17,-8.1%
JAX,0-5,30,13.6%,30,13.6%,28,28.4%,19,-7.3%
NO,2-3,31,17.4%,31,17.4%,29,35.0%,18,-7.4%
CLE,2-2,32,20.3%,32,20.3%,32,42.6%,24,-2.9%
