Team,W-L,DefenseDVOA Rank,DefenseDVOA,Defense WeightedDVOA Rank,Defense WeightedDVOA,PassDefense Rank,PassDefense,RushDefense Rank,RushDefense
DET,4-2,1,-31.7%,1,-31.3%,1,-29.8%,4,-34.6%
DEN,4-1,2,-15.8%,2,-15.9%,6,-5.1%,1,-38.7%
SF,4-2,3,-13.9%,3,-13.8%,2,-9.7%,11,-21.8%
ARI,4-1,4,-11.1%,4,-10.5%,9,-1.0%,5,-30.3%
MIA,2-3,5,-10.0%,5,-9.7%,11,0.6%,9,-24.4%
SEA,3-2,6,-8.4%,7,-8.2%,20,11.7%,2,-38.6%
CHI,3-3,7,-8.1%,6,-8.5%,5,-5.3%,14,-12.4%
BUF,3-3,8,-7.5%,8,-7.8%,16,8.6%,3,-36.0%
BAL,4-2,9,-7.0%,9,-7.0%,14,4.8%,8,-24.9%
PHI,5-1,10,-4.9%,10,-4.9%,17,8.8%,10,-23.3%
HOU,3-3,11,-4.2%,11,-4.1%,7,-3.8%,25,-4.7%
NE,4-2,12,-3.5%,13,-3.7%,12,0.9%,18,-8.9%
DAL,5-1,13,-3.4%,12,-3.9%,3,-8.1%,30,3.7%
GB,4-2,14,-3.3%,14,-3.7%,10,-0.4%,21,-6.5%
NYG,3-3,15,-3.0%,15,-3.5%,13,2.0%,16,-10.2%
CIN,3-1-1,16,-1.6%,16,-1.2%,4,-7.0%,31,6.5%
WAS,1-5,17,1.1%,17,1.1%,23,23.4%,6,-29.9%
KC,2-3,18,2.2%,18,1.6%,15,5.5%,26,-2.6%
IND,4-2,19,3.0%,19,2.8%,8,-1.4%,32,9.7%
SD,5-1,20,3.2%,20,3.1%,18,10.1%,19,-8.1%
NYJ,1-5,21,3.5%,21,3.8%,25,23.9%,7,-25.8%
MIN,2-4,22,6.4%,22,7.2%,19,10.1%,29,2.3%
STL,1-4,23,7.8%,23,7.3%,30,36.9%,12,-20.1%
PIT,3-3,24,7.8%,24,7.9%,22,18.5%,24,-5.1%
TEN,2-4,25,9.2%,25,9.9%,21,15.5%,28,1.7%
JAX,0-6,26,10.3%,26,11.0%,26,24.1%,17,-9.4%
OAK,0-5,27,11.7%,28,11.8%,31,38.9%,15,-12.2%
CLE,3-2,28,11.8%,27,11.5%,28,28.0%,22,-5.8%
CAR,3-2-1,29,11.9%,29,12.5%,24,23.7%,23,-5.4%
TB,1-5,30,14.1%,30,14.3%,32,39.6%,13,-14.8%
ATL,2-4,31,14.3%,31,14.3%,27,27.4%,27,-0.5%
NO,2-3,32,18.1%,32,17.6%,29,36.2%,20,-7.6%
