Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
DEN,1-0,1,58.6%,1,58.6%,2,103.9%,6,2.6%
GB,0-1,2,38.9%,2,38.9%,3,64.4%,13,-6.0%
SF,1-0,3,38.8%,3,38.8%,1,121.0%,21,-30.8%
IND,1-0,4,32.3%,4,32.3%,6,51.3%,9,-0.4%
CHI,1-0,5,31.9%,5,31.9%,4,63.2%,10,-0.7%
PHI,1-0,6,29.5%,6,29.5%,19,15.4%,1,53.7%
HOU,1-0,7,18.2%,7,18.2%,9,46.5%,8,1.6%
BUF,0-1,8,12.0%,8,12.0%,5,56.8%,14,-14.6%
SEA,1-0,9,11.3%,9,11.3%,8,49.1%,20,-28.5%
CAR,0-1,10,10.9%,10,10.9%,17,18.0%,5,4.4%
WAS,0-1,11,9.1%,11,9.1%,11,36.5%,26,-38.6%
DET,1-0,12,8.5%,12,8.5%,20,14.4%,2,14.8%
KC,1-0,13,8.4%,13,8.4%,16,19.1%,4,14.4%
NO,1-0,14,8.3%,14,8.3%,10,44.2%,25,-36.9%
CIN,0-1,15,5.6%,15,5.6%,14,21.1%,12,-5.9%
OAK,0-1,16,4.7%,16,4.7%,21,9.9%,3,14.6%
MIA,1-0,17,2.9%,17,2.9%,7,49.5%,30,-71.5%
SD,0-1,18,2.3%,18,2.3%,12,32.7%,17,-25.0%
TEN,1-0,19,-0.3%,19,-0.3%,15,20.4%,11,-3.9%
ATL,0-1,20,-1.2%,20,-1.2%,24,3.6%,15,-15.9%
STL,1-0,21,-3.1%,21,-3.1%,18,17.1%,19,-26.6%
NYG,0-1,22,-8.8%,22,-8.8%,13,24.1%,31,-101.2%
ARI,0-1,23,-9.1%,23,-9.1%,22,7.8%,23,-35.3%
NE,1-0,24,-14.8%,24,-14.8%,27,-5.5%,16,-18.0%
MIN,0-1,25,-17.1%,25,-17.1%,28,-7.7%,22,-33.7%
DAL,1-0,26,-17.5%,26,-17.5%,25,-2.5%,24,-35.4%
BAL,0-1,27,-18.2%,27,-18.2%,30,-10.1%,18,-26.3%
NYJ,1-0,28,-25.2%,28,-25.2%,23,4.9%,29,-51.0%
PIT,0-1,29,-38.4%,29,-38.4%,29,-9.8%,32,-113.4%
TB,0-1,30,-41.2%,30,-41.2%,26,-4.9%,28,-47.5%
CLE,0-1,31,-42.8%,31,-42.8%,31,-50.4%,7,1.7%
JAX,0-1,32,-99.0%,32,-99.0%,32,-117.6%,27,-43.0%
