Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
DEN,9-2,1,31.8%,1,27.0%,2,55.9%,4,7.4%
SD,5-6,2,25.1%,2,25.3%,1,56.0%,11,-1.9%
NO,9-2,3,20.2%,3,21.4%,3,44.6%,18,-8.5%
GB,5-5-1,4,18.7%,5,16.1%,5,31.7%,3,9.0%
PHI,6-5,5,18.1%,4,18.4%,6,31.1%,1,13.2%
SEA,10-1,6,12.7%,6,13.5%,4,33.5%,6,3.3%
CHI,6-5,7,11.0%,8,11.5%,9,25.3%,13,-6.2%
CAR,8-3,8,10.9%,9,10.7%,8,27.0%,9,0.2%
NE,8-3,9,9.6%,7,13.2%,13,21.6%,8,0.3%
IND,7-4,10,7.5%,15,4.1%,16,12.9%,7,0.3%
DAL,6-5,11,7.4%,10,5.8%,14,21.1%,10,-0.7%
ATL,2-9,12,7.3%,13,4.5%,11,21.7%,21,-11.5%
DET,6-5,13,4.8%,12,4.8%,12,21.6%,25,-14.2%
SF,7-4,14,4.3%,14,4.1%,7,29.8%,15,-6.9%
PIT,5-6,15,3.7%,11,5.6%,10,22.2%,28,-18.3%
TEN,5-6,16,1.7%,16,3.8%,15,18.7%,23,-12.8%
KC,9-2,17,-0.4%,18,-0.8%,18,7.8%,5,5.5%
WAS,3-8,19,-4.2%,22,-5.2%,27,-8.8%,2,9.3%
MIA,5-6,20,-4.5%,19,-3.8%,21,2.1%,16,-8.1%
CIN,7-4,21,-5.3%,21,-4.8%,20,4.3%,19,-9.6%
STL,5-6,22,-6.6%,20,-4.7%,22,1.5%,22,-12.0%
TB,3-8,22,-6.6%,20,-4.7%,22,1.5%,22,-12.0%
MIN,2-8-1,23,-7.2%,23,-6.6%,24,-2.2%,17,-8.4%
BUF,4-7,24,-7.9%,25,-9.0%,25,-4.5%,14,-6.5%
ARI,7-4,25,-7.9%,24,-6.9%,19,5.5%,27,-14.9%
NYG,4-7,26,-12.8%,26,-11.1%,26,-7.0%,26,-14.5%
HOU,2-9,27,-16.9%,27,-17.1%,29,-11.6%,24,-13.3%
CLE,4-7,28,-18.5%,28,-18.5%,28,-10.4%,29,-18.9%
OAK,4-7,29,-18.6%,29,-19.2%,30,-19.7%,12,-4.4%
BAL,5-6,30,-20.6%,30,-21.0%,23,-1.6%,32,-34.3%
NYJ,5-6,31,-26.5%,31,-27.4%,31,-22.5%,30,-21.5%
JAX,2-9,32,-40.5%,32,-36.0%,32,-38.6%,31,-31.7%
