Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
DEN,9-1,1,36.2%,1,32.5%,1,65.3%,5,3.0%
SD,4-6,2,22.2%,3,20.9%,2,52.0%,13,-4.0%
NO,8-2,3,20.3%,2,21.6%,3,43.2%,17,-6.8%
GB,5-5,4,20.1%,5,17.9%,4,33.5%,3,7.6%
PHI,6-5,5,18.4%,4,18.4%,6,32.5%,1,12.0%
CHI,6-4,6,11.9%,6,13.5%,11,23.3%,10,-1.0%
SEA,10-1,7,11.7%,7,12.1%,5,32.6%,7,2.1%
CAR,7-3,8,10.5%,10,9.5%,8,26.3%,9,-0.4%
IND,7-3,9,10.4%,11,8.4%,15,16.7%,6,2.2%
DET,6-4,10,9.9%,9,10.4%,7,28.5%,22,-12.8%
NE,7-3,11,8.8%,8,11.3%,14,17.3%,4,4.4%
DAL,5-5,12,8.0%,12,7.0%,10,23.4%,16,-5.4%
SF,6-4,13,4.1%,13,4.9%,9,26.0%,12,-3.8%
ATL,2-8,14,3.8%,16,0.7%,13,17.5%,21,-12.4%
PIT,4-6,15,1.9%,14,3.1%,12,17.8%,27,-16.9%
TEN,4-6,16,0.1%,15,1.6%,16,15.6%,23,-12.9%
WAS,3-7,17,-0.5%,17,-0.5%,25,-3.9%,2,11.7%
KC,9-1,18,-2.5%,19,-3.5%,18,6.6%,8,2.0%
TB,2-8,19,-3.9%,18,-1.0%,17,7.8%,18,-7.6%
CIN,7-4,20,-5.0%,20,-4.8%,19,3.3%,19,-7.7%
MIA,5-5,21,-5.1%,21,-5.2%,23,-2.4%,11,-3.0%
BUF,4-7,22,-7.5%,23,-8.8%,26,-5.3%,15,-4.9%
MIN,2-8,23,-8.4%,22,-8.2%,24,-2.6%,20,-11.6%
ARI,6-4,24,-10.4%,24,-9.9%,20,1.8%,25,-16.1%
STL,4-6,25,-11.6%,25,-10.6%,21,0.2%,30,-22.2%
HOU,2-8,26,-13.6%,27,-13.7%,27,-5.6%,24,-13.0%
NYG,4-6,27,-13.7%,26,-12.6%,29,-6.0%,28,-19.3%
CLE,4-6,28,-14.9%,28,-14.2%,28,-5.9%,26,-16.6%
BAL,4-6,29,-19.5%,29,-19.7%,22,-0.5%,31,-33.9%
OAK,4-6,30,-21.2%,30,-22.1%,31,-23.9%,14,-4.2%
NYJ,5-5,31,-26.7%,31,-26.8%,30,-23.5%,29,-20.1%
JAX,1-9,32,-42.2%,32,-38.7%,32,-38.7%,32,-36.0%
