Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
DEN,6-0,1,47.4%,1,47.2%,1,80.2%,5,9.3%
PHI,3-3,2,24.8%,2,24.9%,4,40.6%,1,21.7%
GB,3-2,3,24.3%,4,24.0%,5,40.0%,4,9.7%
SD,3-3,4,24.2%,3,24.4%,2,61.5%,20,-12.8%
IND,4-2,5,18.5%,5,18.4%,12,23.3%,2,11.5%
ATL,1-4,6,15.3%,6,15.5%,9,28.2%,10,-3.4%
NO,5-1,7,15.3%,7,15.5%,3,42.4%,25,-23.1%
DAL,3-3,8,13.8%,8,14.6%,7,30.3%,9,-2.5%
CHI,4-2,9,12.8%,9,12.5%,8,28.3%,14,-7.6%
SEA,5-1,10,9.2%,10,9.0%,6,36.8%,16,-9.0%
DET,4-2,11,8.8%,11,8.8%,11,25.6%,19,-12.7%
CAR,2-3,12,4.9%,12,4.6%,16,7.6%,6,3.4%
SF,4-2,13,4.2%,13,3.6%,10,25.8%,12,-4.2%
CIN,4-2,14,0.7%,14,0.6%,15,8.0%,8,0.5%
WAS,1-4,15,0.3%,15,0.5%,21,1.2%,3,10.0%
BUF,2-4,16,-0.6%,16,-0.7%,18,5.5%,11,-3.6%
PIT,1-4,17,-3.3%,17,-2.8%,14,15.6%,31,-35.4%
KC,6-0,18,-4.1%,19,-4.2%,19,5.3%,7,2.9%
NE,5-1,19,-4.3%,18,-4.1%,17,5.9%,18,-10.4%
TEN,3-3,20,-4.5%,20,-4.4%,13,18.1%,26,-24.5%
MIA,3-2,21,-4.9%,21,-5.0%,22,-0.3%,17,-9.7%
MIN,1-4,22,-9.4%,22,-9.3%,26,-5.4%,21,-13.2%
STL,3-3,23,-11.1%,23,-11.4%,20,2.7%,28,-28.9%
ARI,3-3,24,-13.0%,24,-13.1%,28,-9.0%,13,-7.3%
OAK,2-4,25,-15.0%,26,-15.4%,23,-1.7%,23,-15.5%
CLE,3-3,26,-15.1%,25,-14.5%,27,-7.1%,22,-15.2%
HOU,2-4,27,-18.1%,27,-18.5%,31,-18.8%,15,-7.8%
NYG,0-6,28,-18.8%,28,-18.9%,29,-9.2%,29,-29.7%
TB,0-5,29,-19.7%,29,-19.3%,25,-3.6%,27,-25.8%
NYJ,3-3,30,-20.0%,30,-19.9%,30,-10.2%,24,-17.8%
BAL,3-3,31,-20.6%,31,-20.5%,24,-1.8%,30,-35.1%
JAX,0-6,32,-52.1%,32,-51.6%,32,-53.1%,32,-38.3%
