Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
DEN,7-1,1,36.3%,1,34.4%,1,64.3%,6,3.6%
GB,5-3,2,24.3%,3,22.0%,5,36.7%,2,13.8%
SD,4-4,3,22.9%,2,22.5%,2,57.5%,17,-9.2%
IND,6-2,4,17.5%,5,16.9%,8,27.1%,5,4.7%
CHI,5-3,5,17.1%,4,18.1%,7,28.4%,7,3.4%
NO,6-2,6,15.1%,6,16.8%,3,44.1%,29,-21.2%
SF,6-2,7,14.2%,7,16.2%,4,41.5%,10,2.2%
PHI,4-5,8,14.1%,8,13.4%,10,25.4%,3,11.6%
DET,5-3,9,12.8%,9,13.1%,6,29.9%,16,-9.0%
CAR,5-3,10,10.5%,10,10.2%,13,20.2%,4,5.4%
DAL,5-4,11,8.2%,11,9.4%,9,25.7%,19,-10.6%
SEA,8-1,12,7.1%,12,6.6%,11,24.4%,12,0.2%
ATL,2-6,13,6.7%,13,5.8%,12,23.9%,24,-16.1%
NE,7-2,14,2.0%,14,3.1%,17,6.5%,8,3.1%
CIN,6-3,15,1.7%,15,2.2%,14,15.1%,14,-6.4%
WAS,3-5,16,0.4%,16,0.3%,24,-3.2%,1,14.1%
PIT,2-6,17,-1.4%,17,-0.1%,15,11.9%,25,-16.5%
KC,9-0,18,-3.1%,19,-3.9%,18,5.8%,9,3.0%
TEN,4-4,19,-4.3%,18,-3.1%,16,10.4%,23,-14.8%
MIA,4-4,20,-4.8%,20,-5.5%,26,-5.4%,11,0.9%
MIN,1-7,21,-8.2%,22,-8.0%,27,-5.7%,15,-6.8%
BUF,3-6,22,-8.6%,24,-10.1%,28,-8.3%,13,-4.4%
TB,0-8,23,-9.1%,21,-7.1%,20,3.2%,21,-13.1%
CLE,4-5,24,-11.0%,23,-9.3%,21,2.0%,27,-19.0%
STL,3-6,25,-11.7%,25,-12.6%,23,-2.9%,26,-18.4%
HOU,2-6,26,-12.6%,26,-13.1%,25,-5.3%,20,-12.7%
ARI,4-4,27,-15.4%,27,-15.7%,29,-11.3%,18,-10.2%
NYG,2-6,28,-16.5%,28,-16.5%,22,-1.1%,31,-34.3%
BAL,3-5,29,-17.1%,29,-17.3%,19,5.7%,32,-37.0%
OAK,3-5,30,-22.6%,31,-24.3%,31,-20.0%,22,-13.1%
NYJ,5-4,31,-23.0%,30,-21.3%,30,-16.5%,28,-19.4%
JAX,0-8,32,-45.7%,32,-42.8%,32,-46.1%,30,-33.6%
