Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
DEN,5-0,1,52.8%,1,52.8%,1,91.7%,5,8.8%
GB,2-2,2,28.2%,2,28.2%,4,44.7%,3,11.5%
SD,2-3,3,26.4%,3,26.4%,2,65.2%,22,-16.9%
IND,4-1,4,21.5%,4,21.5%,9,28.2%,2,12.0%
PHI,2-3,5,19.8%,5,19.8%,8,30.9%,1,24.1%
DAL,2-3,6,16.1%,6,16.1%,6,36.9%,12,-7.3%
NO,5-0,7,16.1%,7,16.1%,3,45.3%,27,-28.5%
ATL,1-4,8,14.8%,8,14.8%,10,27.7%,9,-3.9%
SEA,4-1,9,9.0%,9,9.0%,5,40.2%,19,-12.4%
CHI,3-2,10,8.8%,10,8.8%,12,21.9%,13,-7.6%
SF,3-2,11,4.6%,11,4.6%,7,33.5%,16,-9.6%
DET,3-2,12,3.4%,12,3.4%,13,19.4%,23,-16.9%
WAS,1-3,13,3.3%,13,3.3%,16,9.1%,6,4.0%
KC,5-0,14,1.2%,14,1.2%,14,14.5%,7,1.8%
CAR,1-3,15,1.0%,15,1.0%,26,-8.7%,4,10.8%
MIN,1-3,16,0.4%,16,0.4%,18,6.9%,10,-6.9%
TEN,3-2,17,-1.2%,17,-1.2%,11,25.0%,26,-24.9%
BUF,2-3,18,-1.4%,18,-1.4%,17,7.2%,11,-7.2%
PIT,0-4,19,-3.1%,19,-3.1%,15,14.0%,30,-38.6%
MIA,3-2,20,-3.5%,20,-3.5%,20,1.4%,14,-8.8%
CIN,3-2,21,-4.0%,21,-4.0%,22,0.2%,8,-1.8%
NE,4-1,22,-6.6%,22,-6.6%,19,3.6%,17,-11.1%
OAK,2-3,23,-9.9%,23,-9.9%,21,0.8%,18,-11.8%
HOU,2-3,24,-14.6%,24,-14.6%,29,-11.4%,15,-9.1%
BAL,3-2,25,-15.7%,25,-15.7%,23,-0.7%,28,-28.9%
STL,2-3,26,-15.9%,26,-15.9%,25,-7.0%,29,-29.3%
NYJ,3-2,27,-16.7%,27,-16.7%,24,-4.4%,20,-14.6%
ARI,3-2,28,-18.3%,28,-18.3%,31,-13.0%,21,-16.5%
CLE,3-2,29,-19.1%,29,-19.1%,27,-10.3%,24,-21.6%
TB,0-4,30,-23.6%,30,-23.6%,30,-11.6%,25,-22.2%
NYG,0-5,31,-25.3%,31,-25.3%,28,-11.1%,32,-48.3%
JAX,0-5,32,-60.4%,32,-60.4%,32,-64.2%,31,-43.7%
