Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
DEN,10-2,1,33.6%,1,29.6%,1,61.3%,6,5.0%
SD,5-7,2,23.2%,2,23.6%,2,53.4%,11,-2.9%
PHI,7-5,3,17.8%,3,17.9%,6,31.4%,1,11.0%
NO,9-3,4,16.5%,4,17.5%,3,40.3%,21,-11.4%
SEA,11-1,5,13.5%,6,14.9%,4,40.0%,10,-2.2%
GB,5-6-1,6,12.1%,10,7.2%,11,22.1%,5,5.8%
NE,9-3,7,11.9%,5,17.2%,10,24.3%,7,1.6%
CAR,9-3,8,11.8%,7,11.6%,7,28.9%,8,-0.2%
CHI,6-6,9,11.2%,8,10.1%,8,24.8%,14,-4.6%
DAL,7-5,10,8.0%,11,6.9%,14,18.5%,4,6.2%
ATL,3-9,11,6.1%,14,4.0%,13,18.7%,20,-8.7%
PIT,5-7,12,5.5%,9,8.2%,9,24.7%,29,-18.3%
SF,8-4,13,5.4%,13,4.7%,5,33.2%,18,-8.3%
DET,7-5,14,5.2%,12,5.1%,12,21.8%,25,-12.1%
IND,8-4,15,3.5%,18,-1.0%,16,9.2%,9,-1.6%
KC,9-3,16,0.7%,15,1.7%,17,8.5%,3,6.6%
MIA,6-6,17,-1.4%,16,0.2%,19,6.4%,16,-7.6%
TEN,5-7,18,-2.3%,17,-0.2%,15,10.8%,24,-11.8%
WAS,3-9,19,-3.1%,21,-3.5%,25,-4.8%,2,7.7%
CIN,8-4,20,-4.9%,22,-5.6%,21,4.1%,19,-8.7%
STL,5-7,21,-5.3%,20,-3.4%,22,3.7%,23,-11.5%
TB,3-9,22,-6.1%,19,-2.4%,18,7.3%,22,-11.5%
ARI,7-5,23,-6.9%,24,-6.4%,20,4.8%,26,-12.7%
MIN,3-8-1,24,-7.1%,23,-6.3%,24,-4.8%,13,-4.4%
BUF,4-8,25,-8.6%,25,-10.4%,27,-8.5%,12,-3.6%
NYG,5-7,26,-12.6%,26,-11.1%,26,-6.3%,27,-15.4%
HOU,2-10,27,-12.8%,27,-11.6%,28,-8.9%,17,-8.0%
CLE,4-8,28,-18.1%,29,-18.7%,29,-11.0%,28,-15.5%
OAK,4-8,29,-18.1%,28,-18.2%,30,-15.7%,15,-5.9%
BAL,6-6,30,-21.3%,30,-21.8%,23,-0.7%,32,-34.7%
NYJ,5-7,31,-27.9%,31,-28.6%,31,-25.0%,30,-22.4%
JAX,3-9,32,-36.7%,32,-32.0%,32,-34.3%,31,-29.0%
