Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
DEN,11-2,1,32.8%,1,29.9%,1,58.4%,2,7.3%
SD,6-7,2,23.6%,2,24.3%,2,54.0%,9,-0.9%
PHI,8-5,3,19.2%,3,20.7%,7,30.6%,1,15.7%
NO,10-3,4,18.0%,4,19.6%,3,41.8%,22,-10.8%
CHI,7-6,5,15.6%,6,15.9%,5,33.3%,13,-5.3%
SEA,11-2,6,13.5%,7,14.9%,4,40.0%,10,-2.4%
NE,10-3,7,13.2%,5,18.8%,9,25.4%,7,2.4%
CAR,9-4,8,9.7%,10,8.7%,10,24.0%,8,-0.4%
DAL,7-6,9,9.4%,8,9.4%,12,19.7%,3,7.2%
GB,6-6-1,10,8.4%,14,2.2%,14,17.5%,6,3.1%
IND,8-5,11,7.8%,12,4.3%,15,16.0%,11,-3.0%
PIT,5-8,12,5.9%,9,8.9%,8,26.1%,29,-19.1%
ATL,3-10,13,4.8%,15,2.1%,13,17.7%,21,-9.8%
SF,9-4,14,4.7%,13,4.2%,6,31.8%,18,-8.8%
KC,10-3,15,2.1%,11,4.5%,17,9.9%,4,7.0%
DET,7-6,16,1.6%,18,-0.3%,11,19.8%,27,-17.3%
CIN,9-4,17,-0.4%,17,-0.1%,16,10.6%,17,-6.5%
MIA,7-6,18,-1.2%,16,0.2%,20,5.5%,15,-5.9%
TEN,5-8,19,-3.9%,19,-2.2%,19,6.2%,19,-8.8%
ARI,8-5,20,-4.5%,20,-3.2%,18,8.5%,23,-11.2%
WAS,3-10,21,-5.1%,23,-6.8%,26,-7.2%,5,6.0%
MIN,3-9-1,22,-8.2%,21,-6.4%,25,-5.5%,16,-6.5%
STL,5-8,23,-8.5%,24,-7.3%,22,-1.5%,24,-11.3%
TB,4-9,24,-9.4%,22,-6.5%,21,1.8%,25,-12.0%
BUF,4-9,25,-13.7%,28,-16.4%,29,-15.9%,14,-5.5%
HOU,2-11,26,-13.9%,26,-13.7%,28,-10.4%,20,-9.1%
CLE,4-9,27,-14.6%,27,-13.8%,24,-3.5%,28,-18.4%
NYG,5-8,28,-15.2%,25,-13.7%,27,-9.3%,26,-16.5%
OAK,4-9,29,-17.4%,29,-17.0%,30,-16.0%,12,-4.6%
BAL,7-6,30,-22.2%,30,-23.5%,23,-2.5%,32,-36.4%
NYJ,6-7,31,-25.4%,31,-26.1%,31,-21.1%,30,-21.4%
JAX,4-9,32,-34.4%,32,-29.2%,32,-29.7%,31,-29.3%
