Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
DEN,7-1,1,41.9%,1,40.9%,1,38.3%,1,37.2%,20,1.3%,17,1.4%,4,4.9%,5,5.0%
SEA,7-1,2,31.9%,2,30.5%,14,5.4%,14,4.3%,1,-23.7%,1,-23.7%,10,2.8%,10,2.5%
IND,5-2,3,24.0%,3,24.7%,4,17.5%,7,16.7%,11,-3.1%,11,-4.4%,8,3.5%,7,3.6%
CAR,4-3,4,21.8%,4,22.2%,9,12.6%,9,11.9%,5,-9.1%,5,-9.8%,14,0.1%,14,0.5%
NO,6-1,5,21.7%,5,22.1%,5,17.4%,4,18.5%,7,-5.7%,8,-5.1%,20,-1.4%,19,-1.5%
CIN,6-2,6,20.8%,6,21.3%,12,7.7%,12,7.9%,3,-11.2%,3,-11.5%,11,2.0%,11,1.9%
CHI,4-3,7,19.5%,8,18.9%,7,17.2%,6,17.1%,18,1.1%,20,1.6%,9,3.4%,9,3.4%
SF,6-2,8,18.2%,7,19.2%,6,17.3%,5,17.6%,15,-1.1%,13,-1.6%,15,-0.2%,15,0.1%
GB,5-2,9,18.0%,9,18.4%,2,29.8%,2,29.3%,27,7.9%,28,6.9%,25,-3.9%,25,-4.1%
DAL,4-4,10,15.8%,10,17.0%,10,8.4%,10,9.3%,14,-1.4%,14,-1.4%,2,6.0%,1,6.3%
KC,8-0,11,15.2%,11,14.2%,16,-1.1%,16,-1.3%,4,-11.1%,4,-9.9%,3,5.2%,3,5.6%
DET,5-3,12,9.4%,12,9.6%,8,13.2%,8,13.3%,19,1.2%,19,1.5%,24,-2.7%,23,-2.2%
ARI,4-4,13,5.2%,13,7.0%,24,-13.5%,24,-13.8%,2,-19.3%,2,-20.8%,17,-0.6%,16,0.1%
NE,6-2,14,4.9%,14,5.3%,19,-6.2%,19,-6.0%,10,-4.8%,9,-5.0%,1,6.3%,2,6.3%
SD,4-3,15,-0.1%,15,0.4%,3,27.3%,3,27.5%,32,25.4%,32,25.1%,22,-2.0%,22,-2.1%
ATL,2-5,16,-3.3%,16,-4.3%,11,8.3%,11,8.1%,29,10.1%,29,10.9%,19,-1.4%,20,-1.5%
BUF,3-5,17,-9.2%,19,-10.0%,21,-9.6%,23,-10.4%,9,-5.3%,6,-5.7%,27,-4.9%,27,-5.3%
PIT,2-5,18,-9.5%,17,-9.0%,18,-3.5%,17,-2.4%,24,4.2%,23,4.8%,21,-1.8%,21,-1.9%
STL,3-5,19,-11.5%,22,-12.4%,25,-13.6%,25,-14.5%,16,-0.4%,16,-0.9%,12,1.6%,12,1.1%
MIN,1-6,20,-11.6%,20,-10.9%,22,-10.6%,22,-10.2%,26,5.5%,26,5.8%,6,4.5%,4,5.0%
CLE,3-5,21,-12.0%,18,-10.0%,23,-11.6%,21,-9.9%,25,4.9%,25,5.1%,5,4.5%,6,5.0%
BAL,3-4,22,-12.4%,21,-11.1%,26,-15.6%,26,-15.9%,12,-2.8%,12,-4.1%,13,0.4%,13,0.7%
TEN,3-4,23,-13.1%,23,-13.7%,17,-3.3%,18,-2.8%,17,1.1%,21,1.6%,29,-8.7%,29,-9.4%
MIA,3-4,24,-13.2%,25,-15.5%,20,-6.9%,20,-7.5%,23,4.1%,24,5.0%,23,-2.3%,24,-3.0%
NYJ,4-4,25,-13.8%,24,-14.5%,31,-22.9%,31,-22.7%,8,-5.5%,10,-4.7%,7,3.6%,8,3.5%
PHI,3-5,26,-15.7%,26,-16.9%,13,6.6%,13,5.9%,30,16.1%,30,15.9%,28,-6.3%,28,-6.9%
TB,0-7,27,-20.5%,27,-21.7%,30,-18.8%,29,-18.2%,21,1.5%,22,2.8%,16,-0.3%,17,-0.7%
HOU,2-5,28,-22.8%,28,-24.1%,28,-17.4%,28,-18.1%,6,-5.8%,7,-5.2%,30,-11.2%,30,-11.2%
OAK,3-4,29,-25.1%,30,-25.3%,29,-17.7%,30,-19.6%,22,2.8%,18,1.5%,26,-4.6%,26,-4.2%
WAS,2-5,30,-25.6%,29,-24.4%,15,-0.6%,15,-0.4%,28,8.3%,27,6.7%,32,-16.7%,32,-17.3%
NYG,2-6,31,-27.3%,31,-27.3%,27,-16.6%,27,-16.4%,13,-1.6%,15,-1.4%,31,-12.3%,31,-12.3%
JAX,0-8,32,-65.1%,32,-62.8%,32,-41.4%,32,-39.6%,31,22.7%,31,22.5%,18,-1.0%,18,-0.7%
