Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
SEA,11-1,1,39.1%,1,40.7%,5,13.5%,6,14.9%,1,-20.3%,2,-19.9%,4,5.3%,3,5.9%
DEN,10-2,2,32.1%,3,28.4%,1,33.6%,1,29.6%,19,1.2%,15,-1.3%,18,-0.3%,21,-2.5%
CAR,9-3,3,29.7%,2,31.8%,8,11.8%,7,11.6%,3,-17.6%,3,-19.3%,13,0.4%,13,0.9%
NO,9-3,4,22.3%,4,22.6%,4,16.5%,4,17.5%,7,-7.6%,9,-7.2%,21,-1.8%,20,-2.2%
NE,9-3,5,17.8%,5,21.8%,7,11.9%,5,17.2%,16,-0.2%,16,1.0%,3,5.7%,5,5.6%
SF,8-4,6,15.6%,6,17.0%,13,5.4%,13,4.7%,6,-7.9%,8,-9.0%,10,2.3%,9,3.4%
CIN,8-4,7,13.6%,7,14.7%,20,-4.9%,22,-5.6%,4,-15.0%,4,-16.2%,7,3.5%,7,4.1%
CHI,6-6,8,10.5%,11,7.8%,9,11.2%,8,10.1%,20,1.6%,19,3.2%,12,0.9%,14,0.9%
ARI,7-5,9,10.0%,10,10.6%,23,-6.9%,24,-6.4%,2,-19.8%,1,-20.2%,24,-2.9%,24,-3.2%
KC,9-3,10,9.5%,13,7.1%,16,0.7%,15,1.7%,14,-2.4%,17,1.5%,1,6.4%,2,6.9%
PHI,7-5,11,7.5%,9,11.5%,3,17.8%,3,17.9%,28,9.8%,25,7.6%,19,-0.6%,12,1.3%
STL,5-7,12,7.0%,8,12.9%,21,-5.3%,20,-3.4%,9,-6.3%,6,-9.3%,2,6.0%,1,7.0%
DET,7-5,13,6.3%,12,7.5%,14,5.2%,12,5.1%,13,-5.1%,11,-6.7%,26,-4.0%,26,-4.3%
DAL,7-5,14,5.1%,14,2.1%,10,8.0%,11,6.9%,22,6.3%,26,7.8%,9,3.3%,10,3.0%
IND,8-4,15,-0.9%,19,-6.8%,15,3.5%,18,-1.0%,21,4.7%,21,6.0%,14,0.3%,17,0.2%
MIA,6-6,16,-2.8%,15,0.4%,17,-1.4%,16,0.2%,15,-1.8%,12,-4.4%,25,-3.2%,25,-4.2%
TB,3-9,17,-3.0%,17,-1.4%,22,-6.1%,19,-2.4%,12,-5.2%,14,-3.8%,22,-2.1%,22,-2.8%
PIT,5-7,18,-3.3%,16,-0.4%,12,5.5%,9,8.2%,26,8.6%,27,9.0%,16,-0.2%,16,0.4%
SD,5-7,19,-3.5%,18,-2.6%,2,23.2%,2,23.6%,32,26.6%,32,26.7%,15,-0.2%,15,0.5%
BUF,4-8,20,-5.5%,20,-7.8%,25,-8.6%,25,-10.4%,5,-9.0%,7,-9.1%,28,-5.9%,29,-6.4%
ATL,3-9,21,-6.5%,24,-9.6%,11,6.1%,14,4.0%,29,11.4%,29,12.4%,20,-1.2%,19,-1.2%
GB,5-6-1,22,-7.4%,26,-13.2%,6,12.1%,10,7.2%,31,17.1%,31,17.4%,23,-2.5%,23,-3.0%
TEN,5-7,23,-9.5%,22,-9.0%,18,-2.3%,17,-0.2%,17,0.5%,18,2.3%,29,-6.7%,30,-6.5%
BAL,6-6,24,-10.7%,23,-9.0%,30,-21.3%,30,-21.8%,11,-6.2%,10,-7.2%,5,4.4%,4,5.7%
MIN,3-8-1,25,-11.3%,25,-11.1%,24,-7.1%,23,-6.3%,25,8.2%,28,9.1%,6,4.0%,6,4.3%
NYG,5-7,26,-13.9%,21,-8.2%,26,-12.6%,26,-11.1%,8,-6.6%,5,-9.5%,31,-7.9%,31,-6.6%
NYJ,5-7,27,-18.2%,27,-21.2%,31,-27.9%,31,-28.6%,10,-6.2%,13,-3.9%,7,3.5%,8,3.5%
HOU,2-10,28,-21.3%,29,-22.1%,27,-12.8%,27,-11.6%,18,1.0%,20,4.2%,30,-7.6%,28,-6.3%
WAS,3-9,29,-23.8%,28,-21.7%,19,-3.1%,21,-3.5%,27,9.0%,23,7.5%,32,-11.8%,32,-10.7%
CLE,4-8,30,-24.7%,30,-27.1%,28,-18.1%,29,-18.7%,23,6.4%,24,7.6%,17,-0.2%,18,-0.8%
OAK,4-8,31,-30.4%,31,-30.8%,29,-18.1%,28,-18.2%,24,6.6%,22,6.5%,27,-5.7%,27,-6.1%
JAX,3-9,32,-49.9%,32,-43.8%,32,-36.7%,32,-32.0%,30,14.8%,30,14.6%,11,1.6%,11,2.8%
