Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
DEN,6-1,1,39.7%,1,39.1%,1,42.4%,1,42.3%,27,8.7%,27,9.1%,3,6.1%,3,5.9%
SEA,6-1,2,34.4%,2,33.8%,11,9.4%,11,9.4%,1,-22.6%,1,-22.2%,10,2.4%,11,2.2%
IND,5-2,3,24.2%,3,24.8%,5,17.3%,5,17.0%,15,-3.5%,11,-4.2%,8,3.5%,8,3.6%
KC,7-0,4,21.0%,4,20.6%,18,-2.9%,18,-3.3%,2,-17.7%,2,-17.5%,2,6.2%,1,6.4%
GB,4-2,5,20.7%,5,20.6%,3,27.5%,3,26.5%,19,3.5%,18,2.6%,25,-3.3%,26,-3.3%
NO,5-1,6,19.5%,8,20.0%,6,15.0%,6,15.8%,11,-4.2%,14,-3.9%,16,0.3%,15,0.4%
DAL,4-3,7,19.3%,6,20.2%,13,8.0%,13,8.5%,8,-6.1%,8,-6.5%,4,5.2%,5,5.2%
CAR,3-3,8,19.3%,7,20.1%,14,6.5%,14,6.3%,3,-13.7%,3,-14.6%,20,-0.9%,20,-0.8%
CHI,4-3,9,16.6%,9,16.4%,7,14.8%,7,14.7%,17,1.6%,17,1.6%,9,3.4%,9,3.4%
SF,5-2,10,14.4%,10,15.3%,9,10.2%,9,10.6%,13,-3.8%,12,-4.0%,14,0.4%,13,0.7%
CIN,5-2,11,11.6%,11,11.7%,15,2.7%,15,2.6%,7,-7.9%,7,-8.0%,12,1.0%,12,1.0%
NE,5-2,12,7.5%,12,7.5%,19,-4.8%,19,-4.6%,9,-6.1%,9,-5.8%,1,6.2%,2,6.3%
DET,4-3,13,4.9%,13,5.1%,10,9.9%,10,9.9%,18,3.0%,19,3.2%,22,-1.9%,21,-1.6%
ATL,2-4,14,4.4%,14,4.1%,4,17.8%,4,18.0%,28,10.6%,28,10.8%,24,-2.9%,25,-3.1%
SD,4-3,15,2.1%,15,2.4%,2,28.1%,2,28.2%,32,24.1%,32,23.8%,23,-2.0%,23,-2.1%
ARI,3-4,16,-1.5%,16,-1.1%,23,-14.1%,23,-14.3%,4,-12.5%,4,-12.8%,17,0.2%,17,0.3%
NYJ,4-3,17,-3.0%,17,-2.6%,30,-19.0%,29,-18.5%,5,-12.2%,5,-12.0%,7,3.9%,7,3.9%
BUF,3-4,18,-3.9%,18,-4.8%,21,-7.7%,21,-8.4%,6,-8.1%,6,-8.1%,27,-4.3%,27,-4.5%
PHI,3-4,19,-8.2%,20,-9.0%,8,14.2%,8,13.9%,30,14.5%,30,14.5%,28,-7.9%,28,-8.3%
PIT,2-4,20,-8.8%,19,-8.5%,16,-1.3%,16,-0.9%,26,7.4%,26,7.5%,18,-0.1%,18,-0.1%
TEN,3-4,21,-11.0%,21,-11.1%,17,-2.3%,17,-1.8%,16,-0.1%,16,0.3%,29,-8.7%,29,-9.0%
MIA,3-3,22,-11.1%,23,-12.3%,20,-6.5%,20,-7.2%,20,4.3%,23,4.6%,19,-0.3%,19,-0.5%
BAL,3-4,23,-12.7%,22,-12.1%,25,-16.5%,26,-16.7%,14,-3.5%,13,-3.9%,15,0.4%,14,0.7%
STL,3-4,24,-13.9%,24,-14.5%,22,-11.8%,22,-12.3%,22,4.5%,21,4.5%,11,2.4%,10,2.2%
TB,0-6,25,-15.9%,26,-16.4%,31,-20.6%,31,-20.3%,12,-4.1%,15,-3.4%,13,0.5%,16,0.4%
CLE,3-4,26,-16.5%,25,-15.6%,27,-16.8%,24,-16.2%,23,4.6%,22,4.6%,5,4.9%,4,5.3%
MIN,1-5,27,-16.8%,27,-16.7%,26,-16.8%,27,-16.8%,21,4.3%,20,4.3%,6,4.3%,6,4.5%
WAS,2-4,28,-22.7%,28,-21.9%,12,8.9%,12,8.9%,29,12.1%,29,11.0%,32,-19.5%,32,-19.8%
HOU,2-5,29,-22.7%,29,-23.5%,28,-17.4%,28,-17.9%,10,-5.9%,10,-5.5%,30,-11.2%,30,-11.1%
OAK,2-4,30,-24.6%,30,-24.6%,24,-16.0%,25,-16.5%,24,5.3%,24,5.0%,26,-3.3%,24,-3.1%
NYG,1-6,31,-37.5%,31,-37.9%,29,-18.7%,30,-18.8%,25,6.2%,25,6.6%,31,-12.5%,31,-12.4%
JAX,0-7,32,-65.9%,32,-65.5%,32,-45.9%,32,-45.5%,31,18.2%,31,18.3%,21,-1.8%,22,-1.7%
