Team,W-L,DefenseDVOA Rank,DefenseDVOA,Defense WeightedDVOA Rank,Defense WeightedDVOA,PassDefense Rank,PassDefense,RushDefense Rank,RushDefense
NYG,1-0,1,-61.0%,1,-61.0%,1,-73.3%,5,-39.9%
SEA,1-0,2,-46.5%,2,-46.5%,4,-44.6%,3,-49.7%
BAL,1-0,3,-39.4%,3,-39.4%,2,-64.4%,18,-10.4%
CHI,1-0,4,-38.7%,4,-38.7%,6,-25.1%,2,-57.7%
TEN,1-0,5,-25.1%,5,-25.1%,3,-47.1%,23,10.9%
NYJ,0-1,6,-24.5%,6,-24.5%,17,4.7%,1,-60.4%
ARI,1-0,7,-24.3%,7,-24.3%,5,-28.5%,16,-14.9%
MIA,1-0,8,-21.8%,8,-21.8%,9,-14.8%,7,-34.9%
NO,1-0,9,-13.2%,9,-13.2%,8,-17.1%,19,-9.4%
CLE,0-1,10,-13.2%,10,-13.2%,18,11.7%,6,-39.6%
DET,0-1,11,-10.3%,11,-10.3%,20,14.4%,4,-41.3%
STL,0-1,12,-10.3%,12,-10.3%,10,-2.7%,11,-23.5%
TB,1-0,13,-8.2%,13,-8.2%,14,1.7%,10,-25.0%
PIT,1-0,14,-7.0%,14,-7.0%,13,1.6%,14,-19.2%
DAL,0-1,15,-6.6%,15,-6.6%,11,0.1%,15,-16.8%
SD,0-1,16,-5.2%,16,-5.2%,7,-20.1%,22,6.4%
CAR,0-1,17,-1.4%,17,-1.4%,24,26.8%,9,-25.4%
ATL,0-1,18,1.4%,18,1.4%,15,2.5%,21,0.5%
KC,1-0,19,7.2%,19,7.2%,23,25.6%,13,-22.7%
BUF,0-1,20,7.8%,20,7.8%,16,3.8%,24,10.9%
GB,1-0,21,9.7%,21,9.7%,12,0.2%,31,31.9%
SF,0-1,22,11.2%,22,11.2%,28,37.5%,12,-22.9%
JAX,1-0,23,12.0%,23,12.0%,29,44.2%,8,-29.1%
NE,1-0,24,18.7%,24,18.7%,25,35.0%,17,-12.3%
PHI,0-1,25,19.0%,25,19.0%,22,25.3%,25,11.2%
MIN,0-1,26,20.5%,26,20.5%,21,22.5%,27,17.7%
OAK,0-1,27,28.6%,27,28.6%,30,46.2%,28,19.9%
HOU,1-0,28,29.5%,28,29.5%,26,35.9%,20,-6.3%
WAS,1-0,29,33.0%,29,33.0%,27,37.3%,30,26.7%
DEN,0-1,30,37.3%,30,37.3%,31,78.1%,26,11.2%
IND,0-1,31,45.7%,31,45.7%,19,12.3%,32,60.7%
CIN,0-1,32,56.4%,32,56.4%,32,80.8%,29,23.1%
