Team,W-L,DefenseDVOA Rank,DefenseDVOA,Defense WeightedDVOA Rank,Defense WeightedDVOA,PassDefense Rank,PassDefense,RushDefense Rank,RushDefense
PIT,9-3,1,-19.3%,1,-17.3%,5,-9.9%,1,-37.1%
NYG,8-4,2,-16.4%,3,-14.8%,1,-22.0%,19,-8.4%
GB,8-4,3,-13.5%,2,-14.9%,3,-11.1%,5,-16.8%
CHI,9-3,4,-12.6%,4,-13.3%,4,-10.1%,6,-16.8%
SD,6-6,5,-12.2%,5,-11.0%,2,-12.4%,15,-12.0%
BAL,8-4,6,-9.3%,6,-9.6%,7,-4.1%,7,-16.7%
TEN,5-7,7,-8.6%,12,-4.8%,6,-4.5%,12,-14.0%
NYJ,9-3,8,-6.7%,11,-5.1%,23,10.2%,2,-31.2%
MIN,5-7,9,-6.3%,8,-5.5%,16,3.8%,3,-20.0%
CLE,5-7,10,-5.7%,7,-6.9%,8,-2.2%,17,-9.9%
NO,9-3,11,-5.5%,10,-5.2%,12,2.4%,10,-15.1%
ATL,10-2,12,-5.3%,13,-3.7%,14,3.4%,4,-19.5%
PHI,8-4,13,-3.8%,14,-3.0%,13,2.5%,13,-13.1%
MIA,6-6,14,-2.4%,16,-1.2%,20,8.3%,11,-14.7%
OAK,6-6,15,-2.0%,9,-5.4%,24,10.8%,9,-16.1%
SF,4-8,16,-1.7%,18,0.2%,22,9.4%,8,-16.2%
IND,6-6,17,-0.8%,15,-1.4%,10,-1.6%,25,0.0%
STL,6-6,18,-0.7%,17,-0.3%,17,5.2%,16,-10.0%
CAR,1-11,19,-0.3%,20,2.8%,9,-2.0%,28,1.4%
KC,8-4,20,0.2%,19,2.8%,18,5.7%,20,-8.0%
DET,2-10,21,2.4%,21,3.5%,19,6.7%,23,-2.9%
TB,7-5,22,3.4%,22,3.6%,11,1.5%,32,5.6%
CIN,2-10,23,3.5%,24,6.5%,15,3.5%,31,3.6%
ARI,3-9,24,4.5%,23,6.1%,21,8.4%,26,0.1%
WAS,5-7,25,8.3%,25,9.4%,25,12.0%,30,3.3%
DAL,4-8,26,9.0%,26,9.6%,29,24.7%,14,-12.9%
NE,10-2,27,11.2%,28,10.6%,26,21.2%,22,-3.6%
BUF,2-10,28,11.9%,27,10.3%,27,23.5%,29,1.8%
SEA,6-6,29,14.5%,31,19.8%,28,24.4%,27,1.3%
JAX,7-5,30,15.4%,29,14.2%,30,31.5%,21,-4.9%
HOU,5-7,31,19.4%,30,18.6%,31,40.2%,18,-9.0%
DEN,3-9,32,20.5%,32,20.3%,32,44.6%,24,-1.0%
