Team,W-L,DefenseDVOA Rank,DefenseDVOA,Defense WeightedDVOA Rank,Defense WeightedDVOA,PassDefense Rank,PassDefense,RushDefense Rank,RushDefense
NYG,4-2,1,-26.6%,1,-26.4%,1,-30.1%,4,-22.4%
TEN,4-2,2,-21.2%,2,-21.2%,2,-21.6%,5,-20.4%
PIT,4-1,3,-20.8%,3,-21.0%,4,-14.6%,1,-31.4%
SD,2-4,4,-14.3%,4,-14.3%,3,-17.7%,17,-10.0%
MIN,2-3,5,-13.5%,5,-13.9%,5,-11.1%,8,-16.4%
CAR,0-5,6,-11.2%,6,-11.2%,6,-7.6%,10,-14.6%
ATL,4-2,7,-8.7%,7,-8.6%,11,-1.9%,6,-18.0%
SF,1-5,8,-7.7%,8,-7.8%,16,1.4%,7,-17.9%
CHI,4-2,9,-6.3%,9,-5.8%,9,-2.4%,15,-12.2%
PHI,4-2,10,-4.3%,10,-4.6%,10,-2.2%,18,-7.4%
STL,3-3,11,-4.3%,11,-4.5%,15,1.4%,12,-13.0%
KC,3-2,12,-4.3%,13,-4.2%,13,1.0%,16,-11.5%
GB,3-3,13,-4.2%,12,-4.2%,14,1.0%,13,-12.7%
NO,4-2,14,-4.0%,14,-3.9%,21,5.8%,9,-15.3%
BAL,4-2,15,-4.0%,15,-3.4%,8,-4.8%,22,-3.0%
SEA,3-2,16,-3.9%,17,-3.1%,22,11.2%,2,-30.0%
CIN,2-3,17,-2.6%,16,-3.4%,7,-6.6%,28,2.9%
NYJ,5-1,18,0.1%,18,0.7%,25,19.5%,3,-28.7%
MIA,3-2,19,0.9%,19,1.2%,18,4.7%,21,-3.4%
DAL,1-4,20,2.5%,20,2.9%,23,15.3%,11,-14.3%
DET,1-5,21,3.4%,21,3.5%,19,5.5%,25,0.6%
ARI,3-2,22,3.4%,22,4.0%,20,5.7%,24,0.5%
IND,4-2,23,4.6%,23,4.2%,17,1.6%,30,7.7%
TB,3-2,24,6.7%,24,7.1%,12,-0.6%,32,13.7%
WAS,3-3,25,8.6%,25,8.4%,24,18.2%,20,-6.8%
CLE,1-5,26,11.2%,26,11.7%,29,32.4%,14,-12.4%
NE,4-1,27,13.8%,27,13.7%,27,27.8%,19,-7.0%
DEN,2-4,28,14.8%,28,14.6%,26,24.8%,29,4.7%
OAK,2-4,29,15.5%,29,15.4%,28,29.9%,27,1.6%
HOU,4-2,30,21.1%,30,21.3%,30,36.6%,23,-1.9%
JAX,3-3,31,22.7%,31,23.0%,31,40.0%,26,1.4%
BUF,0-5,32,27.5%,32,28.1%,32,49.5%,31,11.0%
