Team,W-L,DefenseDVOA Rank,DefenseDVOA,Defense WeightedDVOA Rank,Defense WeightedDVOA,PassDefense Rank,PassDefense,RushDefense Rank,RushDefense
NYG,6-2,1,-22.5%,1,-23.8%,1,-24.1%,5,-20.4%
PIT,6-2,2,-19.8%,2,-17.6%,3,-11.9%,1,-33.8%
TEN,5-3,3,-16.6%,3,-15.3%,2,-16.3%,7,-17.1%
GB,6-3,4,-11.5%,4,-11.2%,4,-10.7%,11,-12.8%
SD,4-5,5,-11.3%,5,-10.1%,5,-7.8%,8,-15.7%
KC,5-3,6,-10.8%,7,-9.8%,8,-3.9%,4,-20.6%
NO,6-3,7,-8.2%,6,-9.9%,7,-4.8%,14,-12.0%
CHI,5-3,8,-7.2%,10,-6.5%,9,-3.6%,10,-12.8%
PHI,5-3,9,-6.8%,8,-7.7%,6,-7.1%,22,-6.3%
STL,4-4,10,-6.3%,9,-7.2%,10,-2.7%,13,-12.1%
SF,2-6,11,-4.5%,11,-5.4%,21,8.2%,3,-20.8%
ATL,6-2,12,-4.3%,13,-3.5%,19,6.8%,6,-20.2%
NYJ,6-2,13,-3.9%,16,-1.9%,25,12.5%,2,-28.5%
CAR,1-7,14,-3.9%,14,-3.3%,13,1.5%,17,-9.7%
OAK,5-4,15,-3.6%,12,-5.3%,17,4.9%,12,-12.7%
DET,2-6,16,-1.5%,15,-2.9%,12,-0.9%,25,-2.3%
MIN,3-5,17,-1.3%,17,-0.9%,18,6.6%,15,-11.5%
CLE,3-5,18,0.0%,19,1.2%,23,11.6%,9,-15.4%
BAL,6-2,19,0.3%,23,2.9%,15,2.4%,24,-2.6%
MIA,4-4,20,1.6%,24,3.2%,24,11.7%,18,-9.4%
WAS,4-4,21,2.1%,18,-0.1%,22,8.5%,19,-8.7%
CIN,2-6,22,2.1%,22,2.8%,14,2.0%,27,2.1%
ARI,3-5,23,2.5%,21,2.3%,20,8.1%,23,-5.1%
IND,5-3,24,2.5%,20,2.0%,11,-2.5%,29,8.1%
TB,5-3,25,8.5%,25,10.5%,16,2.8%,32,14.4%
SEA,4-4,26,9.8%,27,12.6%,26,21.8%,21,-6.5%
DAL,1-7,27,12.0%,26,12.3%,29,32.2%,16,-11.0%
NE,6-2,28,14.4%,28,13.7%,27,26.5%,26,-1.9%
JAX,4-4,29,16.5%,29,16.3%,28,28.8%,28,2.2%
HOU,4-4,30,19.4%,30,19.1%,30,37.6%,20,-6.7%
DEN,2-6,31,23.3%,31,23.5%,31,38.0%,31,11.7%
BUF,0-8,32,25.6%,32,26.6%,32,46.9%,30,8.7%
