Team,W-L,DefenseDVOA Rank,DefenseDVOA,Defense WeightedDVOA Rank,Defense WeightedDVOA,PassDefense Rank,PassDefense,RushDefense Rank,RushDefense
PIT,10-3,1,-20.3%,1,-19.0%,3,-12.4%,1,-35.3%
NYG,9-4,2,-17.8%,2,-17.9%,1,-21.7%,14,-12.2%
SD,7-6,3,-14.9%,3,-13.8%,2,-15.9%,10,-13.5%
GB,8-5,4,-12.1%,4,-13.6%,4,-11.9%,13,-12.4%
CHI,9-4,5,-10.7%,6,-11.3%,5,-6.7%,3,-17.0%
BAL,9-4,6,-9.9%,5,-11.4%,6,-5.4%,4,-16.9%
NYJ,9-4,7,-8.2%,8,-8.0%,22,7.9%,2,-30.6%
NO,10-3,8,-7.6%,7,-8.3%,7,-2.3%,9,-14.1%
MIA,7-6,9,-6.3%,9,-6.7%,15,2.8%,5,-16.9%
TEN,5-8,10,-5.6%,16,-0.5%,13,1.7%,8,-15.0%
MIN,5-8,11,-5.4%,10,-4.6%,14,2.6%,6,-16.2%
PHI,9-4,12,-3.9%,12,-2.7%,12,1.7%,15,-12.0%
ATL,11-2,13,-3.5%,14,-2.5%,16,2.8%,11,-13.4%
CLE,5-8,14,-3.5%,11,-3.8%,9,0.3%,19,-7.8%
DET,3-10,15,-1.6%,13,-2.7%,11,1.2%,20,-5.4%
SF,5-8,16,-1.5%,17,0.0%,23,8.8%,7,-15.2%
STL,6-7,17,-0.6%,18,0.4%,18,4.4%,18,-8.4%
ARI,4-9,18,0.3%,19,0.7%,10,0.8%,24,-0.3%
OAK,6-7,19,0.6%,15,-0.9%,24,13.3%,12,-12.6%
CAR,1-12,20,0.7%,20,3.7%,8,-1.7%,30,3.3%
KC,8-5,21,2.7%,24,6.2%,21,7.2%,21,-3.6%
IND,7-6,22,3.7%,21,4.0%,20,6.6%,28,0.7%
CIN,2-11,23,4.7%,26,8.0%,17,3.7%,32,5.9%
TB,8-5,24,5.5%,22,5.2%,19,5.6%,31,5.5%
DAL,4-9,25,7.6%,25,7.8%,28,20.1%,17,-9.6%
BUF,3-10,26,9.1%,23,5.6%,27,19.8%,25,-0.1%
WAS,5-8,27,9.2%,28,10.5%,25,15.8%,26,0.3%
NE,11-2,28,9.9%,27,8.5%,26,17.8%,23,-1.9%
HOU,5-8,29,15.9%,29,13.7%,30,35.4%,16,-10.7%
SEA,6-7,30,15.9%,32,21.0%,29,27.6%,27,0.4%
JAX,8-5,31,18.8%,30,17.6%,31,36.5%,22,-3.6%
DEN,3-10,32,21.0%,31,20.6%,32,40.7%,29,3.1%
