Team,W-L,DefenseDVOA Rank,DefenseDVOA,Defense WeightedDVOA Rank,Defense WeightedDVOA,PassDefense Rank,PassDefense,RushDefense Rank,RushDefense
PIT,7-3,1,-19.8%,1,-17.2%,6,-11.0%,1,-35.6%
NYG,6-4,2,-16.6%,2,-16.8%,1,-16.5%,6,-16.7%
GB,7-3,3,-14.2%,4,-15.3%,3,-13.2%,10,-15.8%
SD,5-5,4,-14.0%,5,-13.1%,2,-13.3%,12,-15.0%
CHI,7-3,5,-13.8%,3,-15.7%,4,-12.3%,7,-16.3%
TEN,5-5,6,-12.1%,7,-10.1%,7,-6.2%,3,-21.2%
PHI,7-3,7,-10.8%,6,-11.9%,5,-11.2%,18,-10.3%
NO,7-3,8,-7.3%,8,-9.1%,10,-0.5%,11,-15.6%
BAL,7-3,9,-6.3%,9,-5.7%,9,-3.4%,17,-10.3%
NYJ,8-2,10,-5.8%,11,-4.9%,20,11.1%,2,-30.3%
DET,2-8,11,-4.0%,10,-5.6%,11,-0.5%,20,-8.5%
CLE,3-7,12,-3.7%,12,-4.8%,14,2.7%,15,-11.7%
ATL,8-2,13,-3.2%,18,-1.3%,18,6.8%,4,-18.9%
SF,3-7,14,-2.6%,14,-2.4%,19,9.3%,5,-17.2%
STL,4-6,15,-2.1%,16,-1.9%,15,4.9%,14,-13.1%
MIA,5-5,16,-1.9%,17,-1.8%,16,5.6%,19,-10.1%
OAK,5-5,17,-1.7%,13,-4.4%,21,11.6%,9,-16.0%
IND,6-4,18,-0.8%,15,-1.9%,8,-3.8%,31,2.7%
CIN,2-8,19,0.2%,19,1.9%,12,0.0%,28,0.4%
MIN,3-7,20,0.3%,20,2.0%,22,12.1%,13,-15.0%
CAR,1-9,21,0.6%,21,2.4%,17,6.5%,25,-5.7%
KC,6-4,22,3.1%,25,5.9%,25,13.1%,16,-11.4%
ARI,3-7,23,4.4%,22,4.5%,24,12.8%,24,-6.2%
TB,7-3,24,4.7%,23,5.2%,13,1.4%,32,8.4%
WAS,5-5,25,6.0%,24,5.5%,23,12.2%,27,-3.8%
DAL,3-7,26,9.5%,26,10.7%,28,30.0%,8,-16.3%
SEA,5-5,27,11.7%,29,15.2%,26,25.0%,21,-8.0%
NE,8-2,28,14.4%,28,14.2%,27,29.1%,22,-7.5%
JAX,6-4,29,14.9%,27,14.1%,29,31.1%,26,-4.9%
BUF,2-8,30,16.3%,30,15.4%,30,31.9%,30,1.9%
DEN,3-7,31,20.8%,31,21.6%,31,43.3%,29,1.1%
HOU,4-6,32,22.9%,32,22.7%,32,45.5%,23,-6.3%
