Team,W-L,DefenseDVOA Rank,DefenseDVOA,Defense WeightedDVOA Rank,Defense WeightedDVOA,PassDefense Rank,PassDefense,RushDefense Rank,RushDefense
NYG,5-2,1,-21.4%,1,-21.9%,1,-21.9%,4,-20.8%
PIT,5-2,2,-19.4%,2,-18.7%,3,-10.2%,1,-35.5%
TEN,5-3,3,-15.7%,3,-15.2%,2,-14.4%,7,-17.8%
SD,3-5,4,-12.6%,4,-12.3%,4,-9.3%,8,-17.1%
KC,5-2,5,-9.5%,5,-9.0%,9,-3.4%,5,-18.3%
CHI,4-3,6,-8.2%,7,-7.5%,5,-6.5%,17,-10.6%
GB,5-3,7,-7.4%,8,-7.3%,6,-5.1%,16,-10.6%
CAR,1-6,8,-6.9%,11,-6.7%,14,1.2%,9,-15.5%
NO,5-3,9,-6.7%,10,-7.1%,12,-0.4%,12,-13.6%
PHI,4-3,10,-6.6%,9,-7.1%,7,-4.8%,19,-9.2%
STL,4-4,11,-6.5%,6,-7.5%,10,-2.3%,13,-13.5%
SF,2-6,12,-4.0%,12,-5.1%,22,9.5%,3,-21.2%
NYJ,5-2,13,-2.8%,17,-1.4%,24,14.3%,2,-28.2%
MIN,2-5,14,-2.2%,13,-2.4%,15,2.4%,20,-8.0%
MIA,4-3,15,-2.2%,15,-1.9%,18,5.4%,15,-10.8%
DET,2-5,16,-1.8%,14,-2.4%,11,-0.7%,26,-3.3%
ATL,5-2,17,-1.1%,18,-0.7%,23,10.2%,6,-18.1%
OAK,4-4,18,-0.6%,16,-1.4%,17,5.3%,22,-7.0%
ARI,3-4,19,1.1%,21,2.1%,19,5.4%,25,-4.2%
WAS,4-4,20,2.1%,19,0.8%,21,8.9%,18,-9.3%
BAL,5-2,21,2.1%,22,3.6%,20,8.2%,24,-5.4%
IND,5-2,22,2.2%,20,1.6%,8,-4.5%,29,9.7%
CLE,2-5,23,3.1%,23,4.0%,26,16.3%,11,-13.9%
SEA,4-3,24,3.2%,25,5.2%,25,14.6%,10,-14.2%
CIN,2-5,25,4.8%,24,4.4%,16,4.3%,28,5.4%
TB,5-2,26,8.8%,26,9.8%,13,0.0%,32,17.8%
DAL,1-6,27,9.9%,27,10.7%,28,28.7%,14,-11.5%
NE,6-1,28,11.6%,28,10.9%,27,23.8%,21,-7.1%
JAX,4-4,29,16.0%,29,16.1%,29,29.4%,27,0.4%
HOU,4-3,30,17.1%,30,16.9%,30,32.3%,23,-5.6%
DEN,2-6,31,23.1%,31,23.0%,31,38.0%,30,11.3%
BUF,0-7,32,26.3%,32,27.2%,32,44.9%,31,12.3%
