Team,W-L,DefenseDVOA Rank,DefenseDVOA,Defense WeightedDVOA Rank,Defense WeightedDVOA,PassDefense Rank,PassDefense,RushDefense Rank,RushDefense
ARI,6-4,1,-20.0%,1,-21.5%,2,-17.3%,2,-24.8%
SEA,10-1,2,-17.5%,3,-16.2%,1,-21.5%,13,-11.5%
CIN,7-4,3,-15.2%,2,-16.4%,3,-15.7%,9,-14.4%
CAR,7-3,4,-14.2%,4,-15.0%,6,-9.7%,4,-21.7%
NO,8-2,5,-10.3%,6,-9.7%,4,-15.3%,26,-2.6%
NYJ,5-5,6,-9.3%,10,-7.5%,17,9.3%,1,-38.3%
BUF,4-7,7,-8.7%,7,-8.8%,5,-10.7%,21,-6.1%
KC,9-1,8,-7.5%,12,-6.0%,7,-6.1%,18,-9.7%
BAL,4-6,9,-7.4%,9,-8.3%,13,3.8%,3,-23.2%
NYG,4-6,10,-7.3%,5,-10.1%,12,2.3%,5,-21.2%
SF,6-4,11,-6.0%,11,-6.4%,8,-5.0%,19,-7.4%
STL,4-6,12,-5.2%,8,-8.7%,10,-0.7%,14,-11.2%
CHI,6-4,13,-1.9%,14,-0.8%,11,2.1%,20,-6.2%
TB,2-8,14,-1.4%,17,1.6%,18,10.6%,7,-19.2%
NE,7-3,15,-1.2%,15,-0.3%,14,6.5%,15,-11.1%
HOU,2-8,16,-0.5%,18,2.3%,19,10.9%,10,-13.6%
MIA,5-5,17,-0.5%,13,-2.3%,9,-0.9%,29,0.0%
DEN,9-1,18,2.3%,16,0.1%,22,14.6%,8,-18.2%
DET,6-4,19,2.5%,20,3.4%,23,14.8%,6,-21.1%
TEN,4-6,20,2.8%,21,3.9%,15,6.5%,27,-1.9%
CLE,4-6,21,3.6%,23,4.4%,21,13.7%,12,-12.3%
DAL,5-5,22,4.1%,22,4.2%,16,9.1%,24,-4.7%
OAK,4-6,23,4.9%,19,2.6%,24,15.9%,17,-10.6%
MIN,2-8,24,7.2%,25,8.3%,27,20.6%,11,-12.8%
IND,7-3,25,8.7%,27,9.6%,25,18.6%,25,-3.4%
WAS,3-7,26,9.6%,24,8.2%,20,13.4%,31,4.3%
PIT,4-6,27,9.7%,28,10.1%,26,19.7%,28,-1.7%
PHI,6-5,28,10.6%,26,8.9%,28,24.2%,16,-10.7%
ATL,2-8,29,11.2%,29,11.7%,29,24.2%,23,-5.3%
GB,5-5,30,14.2%,30,13.3%,30,28.6%,22,-5.6%
JAX,1-9,31,20.2%,31,20.4%,32,35.2%,30,3.3%
SD,4-6,32,24.6%,32,24.2%,31,34.9%,32,8.7%
