Team,W-L,DefenseDVOA Rank,DefenseDVOA,Defense WeightedDVOA Rank,Defense WeightedDVOA,PassDefense Rank,PassDefense,RushDefense Rank,RushDefense
KC,6-0,1,-21.6%,2,-21.2%,1,-26.5%,16,-12.2%
SEA,5-1,2,-21.5%,1,-21.8%,2,-18.5%,3,-26.0%
CAR,2-3,3,-14.8%,3,-15.1%,3,-11.9%,8,-19.6%
ARI,3-3,4,-13.8%,4,-14.1%,5,-8.8%,6,-21.8%
NYJ,3-3,5,-10.7%,5,-10.6%,18,8.4%,1,-40.5%
CIN,4-2,6,-10.0%,6,-10.3%,6,-8.6%,18,-12.0%
TB,0-5,7,-8.9%,7,-8.6%,15,5.5%,2,-29.1%
BAL,3-3,8,-7.3%,8,-7.8%,13,4.2%,4,-23.9%
SF,4-2,9,-6.3%,9,-6.6%,7,-4.2%,21,-8.9%
BUF,2-4,10,-6.1%,10,-6.0%,11,-1.4%,15,-12.2%
HOU,2-4,11,-5.4%,12,-5.3%,14,5.5%,12,-16.2%
NE,5-1,12,-5.3%,11,-5.4%,8,-3.0%,22,-8.4%
NO,5-1,13,-4.4%,13,-4.3%,4,-8.9%,31,3.3%
CHI,4-2,14,-4.0%,14,-4.0%,17,7.7%,9,-18.3%
TEN,3-3,15,-3.1%,15,-2.8%,9,-2.4%,23,-4.3%
DET,4-2,16,-2.2%,16,-2.0%,10,-2.1%,26,-2.5%
CLE,3-3,17,-0.9%,17,-0.9%,16,7.5%,14,-14.4%
IND,4-2,18,1.7%,18,1.5%,12,1.1%,29,2.5%
DAL,3-3,19,3.5%,19,3.6%,21,13.5%,11,-16.2%
STL,3-3,20,4.7%,20,4.9%,22,15.5%,20,-9.0%
PIT,1-4,21,5.1%,21,5.3%,20,12.5%,27,-2.5%
MIN,1-4,22,6.0%,22,5.9%,19,11.9%,24,-3.8%
OAK,2-4,23,6.5%,23,6.5%,26,22.3%,13,-15.6%
DEN,6-0,24,9.5%,25,9.8%,27,25.1%,7,-20.1%
WAS,1-4,25,9.9%,24,9.7%,23,15.8%,30,2.6%
NYG,0-6,26,10.0%,26,10.5%,29,30.8%,10,-18.0%
MIA,3-2,27,10.5%,28,11.3%,24,19.8%,25,-3.2%
GB,3-2,28,11.1%,27,10.6%,30,33.9%,5,-23.9%
ATL,1-4,29,13.7%,30,14.1%,28,29.1%,17,-12.1%
JAX,0-6,30,14.2%,29,14.1%,25,21.7%,32,5.3%
PHI,3-3,31,18.1%,31,18.1%,31,34.1%,19,-9.9%
SD,3-3,32,23.1%,32,23.1%,32,38.6%,28,-2.2%
