Team,W-L,DefenseDVOA Rank,DefenseDVOA,Defense WeightedDVOA Rank,Defense WeightedDVOA,PassDefense Rank,PassDefense,RushDefense Rank,RushDefense
ARI,4-4,1,-21.5%,1,-23.5%,2,-19.8%,2,-24.3%
SEA,8-1,2,-17.7%,2,-16.2%,1,-21.3%,16,-12.4%
CAR,5-3,3,-13.4%,3,-15.3%,4,-10.4%,6,-18.8%
KC,9-0,4,-10.4%,5,-9.3%,3,-11.6%,22,-8.5%
NYJ,5-4,5,-10.4%,6,-9.3%,14,4.6%,1,-35.3%
CIN,6-3,6,-10.1%,4,-10.8%,6,-5.8%,8,-16.4%
BUF,3-6,7,-6.0%,8,-5.0%,8,-3.2%,19,-9.8%
NO,6-2,8,-5.3%,10,-4.1%,5,-9.1%,27,0.4%
HOU,2-6,9,-4.5%,13,-2.6%,13,4.5%,10,-15.0%
BAL,3-5,10,-4.2%,7,-5.3%,20,10.2%,3,-23.9%
NYG,2-6,11,-4.0%,9,-4.2%,18,8.9%,4,-23.6%
CHI,5-3,12,-3.7%,11,-3.4%,11,3.7%,18,-11.6%
NE,7-2,13,-3.6%,12,-3.1%,9,-0.2%,23,-7.8%
MIA,4-4,14,-2.4%,15,-2.3%,7,-4.7%,28,0.7%
DAL,5-4,15,-1.7%,14,-2.4%,15,5.0%,11,-14.2%
SF,6-2,16,-1.6%,16,-1.7%,10,3.7%,21,-8.9%
STL,3-6,17,-0.5%,17,-1.5%,17,7.1%,20,-9.1%
DEN,7-1,18,0.6%,18,0.4%,22,13.0%,5,-21.2%
DET,5-3,19,1.4%,19,2.3%,19,9.0%,13,-13.3%
TEN,4-4,20,1.8%,21,3.1%,12,4.2%,26,-1.4%
TB,0-8,21,2.1%,25,5.1%,24,15.7%,7,-16.6%
IND,6-2,22,3.4%,20,2.3%,21,10.5%,24,-6.2%
MIN,1-7,23,3.8%,23,4.1%,23,14.2%,12,-13.7%
CLE,4-5,24,4.7%,24,5.1%,25,15.8%,14,-13.2%
WAS,3-5,25,5.9%,22,3.2%,16,6.3%,31,5.3%
ATL,2-6,26,6.6%,26,6.6%,26,19.5%,17,-11.9%
GB,5-3,27,8.8%,27,6.9%,27,23.2%,15,-13.2%
OAK,3-5,28,10.8%,28,10.2%,30,29.0%,9,-15.7%
PIT,2-6,29,13.7%,29,14.9%,28,24.4%,29,3.3%
PHI,4-5,30,16.0%,30,15.3%,29,27.7%,25,-4.4%
JAX,0-8,31,22.0%,31,22.4%,31,32.7%,32,11.0%
SD,4-4,32,24.4%,32,24.1%,32,37.9%,30,4.7%
